P_net_W,T_in_ref_blk_K,p_high_Pa,PR,T_cold_set_K,delta,load,T_HTF_in_K,T_amb_input_K,eta_gross,eta_Q
59530857.15,1032.1,24274343.84,2.82,833.17,88.56,1.0,925.21,300.78,0.3452086951751767,0.9373110970622383
59530857.15,1032.1,24274343.84,2.82,833.17,88.56,0.55,942.91,264.0,0.123937937966615,0.7662859317876011
148098062.89,1212.7,24627958.32,2.87,805.51,89.05,0.65,1122.32,265.96,0.5367947521022732,1.0002527908556311
148098062.89,1212.7,24627958.32,2.87,805.51,89.05,0.62,1103.78,292.2,0.5294837078692556,0.9981296867385148
148098062.89,1212.7,24627958.32,2.87,805.51,89.05,0.91,1111.94,286.15,0.5361611819946097,1.0001217048190083
148098062.89,1212.7,24627958.32,2.87,805.51,89.05,0.75,1106.29,275.55,0.5330625047017777,0.9988989252863809
148098062.89,1212.7,24627958.32,2.87,805.51,89.05,0.52,1109.02,301.12,0.5231998133533321,0.9985837591710106
148098062.89,1212.7,24627958.32,2.87,805.51,89.05,1.05,1113.82,304.57,0.5294802886555168,1.0007588315820815
148098062.89,1212.7,24627958.32,2.87,805.51,89.05,0.95,1119.49,282.41,0.5389049232608694,1.0008524361681013
148098062.89,1212.7,24627958.32,2.87,805.51,89.05,0.79,1116.3,314.92,0.5272057315614497,1.0001033877026877
50574221.65,1123.15,24360018.61,2.92,844.79,67.16,0.82,1048.13,316.31,-1000,-1000
50574221.65,1123.15,24360018.61,2.92,844.79,67.16,0.92,1052.96,303.33,0.3878930824059578,0.9155913097476485
50574221.65,1123.15,24360018.61,2.92,844.79,67.16,0.67,1038.55,309.96,0.5001732030923569,1.0043069849817905
50574221.65,1123.15,24360018.61,2.92,844.79,67.16,0.73,1037.33,274.9,0.0,0.5378053931051093
50574221.65,1123.15,24360018.61,2.92,844.79,67.16,0.52,1044.53,280.65,-0.0,-3.1729551421375923
50574221.65,1123.15,24360018.61,2.92,844.79,67.16,1.01,1041.47,292.4,0.4796071682359869,0.974733331767164
50574221.65,1123.15,24360018.61,2.92,844.79,67.16,0.59,1050.49,283.84,0.3675229105468646,0.8977883311384349
50574221.65,1123.15,24360018.61,2.92,844.79,67.16,0.89,1055.95,265.96,0.47222274885573157,0.9660993960187434
97548359.06,1026.57,24007718.41,2.99,829.07,59.95,0.99,948.13,315.75,0.35173601057028114,0.956997046039595
97548359.06,1026.57,24007718.41,2.99,829.07,59.95,0.98,960.5,304.7,0.3597920745207475,0.9580680370006247
97548359.06,1026.57,24007718.41,2.99,829.07,59.95,0.71,955.61,267.7,0.2560730929750089,0.8760218266254794
97548359.06,1026.57,24007718.41,2.99,829.07,59.95,0.5,962.61,289.38,0.04116594206381189,0.7169811439547955
97548359.06,1026.57,24007718.41,2.99,829.07,59.95,0.83,965.26,276.72,0.3282506424910261,0.925229222666073
97548359.06,1026.57,24007718.41,2.99,829.07,59.95,0.91,953.0,280.81,0.3425868915681938,0.9389020964734693
97548359.06,1026.57,24007718.41,2.99,829.07,59.95,0.66,958.56,291.23,0.2222091926829332,0.8478465040910111
97548359.06,1026.57,24007718.41,2.99,829.07,59.95,0.63,950.31,302.75,0.17401119765734482,0.8192966135076941
34229911.68,1106.36,24328006.04,2.84,822.28,64.96,0.56,1041.01,284.9,0.3341933040267006,0.8609271088152494
34229911.68,1106.36,24328006.04,2.84,822.28,64.96,0.62,1027.15,296.85,0.3639979134308019,0.9001232199783752
34229911.68,1106.36,24328006.04,2.84,822.28,64.96,0.65,1038.51,309.68,0.48761302479227575,0.9782773436998817
34229911.68,1106.36,24328006.04,2.84,822.28,64.96,1.04,1024.88,300.25,0.4675888821404379,0.9583419871556379
34229911.68,1106.36,24328006.04,2.84,822.28,64.96,0.72,1036.26,282.88,-1000,-1000
34229911.68,1106.36,24328006.04,2.84,822.28,64.96,0.84,1023.66,265.48,0.4500273109743836,0.9605228834608512
34229911.68,1106.36,24328006.04,2.84,822.28,64.96,0.95,1033.07,271.26,0.4716381118408497,0.9558064489010081
34229911.68,1106.36,24328006.04,2.84,822.28,64.96,0.85,1029.68,318.1,0.4460322273207908,0.9566244868565756
54226106.12,1180.74,24146449.71,2.74,840.16,66.04,0.52,1103.16,283.72,0.5356400016202207,0.9986512408131868
54226106.12,1180.74,24146449.71,2.74,840.16,66.04,0.74,1111.73,314.23,0.5294175320078878,0.9998315005816226
54226106.12,1180.74,24146449.71,2.74,840.16,66.04,1.01,1108.79,311.27,0.5303874204594645,1.0001825042098966
54226106.12,1180.74,24146449.71,2.74,840.16,66.04,0.86,1101.43,302.22,0.5270570760869193,0.9988723256029268
54226106.12,1180.74,24146449.71,2.74,840.16,66.04,0.93,1112.89,290.18,0.5391195346911116,1.0003437950299252
