-79.24,-84.7,-84.2,-68.34,-74.82,-81.04,-68.62,-77.04,-68.13,-74.25,-75.58,-73.35,-82.9,-61.86,-81.24,-75.26,-83.07,-74.02,-83.64,-85.9,-85.42,-83.36,-77,-77.31
-74.81,-82.34,-81.53,-63.76,-67.97,-81.35,-72.56,-83.4,-74.14,-73.2,-77.52,-70,-85,-80.8,-73.76,-74.1,-80.8,-85.85,-89.96,-78.99,-86.08,-80.48,-83.59,-78.09
-72.46,-83.7,-80.72,-69.89,-71.24,-87.61,-78.6,-74.83,-85.09,-74.41,-84.09,-71.56,-77.11,-77.11,-46.89,-76.92,-75.97,-85.54,-84.04,-73.67,-86,-83.07,-90,-79
-72.4,-81,-83.95,-62.54,-74.5,-88.28,-67.03,-75.45,-74.51,-68.42,-70.16,-68.98,-94,-77,-71.89,-50.13,-73.68,-71,-88,-70.16,-87.72,-81,-80.49,-74.31
-58.01,-79.16,-83.29,-68.71,-71.61,-76.63,-65.58,-83.15,-78.39,-68.88,-71.28,-71.59,-75.86,-78.51,-76,-78.86,-66.16,-69.84,-84,-75.84,-87.88,-81.01,-82.79,-80.75
-67.58,-76.56,-79.82,-66.46,-75.44,-86.36,-61.18,-78.91,-73.15,-66.96,-69.68,-72.59,-80.12,-75.34,-73.4,-75.36,-59.82,-56.09,-78.9,-78.78,-83.4,-77,-83.98,-79.97
-68.31,-80.37,-82.15,-72.62,-73.17,-88.99,-63.15,-75.56,-74.59,-68.94,-71.04,-63.07,-80.64,-61.05,-76.32,-69.09,-77.83,-73.68,-79.04,-73.48,-84.9,-78.38,-80.22,-71.6
-72.8,-75.02,-84.76,-70.41,-70.62,-83.9,-72.58,-78.02,-72.71,-66.08,-69.41,-69.59,-72.49,-62.47,-66.7,-68.92,-72.27,-73,-77,-76.28,-87.92,-78.8,-86.76,-74.74
-80.64,-76.38,-82.04,-65.77,-71.63,-78.73,-66.13,-74,-74.17,-70.62,-71.93,-67.67,-71.99,-66,-58.15,-62.81,-74.61,-72.45,-77.16,-75.59,-84.34,-83.84,-80.66,-76.91
-70,-72.42,-78.77,-60.72,-76.98,-85,-70.58,-70.92,-81.1,-70.6,-74,-61.42,-73.21,-66.48,-66.41,-70.28,-82,-72.38,-73.49,-67.64,-84.84,-84,-78.23,-80.09
-62.46,-73.73,-80.4,-64.97,-74.13,-73.55,-59.03,-76.68,-71.12,-69.1,-70.15,-61.95,-85.47,-71.3,-76.74,-89,-63.56,-68.15,-78.58,-78.8,-84.77,-76.59,-77.72,-74.55
-63.12,-87.43,-83.5,-72.18,-75.06,-84.04,-69.16,-79.12,-80.71,-80.2,-69.54,-66.86,-84.3,-71.98,-71.4,-78.69,-68.02,-63.54,-75,-72,-89.9,-83.06,-90,-81.07
-76.65,-82.43,-86,-66,-71.53,-81.66,-61.51,-76.2,-70.08,-70.46,-74.24,-59.52,-74.45,-67,-89,-70.97,-68,-75.28,-75.46,-78.24,-82.71,-74.45,-76.84,-80.78
-70.01,-74.62,-73.13,-70.96,-66.8,-78.05,-71.99,-74.87,-70.94,-67.49,-72.55,-67.8,-78.53,-67.76,-74.12,-67.09,-74.42,-86.65,-80.25,-72,-83.09,-75.12,-78.2,-73.08
-66.56,-72.05,-83.2,-53.98,-71.13,-77.16,-71.31,-81.05,-81.73,-68.84,-74.8,-66.08,-79.13,-72.39,-60.16,-70,-68.9,-81.12,-78,-70.73,-79.4,-85.3,-79,-75.58
-71.04,-73.56,-76.17,-63.49,-72.85,-76.78,-65.14,-81.2,-73.53,-67.44,-67.11,-68.44,-76.76,-74.55,-73.24,-62.49,-70.42,-73.34,-78.7,-76,-93.59,-83.36,-79.44,-78
-57.15,-69.31,-77,-68.78,-79,-82.14,-62,-75.1,-70.88,-71.87,-68.97,-69.16,-80.43,-73.73,-71.86,-69,-70.84,-63.28,-77.14,-74,-86.15,-81.1,-81.85,-71.82
-56.4,-73.2,-76.62,-75.6,-70.74,-76.32,-63.88,-70.89,-72.83,-72.96,-60.89,-65.34,-82.84,-85.94,-72.4,-74,-69.09,-73.53,-74.58,-74.47,-83.46,-81.23,-80.03,-76.17
-77.96,-71.8,-72,-65.45,-73.6,-83.52,-65.46,-76,-78,-67.14,-82.62,-71.01,-75.56,-70.25,-73.55,-75.8,-77.54,-73.68,-83.74,-77.1,-77.71,-81,-78.67,-68
-67.67,-74.52,-78.45,-64.74,-65.45,-82.51,-66.96,-64.48,-75.1,-69.3,-87.74,-66,-73.21,-70.1,-71.5,-68.2,-82.36,-69.01,-73.27,-66.3,-73.11,-77.82,-74.3,-70.5
-58.18,-74.35,-78.08,-68.8,-73.53,-75.04,-78.17,-72.41,-73.4,-57.59,-74.56,-70.3,-72,-68.75,-71.34,-63.05,-65.89,-79.94,-73.91,-74.19,-74,-76.55,-74.38,-82.24
-58.98,-76.31,-74.05,-62.97,-69.76,-77.99,-54.63,-75.4,-70.24,-62.72,-71.39,-71.37,-77.76,-71.21,-76.92,-70.94,-73.22,-79.31,-77,-78.2,-82.08,-77.24,-74.55,-77.9
-53.14,-72.5,-86,-71.65,-66.6,-81.51,-61.57,-79.62,-68.4,-66.26,-63.18,-72.92,-76.35,-72.78,-71.65,-67.46,-70.45,-73.82,-75.35,-79.42,-85.27,-73.68,-76.01,-77.4
