Name,Rating,NumberOfUser,PopularitasXKepuasan,Address,lat,lon
Starbucks Coffee - TB Simatupang,4.4,429,1887.6000000000001,"Jalan TB. Simatupang Kav. 23-24, Cilandak, RT.1/RW.1, Cilandak Bar., Kota Jakarta Selatan",-6.2911582,106.8046784
Starbucks,4.5,365,1642.5,"Central Park Gedung BRI 2, GKBI Complex, Jl. Jend. Sudirman No.44-46, RT.13/RW.1, Bend. Hilir, Kota Jakarta Pusat",-6.2166305999999985,106.81383419999999
Starbucks Cyber 2 Tower,4.5,347,1561.5,"Cyber 2 Tower Lantai GF, Jl. H. R. Rasuna Said Blok X-5 Kav 1-2, Kuningan Timur, Setiabudi, RT.7/RW.2, Kuningan, Kuningan Tim., Kota Jakarta Selatan",-6.2263313999999985,106.83217020000001
Starbucks Coffee Veteran,4.7,287,1348.9,"Jl. RC. Veteran Raya Blok Anggrek No.8, RW.3, Bintaro, Kota Jakarta Selatan",-6.2653939,106.76635279999999
Starbucks,4.4,299,1315.6000000000001,"Rasuna Epicentrum GF W 138A OT 138A, Jalan H.R Rasuna Said, Kuningan, RT.2/RW.5, Karet Kuningan, Kota Jakarta Selatan",-6.2179162,106.8350783
Starbucks Kartika Chandra,4.6,284,1306.3999999999999,"Jl. Gatot Subroto No.Kav 18-20, RT.8/RW.2, Karet Semanggi, Kota Jakarta Selatan",-6.2283759000000005,106.8196996
Starbucks Telkom Landmark Tower,4.5,288,1296.0,"Telkom Landmark Tower, Jl. Gatot Subroto No.Kav. 52, RT.6/RW.1, West Kuningan, South Jakarta City",-6.2307973,106.8178166
Starbucks Cityplaza Jatinegara,4.5,286,1287.0,"Jalan Matraman No. 173-175, Balimester Jatinegara Jakarta 7, RT.7/RW.6, Bali Mester, Kota Jakarta Timur",-6.2141566,106.8645364
Starbucks Living Plaza Cinere,4.5,283,1273.5,"Jl. Cinere Raya No.100, Cinere, Kota Depok",-6.3327247999999985,106.7829486
Starbucks Oakwood Premier Cozmo,4.6,270,1242.0,"Oakwood Premier Cozmo Jakarta, No. SC.59, Jl. Mega, Barat, Kav 68, RT.5/RW.2, Kuningan, Kuningan Tim., Kota Jakarta Selatan",-6.2278005,106.82568490000001
Starbucks Golden Fatmawati,4.6,249,1145.3999999999999,"Jl. RS. Fatmawati Raya No.15, RT.8/RW.6, Gandaria Sel., Kota Jakarta Selatan",-6.276617799999999,106.7973598
Starbucks,4.4,255,1122.0,"Street Gallery Pondok Indah Mall, Jl. Metro Pondok Indah No.RT.1, RT.1/RW.16, Pd. Pinang, Kota Jakarta Selatan",-6.266717499999999,106.7840301
Starbucks,4.6,198,910.8,"53A, Jl. TB Simatupang No.2, RW.1, Kebagusan, Kota Jakarta Selatan",-6.298211500000002,106.8297067
Starbucks Coffee,4.5,202,909.0,"Tempo scan tower, Ground Floor, Jl. H. R. Rasuna Said, RT.5/RW.4, Kuningan Tim., Kota Jakarta Selatan",-6.2352786999999985,106.82897890000001
Starbucks La Maison,4.6,194,892.4,"RT.4/RW.4, Kramat Pela, South Jakarta City",-6.2460892999999995,106.7940449
Starbucks - Pondok Indah Office Tower,4.4,200,880.0000000000001,"Pd. Indah Office Tower 3, Jl. Sultan Iskandar Muda, RT.4/RW.3, Pondok Pinang, South Jakarta City",-6.262994300000001,106.7818189
Starbucks Coffee - South Quarter,4.7,187,878.9,"South Quarter Tower B, Jl. RA Kartini Kav 8, RT 10/RW 4, 12430, RT.15/RW.4, West Cilandak, South Jakarta City",-6.2939127,106.784861
Starbucks Coffee - Cijantung Mall,4.4,198,871.2,"Jl. Pendidikan No.Mal Cijantung, Jl. Pendidikan No.21, RT.1/RW.4, Cijantung, Kota Jakarta Timur",-6.3127778,106.86166670000001
Starbucks Bellezza Shopping Arcade,4.4,189,831.6,"4, Jl. Letnan Jenderal Soepeno No.34, RW.2, Grogol Utara, Kota Jakarta Selatan",-6.2215136,106.78258989999999
Starbucks,4.6,163,749.8,"Jalan Tanjung Barat Lama No.7, Jagakarsa, RT.10/RW.4, Tanjung Barat, RT.10/RW.4, Tj. Bar., Kota Jakarta Selatan",-6.302468900000001,106.84305790000002
Starbucks,4.6,138,634.8,"The East, Lantai 1, Lingkar Mega Kuningan No.1, RT.5/RW.2, Kuningan, Kuningan Tim., Kota Jakarta Selatan",-6.2293337,106.8251159
Starbucks Menara Jamsostek,4.5,141,634.5,"Menara Jamsostek Jl. Gatot Subroto No.38, RT.6/RW.1, Kuningan Bar., Kota Jakarta Selatan",-6.233393299999999,106.821385
Starbucks,4.4,136,598.4000000000001,"Wisma Metropolitan 1 Lantai GF, Jl. Jend. Sudirman Kav.29, Karet, Setiabudi, RT.8/RW.3, Kuningan, Karet, Kota Jakarta Selatan",-6.214232900000001,106.8198203
Starbucks Coffee,4.7,119,559.3000000000001,"Jl. Jend. Sudirman No.Kav 58, Kby. Baru, RT.5/RW.3, Senayan, Kota Jakarta Selatan",-6.225127199999998,106.8056361
Starbucks Coffee,4.4,120,528.0,"RT.1/RW.10, Kramat Pela, South Jakarta City",-6.245689,106.7884753
Starbucks,4.2,120,504.0,"Chase Plaza, Jl. Jend. Sudirman, RT.10/RW.1, Kuningan, Karet, South Jakarta City",-6.210214,106.8218459
