Name,Rating,NumberOfUser,Address,lat,lon
Starbucks Kartika Chandra,4.6,284,"Jl. Gatot Subroto No.Kav 18-20, RT.8/RW.2, Karet Semanggi, Kota Jakarta Selatan",-6.2283759,106.8196996
Starbucks Telkom Landmark Tower,4.5,288,"Telkom Landmark Tower, Jl. Gatot Subroto No.Kav. 52, RT.6/RW.1, West Kuningan, South Jakarta City",-6.2307973,106.8178166
Starbucks Galleries Lafayette,4.4,883,"Pacific Place Lt. 4, Jalan Jendral Sudirman No.52-53, Senayan, Kebayoran Baru, RT.5/RW.3, Senayan, Kota Jakarta Selatan",-6.224881,106.8101025
Starbucks Coffee,4.7,119,"Jl. Jend. Sudirman No.Kav 58, Kby. Baru, RT.5/RW.3, Senayan, Kota Jakarta Selatan",-6.225127199999999,106.8056361
Starbucks FX Sudirman,4.5,1462,"FX Sudirman Lantai 1, Jl. Jend. Sudirman, RT.1/RW.3, Gelora, Kota Jakarta Pusat",-6.224878299999999,106.8037567
Starbucks BEJ,4.4,5,"Foundry No. 8, Jl. Jend. Sudirman, RT.5/RW.3, Senayan, South Jakarta City",-6.2235117,106.8084765
Starbucks,4.6,1433,"Senayan City Jalan Asia Afrika No.19 1 3, RT.1/RW.3, Gelora, Kota Jakarta Pusat",-6.2271911,106.7971131
Starbucks Senayan City,4.5,423,"L-41, 42, Jl. Asia Afrika No.19, RT.1/RW.3, Gelora, Kota Jakarta Pusat",-6.227152299999999,106.7976836
Starbucks Coffee Ratu Plaza,4.4,61,"Jl. Jend. Sudirman No.RT.1, RT.1/RW.3, Gelora, Kota Jakarta Pusat",-6.226947,106.8012349
STARBUCKS,0.0,0,"Jl. Asia Afrika No.19, RT.1/RW.3, Gelora, Kota Jakarta Pusat",-6.2278459,106.7966795
Starbucks Supomo Tebet,4.6,610,"Jalan Prof. DR. Soepomo No: 30, RT.7/RW.1, Menteng Dalam, Kota Jakarta Selatan",-6.2331213,106.8446848
Starbucks Coffee - Menara Kadin,4.5,69,"Jl. H. R. Rasuna Said Blok X No.1 Kuningan Tim. Kota SelatanSetia Budi, RT.1/RW.2, Kuningan, Kuningan Tim., Kota Jakarta Selatan",-6.2324094,106.8318101
Starbucks Coffee,4.5,202,"Tempo scan tower, Ground Floor, Jl. H. R. Rasuna Said, RT.5/RW.4, Kuningan Tim., Kota Jakarta Selatan",-6.235278699999999,106.8289789
Starbucks Coffee - Patra Jasa Office Tower,4.6,101,"Patra Jasa Office Tower, Gedung, Jl. Gatot Subroto No.Kav. 32-34, RT.6/RW.3, Kuningan, East Kuningan, South Jakarta City",-6.2332945,106.8231335
Starbucks,0.0,0,"RT.4/RW.5, Kuningan, East Kuningan, South Jakarta City",-6.230375,106.8239918
