P_net,T_in_ref_blk,p_high,PR,pinch_PHX,dTemp_HTF_PHX,load,T_HTF_in,T_amb_input,eta_gross,eta_Q,
20000000.0,1073.15,25000000.0,2.76,15.0,166.666666667,1.0,1073.15,312.15,0.497577089166037,1.0000378896896405,
20000000.0,1073.15,25000000.0,2.76,15.0,188.888888889,1.0,1073.15,312.15,0.4963505155347573,1.0000337989461965,
20000000.0,1073.15,25000000.0,2.76,15.0,211.111111111,1.0,1073.15,312.15,0.48799937954364364,1.0000536418324244,
20000000.0,1073.15,25000000.0,2.76,15.0,233.333333333,1.0,1073.15,312.15,0.47503620491837817,1.0000555828291329,
20000000.0,1073.15,25000000.0,2.76,15.0,255.555555556,1.0,1073.15,312.15,0.464078379325618,1.0000634813059428,
20000000.0,1073.15,25000000.0,2.76,15.0,277.777777778,1.0,1073.15,312.15,0.4537914573246078,1.0000817892980816,
20000000.0,1073.15,25000000.0,2.76,15.0,300.0,1.0,1073.15,312.15,0.4448588002048612,1.0000842132356613,
60000000.0,1023.15,25000000.0,2.76,15.0,250.0,1.0,1023.15,312.15,0.44486014265326995,1.0000838991173349,
60000000.0,1053.92777778,25000000.0,2.76,15.0,250.0,1.0,1053.92777778,312.15,0.45719044523267455,1.0000757062456052,
60000000.0,1084.70555556,25000000.0,2.76,15.0,250.0,1.0,1084.70555556,312.15,0.4724586229266278,1.0000570792217516,
60000000.0,1115.48333333,25000000.0,2.76,15.0,250.0,1.0,1115.48333333,312.15,0.4899486803105465,1.0000532068645729,
60000000.0,1146.26111111,25000000.0,2.76,15.0,250.0,1.0,1146.26111111,312.15,0.49894927497260333,1.0000400819435737,
60000000.0,1177.03888889,25000000.0,2.76,15.0,250.0,1.0,1177.03888889,312.15,0.5060328384741716,1.0000268634508938,
60000000.0,1207.81666667,25000000.0,2.76,15.0,250.0,1.0,1207.81666667,312.15,0.5158897200313215,1.000010273292572,
60000000.0,1238.59444444,25000000.0,2.76,15.0,250.0,1.0,1238.59444444,312.15,0.5272173424106641,1.0000023489595966,
60000000.0,1269.37222222,25000000.0,2.76,15.0,250.0,1.0,1269.37222222,312.15,0.5396504994641321,1.000013817931021,
60000000.0,1300.15,25000000.0,2.76,15.0,250.0,1.0,1300.15,312.15,0.5542400338120232,1.0000185389992704,
60000000.0,1073.15,20000000.0,2.76,15.0,250.0,1.0,1073.15,312.15,0.4158847040161072,0.999856974482103,
60000000.0,1073.15,20555555.5556,2.76,15.0,250.0,1.0,1073.15,312.15,0.4198622358577361,0.9998879378188095,
60000000.0,1073.15,21111111.1111,2.76,15.0,250.0,1.0,1073.15,312.15,0.4243591060738821,0.9998945457417772,
60000000.0,1073.15,21666666.6667,2.76,15.0,250.0,1.0,1073.15,312.15,0.42944352753377896,0.9998888051990787,
60000000.0,1073.15,22222222.2222,2.76,15.0,250.0,1.0,1073.15,312.15,0.43496190693870584,0.9999238489004442,
60000000.0,1073.15,22777777.7778,2.76,15.0,250.0,1.0,1073.15,312.15,0.4406873993674176,0.9999672798883243,
60000000.0,1073.15,23333333.3333,2.76,15.0,250.0,1.0,1073.15,312.15,0.4471756080231854,0.9999543122036321,
60000000.0,1073.15,23888888.8889,2.76,15.0,250.0,1.0,1073.15,312.15,0.4541222878815588,0.9999465084188456,
60000000.0,1073.15,24444444.4444,2.76,15.0,250.0,1.0,1073.15,312.15,0.46113299614419156,0.999967288250026,
60000000.0,1073.15,25000000.0,2.76,15.0,250.0,1.0,1073.15,312.15,0.46682906166133636,1.000061163247189,
