deviation_load,deviation_T_in,deviation_T_amb_input,deviation_eta_gross,deviation_eta_Q
0.043478260869565244,0.9685886402753865,0.8334187596104563,0.08171300674378316,0.2434550744100535
0.7971014492753623,0.7624784853700526,0.30531351443704074,0.5327760931899409,0.46202647173403855
0.0,0.4175989672977592,0.6343755339142316,0.0,0.0685263209643559
0.10144927536231862,0.0,0.3933025798735686,0.0363858280267321,0.0
0.6086956521739131,0.712349397590359,0.7642234751409533,0.28190810777800956,0.4864347116295692
1.0,0.5851979345955257,0.3242781479583121,1.0,1.0
0.24637681159420283,0.8556368330464709,1.0,0.12712168418731318,0.34310167601129815
0.7681159420289856,1.0,0.16589783017256063,0.5324406156805076,0.4613676974840055
0.536231884057971,0.1919104991394163,0.5983256449683917,0.17232726765186787,0.39523285390517404
0.4347826086956521,0.3648881239242691,0.0,0.209788722196606,0.37067036620317806
0.24637681159420283,0.41996557659208206,0.14044079958995426,0.13397762416576234,0.20856515487477173
