deviation_load,deviation_T_in,deviation_T_amb_input,deviation_eta_gross,deviation_eta_Q
-0.1399999999999999,25.5,40.56,-0.006604942653112511,0.003410447717540399
0.38,15.920000000000073,9.649999999999977,0.05039816893304294,0.02477553921250364
-0.16999999999999993,-0.11000000000012733,28.909999999999968,-0.016931426423165252,-0.013688627770947925
-0.10000000000000009,-19.519999999999982,14.799999999999955,-0.01233316627400527,-0.020386993317133784
0.25,13.589999999999918,36.50999999999999,0.018694719469910415,0.027161415338033623
0.52,7.680000000000064,10.759999999999991,0.10944360469559106,0.07736180527472447
0.0,20.25,50.31,-0.0008664196281248371,0.0131507833078236
0.36,26.960000000000036,1.4899999999999523,0.050355772952348665,0.02471114482101966
0.19999999999999996,-10.599999999999909,26.799999999999955,0.004846437388949798,0.018246543316128405
0.13,-2.5599999999999454,-8.220000000000027,0.009580629872794955,0.015845589652831005
0.0,0.0,0.0,0.0,0.0
