h_m,q_W,tamb_C,tin_C,tout_K,mdot_kg_per_s
43.970000,812886204.650000,12.470000,556.640000,1073.149983,2308.667670
37.410000,809784679.920000,1.870000,564.630000,1073.149983,2479.081749
35.970000,699287895.880000,-3.380000,567.420000,1073.149983,2144.628951
27.680000,549273260.150000,-1.390000,569.750000,1073.149983,1753.095726
29.990000,578351988.720000,6.080000,564.310000,1073.149983,1786.337660
28.370000,670922925.820000,5.430000,500.630000,1073.149983,1690.944672
40.160000,814042080.120000,27.240000,555.010000,1073.149983,2362.771633
26.820000,355824846.850000,-0.550000,514.610000,1073.149983,885.553724
28.620000,562249183.910000,25.480000,513.590000,1073.149983,1453.216269
42.160000,509434058.120000,1.150000,516.050000,1073.149983,1143.573677
26.790000,602068719.750000,25.200000,562.130000,1073.149983,1892.272411
37.500000,331834901.940000,32.960000,502.830000,1073.149983,659.399160
29.650000,347098328.150000,3.620000,526.220000,1073.149983,866.505402
26.060000,636447991.010000,44.620000,539.460000,1073.149983,1850.539504
27.820000,542244268.100000,7.770000,508.040000,1073.149983,1377.284605
39.490000,542373869.490000,-4.350000,505.910000,1073.149983,1238.512400
30.170000,673564165.290000,2.380000,501.300000,1073.149983,1684.123134
41.870000,806078441.890000,24.480000,548.360000,1073.149983,2251.288826
37.630000,352334882.550000,4.290000,511.720000,1073.149983,735.003617
29.320000,647550863.770000,18.760000,511.820000,1073.149983,1678.659199
41.780000,690604342.020000,44.800000,516.800000,1073.149983,1688.089116
34.270000,316549165.500000,-2.280000,503.200000,1073.149983,659.521040
40.540000,679568762.310000,43.890000,561.450000,1073.149983,1965.371285
29.960000,686770052.570000,43.360000,537.390000,1073.149983,1950.814498
32.780000,780285827.930000,34.140000,530.260000,1073.149983,2151.065823
34.220000,453728618.630000,43.650000,529.790000,1073.149983,1150.635036
32.570000,645573582.560000,0.870000,520.560000,1073.149983,1686.141914
41.710000,789835056.440000,24.430000,518.360000,1073.149983,1980.563844
40.820000,441257500.280000,23.070000,525.260000,1073.149983,997.087781
33.480000,692205278.010000,16.200000,525.400000,1073.149983,1843.453778
35.230000,460659854.170000,26.910000,505.890000,1073.149983,1068.260548
39.390000,817124358.430000,1.730000,568.470000,1073.149983,2511.747331
29.380000,628153907.970000,20.860000,507.230000,1073.149983,1599.231330
27.500000,464591757.360000,21.600000,535.670000,1073.149983,1279.705121
39.350000,414051250.050000,37.720000,504.230000,1073.149983,875.774991
43.330000,800495216.930000,8.630000,501.510000,1073.149983,1881.047229
25.190000,493288950.340000,27.110000,561.160000,1073.149983,1532.671212
36.600000,400533105.010000,-3.500000,553.490000,1073.149983,1036.312171
32.200000,730125241.330000,6.440000,534.580000,1073.149983,2034.307236
29.150000,489672484.600000,26.700000,514.810000,1073.149983,1247.472444
31.040000,743742384.350000,17.410000,502.350000,1073.149983,1875.094840
28.130000,777053898.030000,11.920000,520.930000,1073.149983,2122.102133
31.510000,396383700.240000,42.440000,514.870000,1073.149983,959.550579
42.980000,654256712.480000,14.480000,558.190000,1073.149983,1809.564597
41.590000,308392115.850000,2.580000,547.170000,1073.149983,596.728611
41.060000,684635201.560000,6.030000,510.120000,1073.149983,1637.976033
27.530000,641685366.030000,1.640000,552.210000,1073.149983,1939.094628
42.390000,415723891.320000,17.940000,521.410000,1073.149983,875.657541
43.610000,516120212.990000,41.300000,500.560000,1073.149983,1090.646265
30.680000,597867034.660000,2.750000,547.030000,1073.149983,1723.534645
35.370000,657308866.990000,17.700000,538.480000,1073.149983,1799.174012
40.950000,397548923.020000,17.750000,506.270000,1073.149983,802.969991
35.790000,443891195.540000,12.800000,566.690000,1073.149983,1259.657968
30.600000,312031942.410000,25.090000,509.310000,1073.149983,710.411568
38.240000,845342715.310000,31.300000,523.270000,1073.149983,2223.717331
36.200000,710431525.640000,0.980000,531.240000,1073.149983,1900.842316
34.280000,311253812.810000,37.810000,546.890000,1073.149983,757.173661
33.770000,488724891.870000,19.890000,525.610000,1073.149983,1240.476070
33.950000,378611192.620000,7.770000,514.310000,1073.149983,873.822746
37.020000,401778322.130000,39.550000,543.200000,1073.149983,1001.012529
41.420000,521289077.870000,-4.560000,535.360000,1073.149983,1271.237347
44.440000,452419528.410000,39.770000,522.340000,1073.149983,959.238528
40.840000,309544685.070000,36.230000,531.080000,1073.149983,588.375318
33.090000,562610830.010000,9.110000,518.910000,1073.149983,1432.507867
34.140000,590886997.690000,33.190000,539.790000,1073.149983,1618.677444
33.670000,828105615.260000,39.140000,551.270000,1073.149983,2469.737708
31.820000,719847499.640000,8.320000,539.820000,1073.149983,2046.097968
36.660000,818277247.310000,35.420000,562.460000,1073.149983,2503.440518
29.070000,582791131.720000,2.220000,562.220000,1073.149983,1797.490355
39.040000,787270487.090000,42.820000,551.590000,1073.149983,2264.311541
42.280000,338958090.320000,12.910000,539.190000,1073.149983,672.920912
40.660000,336586758.080000,25.080000,545.940000,1073.149983,721.464686
33.950000,498709006.400000,32.660000,543.540000,1073.149983,1352.744898
26.210000,830714125.930000,12.310000,532.190000,1073.149983,2392.245656
27.700000,415084166.370000,30.980000,519.330000,1073.149983,1065.040072
43.730000,749842015.280000,44.560000,517.440000,1073.149983,1835.048617
40.820000,592487881.630000,23.690000,568.940000,1073.149983,1712.473373
34.370000,587828099.350000,24.460000,528.170000,1073.149983,1540.476185
37.940000,838367821.530000,23.850000,520.650000,1073.149983,2186.429538
33.130000,519208650.380000,22.510000,540.490000,1073.149983,1410.377407
34.140000,418376092.580000,31.910000,561.690000,1073.149983,1174.503076
25.320000,647799215.650000,30.930000,566.050000,1073.149983,2099.570964
33.690000,340638449.640000,12.160000,515.260000,1073.149983,768.633309
37.800000,732657688.160000,23.040000,529.830000,1073.149983,1940.819438
29.350000,606743659.820000,23.270000,546.780000,1073.149983,1768.023831
37.160000,625024389.520000,29.480000,563.290000,1073.149983,1843.348313
27.940000,704848326.810000,22.170000,521.770000,1073.149983,1918.484206
32.930000,805287370.860000,16.210000,547.260000,1073.149983,2365.482160
28.490000,476521015.210000,10.670000,545.870000,1073.149983,1354.958528
38.290000,599576445.120000,-0.510000,516.400000,1073.149983,1463.398235
27.160000,805052205.300000,22.260000,530.110000,1073.149983,2287.429412
37.690000,787576376.230000,5.010000,511.110000,1073.149983,1975.680846
27.780000,541081208.650000,31.580000,528.700000,1073.149983,1475.394613
34.140000,835110371.430000,30.000000,538.180000,1073.149983,2366.090539
36.560000,349052825.650000,41.200000,560.270000,1073.149983,893.224056
42.270000,401947006.940000,-3.200000,541.440000,1073.149983,893.051620
40.590000,536394817.050000,13.370000,563.250000,1073.149983,1482.938971
44.350000,651113289.030000,34.310000,527.610000,1073.149983,1591.306958
41.450000,508137712.670000,21.010000,551.740000,1073.149983,1311.348785
40.840000,615772830.890000,1.400000,511.080000,1073.149983,1450.389060
44.560000,312391876.180000,28.870000,550.840000,1073.149983,549.486898
27.130000,409213076.380000,5.440000,549.320000,1073.149983,1169.874251
35.510000,782659159.160000,-4.820000,543.890000,1073.149983,2226.754114
44.560000,628003802.600000,11.460000,518.150000,1073.149983,1465.446176
36.800000,384060252.890000,6.770000,547.800000,1073.149983,958.010176
40.420000,708691952.030000,1.400000,547.050000,1073.149983,1946.717838
41.320000,698499301.550000,43.550000,509.880000,1073.149983,1678.609512
26.340000,614776617.920000,19.180000,514.960000,1073.149983,1631.332478
35.510000,774735957.880000,42.090000,542.140000,1073.149983,2194.032095
37.880000,398471088.550000,21.550000,568.710000,1073.149983,1076.026934
26.010000,598643547.130000,29.700000,541.050000,1073.149983,1741.659806
42.790000,808390909.530000,33.960000,512.700000,1073.149983,1983.736365
33.720000,578997012.760000,33.930000,504.570000,1073.149983,1408.462764
36.800000,779772224.630000,2.370000,502.990000,1073.149983,1913.624590
40.830000,481475522.570000,39.830000,504.960000,1073.149983,1050.191745
30.180000,315205543.550000,31.550000,568.870000,1073.149983,901.346401
42.960000,706766806.930000,-1.370000,532.890000,1073.149983,1805.435984
36.500000,528111402.180000,22.440000,541.330000,1073.149983,1399.561866
38.150000,682655180.540000,11.400000,544.330000,1073.149983,1879.581881
37.280000,846061414.600000,41.610000,514.910000,1073.149983,2177.514192
41.010000,310467200.330000,9.750000,505.200000,1073.149983,530.247227
42.800000,552256337.960000,39.180000,535.080000,1073.149983,1352.597361
36.430000,780509772.870000,4.560000,528.500000,1073.149983,2089.780506
38.130000,582898538.720000,24.410000,507.960000,1073.149983,1382.841666
33.250000,408691194.730000,23.670000,564.500000,1073.149983,1165.797705
37.710000,551560035.060000,-1.740000,522.990000,1073.149983,1362.227147
34.260000,595870440.860000,-3.650000,533.620000,1073.149983,1592.311218
31.190000,490466379.040000,23.560000,502.530000,1073.149983,1181.810677
38.760000,585029673.590000,31.500000,529.420000,1073.149983,1484.182073
36.660000,559492076.800000,30.580000,509.630000,1073.149983,1343.282639
32.610000,826086771.210000,34.150000,568.860000,1073.149983,2657.637432
42.660000,324291824.600000,9.590000,531.630000,1073.149983,593.527396
32.240000,573206915.150000,5.290000,525.390000,1073.149983,1504.605443
26.090000,650695162.880000,7.150000,506.310000,1073.149983,1687.245242
27.400000,330666708.280000,3.970000,520.650000,1073.149983,825.186925
40.990000,537056215.320000,3.040000,569.350000,1073.149983,1513.023247
34.400000,576850762.750000,9.150000,510.480000,1073.149983,1419.050202
32.170000,362880710.280000,7.530000,539.110000,1073.149983,926.295843
38.640000,412868950.270000,23.390000,556.150000,1073.149983,1059.492418
44.550000,597360668.720000,2.140000,506.730000,1073.149983,1322.969211
26.010000,639866591.350000,41.990000,509.250000,1073.149983,1676.066333
42.810000,827114131.620000,37.930000,538.530000,1073.149983,2225.156781
40.830000,489014106.720000,19.250000,517.730000,1073.149983,1113.973892
36.990000,665119366.050000,21.830000,556.140000,1073.149983,1926.090779
36.700000,427908682.970000,42.630000,532.370000,1073.149983,1048.862629
40.360000,809926977.440000,29.470000,537.100000,1073.149983,2195.040748
43.820000,618847852.390000,11.630000,501.930000,1073.149983,1376.404294
38.290000,729491951.110000,31.740000,546.770000,1073.149983,2047.613921
31.700000,636520069.560000,14.610000,559.750000,1073.149983,1929.225198
43.300000,823263019.410000,14.610000,520.830000,1073.149983,2069.924938
41.450000,452650698.220000,14.320000,548.640000,1073.149983,1110.529048
38.080000,655534698.010000,2.830000,503.230000,1073.149983,1559.567899
44.420000,458235048.950000,8.130000,502.730000,1073.149983,908.658204
34.930000,460704224.730000,30.300000,566.830000,1073.149983,1334.342451
44.670000,628779651.230000,3.090000,512.510000,1073.149983,1437.235953
32.170000,691617509.980000,44.030000,517.140000,1073.149983,1808.246485
40.840000,394420455.810000,-2.110000,537.080000,1073.149983,882.162352
31.290000,330300899.210000,34.400000,525.910000,1073.149983,799.307540
26.190000,840053438.190000,41.480000,545.500000,1073.149983,2544.708719
32.450000,472211873.040000,1.370000,527.900000,1073.149983,1214.200480
34.790000,306399742.970000,-4.500000,559.850000,1073.149983,764.532828
32.480000,714231759.360000,3.810000,533.120000,1073.149983,1971.577646
36.990000,635159608.370000,-2.560000,530.990000,1073.149983,1661.825526
37.220000,695162430.290000,22.420000,553.560000,1073.149983,2002.306873
30.440000,326370068.030000,28.780000,545.190000,1073.149983,854.002142
40.540000,776508913.050000,36.480000,542.260000,1073.149983,2130.209401
32.760000,731342653.900000,0.140000,545.070000,1073.149983,2110.153116
44.400000,471981699.770000,13.740000,524.400000,1073.149983,1022.828541
41.510000,766438637.340000,36.700000,510.200000,1073.149983,1867.528904
27.480000,357559709.120000,8.470000,504.330000,1073.149983,856.213658
43.620000,444019860.350000,7.930000,564.080000,1073.149983,1102.856074
41.300000,442626933.630000,32.940000,549.230000,1073.149983,1085.951114
43.760000,445247797.990000,20.520000,543.340000,1073.149983,1020.592513
27.020000,544652424.850000,25.270000,516.860000,1073.149983,1433.636097
31.360000,683067027.130000,23.820000,541.090000,1073.149983,1947.396091
33.290000,529336490.680000,34.010000,534.780000,1073.149983,1412.164246
43.850000,543274469.800000,-4.570000,510.590000,1073.149983,1192.794063
29.880000,390284735.830000,37.820000,522.530000,1073.149983,983.427969
37.830000,510224442.790000,16.270000,526.430000,1073.149983,1255.856347
38.870000,499074589.900000,32.200000,555.430000,1073.149983,1345.015478
26.600000,545074116.060000,11.910000,507.610000,1073.149983,1394.564232
42.470000,426068086.630000,14.270000,501.290000,1073.149983,846.555651
26.100000,561270629.350000,11.080000,568.470000,1073.149983,1805.973044
32.510000,610294653.260000,31.740000,554.060000,1073.149983,1791.965543
25.230000,782222125.250000,21.590000,549.560000,1073.149983,2404.686707
35.070000,831721150.620000,25.360000,550.630000,1073.149983,2454.456119
30.200000,409032111.460000,23.340000,522.480000,1073.149983,1033.521037
31.600000,597897210.560000,13.160000,537.460000,1073.149983,1654.329159
43.850000,356055217.440000,35.160000,559.940000,1073.149983,763.328887
31.860000,427532761.050000,22.310000,511.090000,1073.149983,1030.220427
34.880000,719865710.960000,13.090000,525.030000,1073.149983,1905.912525
35.250000,839238568.820000,15.180000,526.830000,1073.149983,2268.961181
38.360000,553517410.610000,44.540000,504.440000,1073.149983,1286.019412
43.100000,783473702.320000,-2.380000,560.240000,1073.149983,2253.974015
39.980000,822582263.590000,34.300000,510.590000,1073.149983,2046.753829
41.090000,336574822.680000,21.690000,534.830000,1073.149983,681.540324
29.050000,459559851.690000,43.990000,537.520000,1073.149983,1258.997869
26.070000,654221883.900000,44.890000,530.370000,1073.149983,1844.497520
38.290000,498122568.840000,9.500000,565.860000,1073.149983,1403.573161
28.450000,786699919.960000,6.750000,551.750000,1073.149983,2401.658765
25.270000,693584275.630000,14.360000,521.850000,1073.149983,1911.976887
42.520000,576622062.610000,43.350000,554.500000,1073.149983,1540.518553
44.730000,815954251.780000,1.340000,517.680000,1073.149983,2003.821551
27.940000,574468542.280000,37.470000,514.760000,1073.149983,1501.162410
26.060000,582159662.210000,10.430000,531.160000,1073.149983,1628.226341
29.950000,588154920.080000,22.090000,526.180000,1073.149983,1579.385805
37.870000,457374981.020000,5.720000,567.380000,1073.149983,1275.851783
25.810000,512768909.770000,17.440000,559.210000,1073.149983,1578.978936
38.110000,359504716.490000,31.250000,522.750000,1073.149983,782.157421
25.980000,620346230.540000,25.090000,537.370000,1073.149983,1785.680298
27.100000,413113872.120000,33.370000,517.020000,1073.149983,1056.798420
36.190000,408219259.440000,21.400000,502.850000,1073.149983,898.274713
32.270000,395385661.080000,4.840000,508.410000,1073.149983,924.582061
36.610000,581218485.360000,19.880000,558.320000,1073.149983,1667.534162
29.970000,716307352.260000,28.120000,553.130000,1073.149983,2165.521673
29.640000,336406921.680000,18.710000,515.910000,1073.149983,807.370620
39.140000,737605201.020000,4.940000,560.860000,1073.149983,2171.274483
28.060000,756021457.470000,9.890000,547.920000,1073.149983,2272.061176
30.930000,377882754.440000,36.180000,569.890000,1073.149983,1116.592209
41.980000,386460674.350000,21.190000,537.740000,1073.149983,840.049618
34.010000,422238775.440000,39.040000,500.180000,1073.149983,958.861342
39.250000,683115312.920000,40.930000,537.570000,1073.149983,1825.103733
35.480000,548135504.310000,35.880000,540.580000,1073.149983,1473.645269
41.460000,697076306.640000,8.800000,547.360000,1073.149983,1897.186869
27.610000,809441657.720000,3.920000,557.330000,1073.149983,2541.267294
39.670000,342590346.560000,38.280000,523.400000,1073.149983,703.923900
34.920000,594422583.630000,1.260000,511.340000,1073.149983,1465.652198
26.390000,411021723.740000,7.950000,560.060000,1073.149983,1233.944268
40.110000,364862909.990000,41.700000,509.990000,1073.149983,732.870716
29.810000,339479257.000000,7.630000,507.100000,1073.149983,790.338850
38.210000,357534456.630000,5.910000,513.240000,1073.149983,745.254148
27.790000,620500236.120000,38.360000,554.780000,1073.149983,1888.573828
40.890000,651476528.340000,-4.550000,537.570000,1073.149983,1695.727966
30.250000,623781173.990000,1.970000,544.890000,1073.149983,1797.182863
30.160000,634611044.850000,-0.780000,500.590000,1073.149983,1573.984880
36.370000,762332401.880000,21.780000,533.580000,1073.149983,2075.363711
28.130000,816121800.320000,4.390000,556.360000,1073.149983,2547.611753
36.490000,497360876.550000,39.400000,536.100000,1073.149983,1281.268770
25.880000,336354979.180000,31.830000,518.390000,1073.149983,851.312736
37.380000,381900872.730000,37.580000,517.020000,1073.149983,847.413653
44.130000,721754448.170000,41.870000,502.400000,1073.149983,1665.180940
36.160000,792620239.160000,44.430000,545.220000,1073.149983,2267.877383
31.870000,828865184.930000,42.570000,510.170000,1073.149983,2156.948299
28.730000,413445836.500000,8.990000,501.430000,1073.149983,989.720853
44.790000,365332830.420000,29.860000,521.320000,1073.149983,664.862410
43.180000,392287580.790000,37.980000,553.900000,1073.149983,892.744513
42.860000,763870793.300000,24.550000,542.390000,1073.149983,2054.302486
39.680000,752280753.180000,13.600000,537.240000,1073.149983,2025.357278
27.360000,527422313.650000,33.730000,515.210000,1073.149983,1374.006973
34.660000,794537879.660000,20.140000,549.910000,1073.149983,2331.719033
42.080000,633420674.650000,39.340000,546.160000,1073.149983,1681.746885
37.190000,607976079.670000,14.690000,502.280000,1073.149983,1436.941618
40.280000,371905960.860000,25.770000,537.700000,1073.149983,825.773451
25.330000,532434244.060000,30.610000,543.030000,1073.149983,1551.540167
37.730000,794572798.140000,35.910000,560.280000,1073.149983,2385.578127
41.540000,715681236.200000,6.100000,503.640000,1073.149983,1683.802542
32.570000,441015085.950000,4.030000,542.620000,1073.149983,1180.143736
29.850000,609732898.120000,43.940000,506.400000,1073.149983,1541.310292
43.130000,379041991.470000,18.810000,510.920000,1073.149983,717.274610
41.400000,592062465.800000,-0.890000,540.800000,1073.149983,1521.784523
31.610000,746342491.780000,32.840000,552.260000,1073.149983,2236.864717
31.990000,495950846.260000,26.850000,505.980000,1073.149983,1202.275999
36.510000,447966783.000000,8.540000,555.080000,1073.149983,1205.276271
28.860000,603456197.180000,40.420000,529.160000,1073.149983,1654.921650
42.370000,334847005.600000,27.370000,559.080000,1073.149983,714.893625
36.530000,470989569.040000,3.020000,568.270000,1073.149983,1349.551972
38.600000,331057518.360000,31.920000,504.540000,1073.149983,642.223628
34.850000,702719253.450000,8.320000,554.730000,1073.149983,2067.528298
27.600000,492162884.940000,32.120000,509.950000,1073.149983,1249.301614
37.790000,536875734.830000,37.590000,504.170000,1073.149983,1244.797624
43.410000,799421652.120000,4.120000,547.550000,1073.149983,2194.463337
36.650000,806075273.760000,20.680000,520.200000,1073.149983,2104.955569
26.880000,418747768.770000,37.960000,532.740000,1073.149983,1134.816131
