P_net,T_in_ref_blk,p_high,PR,pinch_PHX,dTemp_HTF_PHX,load,T_HTF_in,T_amb_input,eta_Q
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.61,1171.26,267.03,0.9930559928
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.61,1171.26,281.06,0.9930559928
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.61,1171.26,295.09,0.9930559928
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.61,1171.26,309.12,0.9930559928
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.61,1171.26,323.15,0.9930559928
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.72,1196.26,253,0.9882424056
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.72,1196.26,267.03,0.9882424056
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.72,1196.26,281.06,0.9882424056
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.72,1196.26,295.09,0.9882424056
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.72,1196.26,309.12,0.9882424056
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.72,1196.26,323.15,0.9882424056
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.72,1191.26,253,0.9878196937
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.72,1191.26,267.03,0.9878196937
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.72,1191.26,281.06,0.9878196937
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.72,1191.26,295.09,0.9878196937
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.72,1191.26,309.12,0.9878196937
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.72,1191.26,323.15,0.9878196937
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.72,1186.26,253,0.9873139143
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.72,1186.26,267.03,0.9873139143
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.72,1186.26,281.06,0.9873139143
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.72,1186.26,295.09,0.9873139143
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.72,1186.26,309.12,0.9873139143
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.72,1186.26,323.15,0.9873139143
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.72,1181.26,253,0.9867270957
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.72,1181.26,267.03,0.9867270957
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.72,1181.26,281.06,0.9867270957
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.72,1181.26,295.09,0.9867270957
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.72,1181.26,309.12,0.9867270957
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.72,1181.26,323.15,0.9867270957
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.72,1176.26,253,0.9861058369
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.72,1176.26,267.03,0.9861058369
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.72,1176.26,281.06,0.9861058369
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.72,1176.26,295.09,0.9861058369
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.72,1176.26,309.12,0.9861058369
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.72,1176.26,323.15,0.9861058369
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.72,1171.26,253,0.9854010392
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.72,1171.26,267.03,0.9854010392
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.72,1171.26,281.06,0.9854010392
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.72,1171.26,295.09,0.9854010392
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.72,1171.26,309.12,0.9854010392
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.72,1171.26,323.15,0.9854010392
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.83,1196.26,253,0.9913708828
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.83,1196.26,267.03,0.9913708828
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.83,1196.26,281.06,0.9913708828
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.83,1196.26,295.09,0.9913708828
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.83,1196.26,309.12,0.9913708828
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.83,1196.26,323.15,0.9913708828
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.83,1191.26,253,0.9897767711
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.83,1191.26,267.03,0.9897767711
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.83,1191.26,281.06,0.9897767711
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.83,1191.26,295.09,0.9897767711
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.83,1191.26,309.12,0.9897767711
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.83,1191.26,323.15,0.9897767711
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.83,1186.26,253,0.988843164
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.83,1186.26,267.03,0.988843164
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.83,1186.26,281.06,0.988843164
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.83,1186.26,295.09,0.988843164
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.83,1186.26,309.12,0.988843164
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.83,1186.26,323.15,0.988843164
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.83,1181.26,253,0.9884463809
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.83,1181.26,267.03,0.9884463809
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.83,1181.26,281.06,0.9884463809
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.83,1181.26,295.09,0.9884463809
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.83,1181.26,309.12,0.9884463809
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.83,1181.26,323.15,0.9884463809
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.83,1176.26,253,0.9880789907
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.83,1176.26,267.03,0.9880789907
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.83,1176.26,281.06,0.9880789907
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.83,1176.26,295.09,0.9880789907
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.83,1176.26,309.12,0.9880789907
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.83,1176.26,323.15,0.9880789907
