P_net,T_in_ref_blk,p_high,PR,delta,dTemp_particle_PHX,load,T_HTF_in,T_amb_input,pinch_PHX,eta_gross,eta_cycle,UA_HTR,UA_LTR,UA_HX,W_turb_des,W_comp_des,W_recomp_des,UA_cooler,Q_HX_des,delta_temp_particle_HX,C_PB
50000000,1070.74,24848502.32,2.83,32.71,186.5195768369,0.69,1048.34,271.31,20.97,0.4754767131,0.9534290266,0.4754776804,85796882.871976,13592985.2063544,13400949.2857898,11438206.7524883,6744805.68540524,4226711.35126885,103310.217361809,113114448.435934,38356649.7022664
50000000,1070.74,24848502.32,2.83,32.71,186.5195768369,0.63,1041.43,308.64,20.97,0.4517488276,0.9569502488,0.4609871381,85796882.871976,13592985.2063544,13400949.2857898,11438206.7524883,6744805.68540524,4226711.35126885,103310.217361809,113114448.435934,38356649.7022664
50000000,1349.05,24495420.88,3.03,97.22,274.8397628171,0.97,1302.52,286.09,27.87,0.55062744,0.959237435,0.5508246986,85059198.7633499,13510555.7320819,12745694.6514362,12544918.7325844,3983291.95709435,1780987.62223585,53988.0570782139,102749760.74344,37005488.5077872
50000000,1349.05,24495420.88,3.03,97.22,274.8397628171,0.85,1317.15,264.14,27.87,0.5442161294,0.9502927489,0.544216214,85059198.7633499,13510555.7320819,12745694.6514362,12544918.7325844,3983291.95709435,1780987.62223585,53988.0570782139,102749760.74344,37005488.5077872
50000000,1349.05,24495420.88,3.03,97.22,274.8397628171,0.56,1308.38,312.55,27.87,0.466856818,0.904564824,0.4776160058,85059198.7633499,13510555.7320819,12745694.6514362,12544918.7325844,3983291.95709435,1780987.62223585,53988.0570782139,102749760.74344,37005488.5077872
50000000,1158.82,24379151.02,3.51,106.06,282.955669719,0.56,1130.74,264.04,10.34,0.2914769254,0.9018921682,0.2914769952,106898108.421708,25007102.0071521,23088058.0347246,13466666.4392978,4662564.04902498,2957100.21271716,54169.6086081735,126569543.865903,44946191.7910549
50000000,1158.82,24379151.02,3.51,106.06,282.955669719,0.99,1147.61,293.13,10.34,0.4586867312,1.0080751269,0.460524686,106898108.421708,25007102.0071521,23088058.0347246,13466666.4392978,4662564.04902498,2957100.21271716,54169.6086081735,126569543.865903,44946191.7910549
50000000,1158.82,24379151.02,3.51,106.06,282.955669719,0.74,1139.57,316.22,10.34,0.3931831551,0.961733542,0.401398315,106898108.421708,25007102.0071521,23088058.0347246,13466666.4392978,4662564.04902498,2957100.21271716,54169.6086081735,126569543.865903,44946191.7910549
100000000,1456.9,24083786.79,3.26,73.16,297.5650331185,0.51,1434.01,316.32,14.93,0.4780489355,0.8057568763,0.4908902938,168084810.769055,26283591.9315943,24195322.0777972,24365159.4427592,5761113.75971529,4677394.32116905,71220.5284610016,193292503.687139,59062639.4238052
100000000,1456.9,24083786.79,3.26,73.16,297.5650331185,0.9,1422.36,275.76,14.93,0.5861812849,0.9532759622,0.5861840172,168084810.769055,26283591.9315943,24195322.0777972,24365159.4427592,5761113.75971529,4677394.32116905,71220.5284610016,193292503.687139,59062639.4238052
100000000,1456.9,24083786.79,3.26,73.16,297.5650331185,0.71,1438.41,289.61,14.93,0.5606751739,0.9046340244,0.5610613292,168084810.769055,26283591.9315943,24195322.0777972,24365159.4427592,5761113.75971529,4677394.32116905,71220.5284610016,193292503.687139,59062639.4238052
100000000,1276.53,24698055.23,3.93,54.34,255.4128460907,0.51,1250.95,314.43,23.27,0.3563602996,0.9082654562,0.3658849165,204356534.225423,44971787.390462,41778850.0752979,26845656.4944672,6889806.51355118,6040240.79142326,73647.2000401756,231190339.160152,71357036.6025217
100000000,1276.53,24698055.23,3.93,54.34,255.4128460907,0.76,1238.4,267.77,23.27,0.460331145,0.9610411927,0.4603312792,204356534.225423,44971787.390462,41778850.0752979,26845656.4944672,6889806.51355118,6040240.79142326,73647.2000401756,231190339.160152,71357036.6025217
100000000,1276.53,24698055.23,3.93,54.34,255.4128460907,0.96,1246.03,285.16,23.27,0.4913313134,0.9790319353,0.491393132,204356534.225423,44971787.390462,41778850.0752979,26845656.4944672,6889806.51355118,6040240.79142326,73647.2000401756,231190339.160152,71357036.6025217
100000000,1070.74,24848502.32,2.83,32.71,186.5195768369,1.05,1035.15,297.3,20.97,0.4999135083,0.9777046215,0.5045474946,171593765.743952,27185970.4127089,26801898.5715795,22876413.5049767,13489611.3708105,8453422.7025377,206620.434723618,226228896.871867,66134434.1173186
100000000,1070.74,24848502.32,2.83,32.71,186.5195768369,0.69,1048.34,271.31,20.97,0.4754771968,0.9534290266,0.4754776804,171593765.743952,27185970.4127089,26801898.5715795,22876413.5049767,13489611.3708105,8453422.7025377,206620.434723618,226228896.871867,66134434.1173186
100000000,1070.74,24848502.32,2.83,32.71,186.5195768369,0.63,1041.43,308.64,20.97,0.4517488276,0.9569502488,0.4609871381,171593765.743952,27185970.4127089,26801898.5715795,22876413.5049767,13489611.3708105,8453422.7025377,206620.434723618,226228896.871867,66134434.1173186
100000000,1349.05,24495420.88,3.03,97.22,274.8397628171,0.97,1302.52,286.09,27.87,0.5507260693,0.959237435,0.5508246986,170118397.5267,27021111.4641638,25491389.3028724,25089837.4651687,7966583.91418871,3561975.24447171,107976.114156428,205499521.486879,62408953.1512285
100000000,1349.05,24495420.88,3.03,97.22,274.8397628171,0.85,1317.15,264.14,27.87,0.5442161717,0.9502927489,0.544216214,170118397.5267,27021111.4641638,25491389.3028724,25089837.4651687,7966583.91418871,3561975.24447171,107976.114156428,205499521.486879,62408953.1512285
100000000,1349.05,24495420.88,3.03,97.22,274.8397628171,0.56,1308.38,312.55,27.87,0.466856818,0.904564824,0.4776160058,170118397.5267,27021111.4641638,25491389.3028724,25089837.4651687,7966583.91418871,3561975.24447171,107976.114156428,205499521.486879,62408953.1512285
100000000,1158.82,24379151.02,3.51,106.06,282.955669719,0.56,1130.74,264.04,10.34,0.2914769603,0.9018921682,0.2914769952,213796216.843417,50014204.0143042,46176116.0694491,26933332.8785956,9325128.09804995,5914200.42543432,108339.217216347,253139087.731807,76988845.5052722
100000000,1158.82,24379151.02,3.51,106.06,282.955669719,0.99,1147.61,293.13,10.34,0.4596057086,1.0080751269,0.460524686,213796216.843417,50014204.0143042,46176116.0694491,26933332.8785956,9325128.09804995,5914200.42543432,108339.217216347,253139087.731807,76988845.5052722
100000000,1158.82,24379151.02,3.51,106.06,282.955669719,0.74,1139.57,316.22,10.34,0.3931831551,0.961733542,0.401398315,213796216.843417,50014204.0143042,46176116.0694491,26933332.8785956,9325128.09804995,5914200.42543432,108339.217216347,253139087.731807,76988845.5052722
