Category_id,keyword,Category
5,disney,Hiburan
5,spotify,Hiburan
5,joox,Hiburan
16,kereta,Transportasi
16,grab,Transportasi
16,bluebird,Transportasi
16,pertamina,Transportasi
16,shell,Transportasi
16,parkir,Transportasi
16,gojek,Transportasi
6,reksadana,Investasi
6,bibit,Investasi
6,tanamduit,Investasi
6,sekuritas,Investasi
6,aset manajemen,Investasi
4,universitas,Edukasi
4,sekolah,Edukasi
4,university,Edukasi
4,bimbel,Edukasi
4,zenius,Edukasi
4,ruangguru,Edukasi
4,webinar,Edukasi
4,edukasi,Edukasi
8,sakit,Kesehatan
8,obat,Kesehatan
8,farmasi,Kesehatan
8,dokter,Kesehatan
8,pharmacy,Kesehatan
8,doctor,Kesehatan
8,hospital,Kesehatan
8,apotik,Kesehatan
8,apotek,Kesehatan
2,putra kirana sentosa,Belanja
2,saligading bersama,Belanja
2,lintas mitra niaga,Belanja
2,hikari padu lestari,Belanja
2,swalayan sukses abadi,Belanja
2,ranchmarket,Belanja
2,matahari mall,Belanja
2,superindo,Belanja
2,hero supermarket,Belanja
2,grandlucky superstore,Belanja
2,parkson departement store,Belanja
2,sogo departement store,Belanja
2,putra serasi pioneerindo supermarket,Belanja
2,hypermart mall,Belanja
2,carrefour,Belanja
2,gelael supermarket,Belanja
2,multi artha pratama,Belanja
2,vita prodana,Belanja
2,indomart,Belanja
2,alfamart,Belanja
2,ramayana,Belanja
2,debenhams retail company,Belanja
2,star departement store,Belanja
2,metro departement store,Belanja
2,lotte departement store ,Belanja
2,uniqlo,Belanja
2,panen gl indonesia,Belanja
19,1001 entertainment club,Makan dan minum
19,9 square pool & resto,Makan dan minum
19,99,Makan dan minum
19,a & w family,Makan dan minum
19,abuba steak,Makan dan minum
19,ah mei cafe,Makan dan minum
19,ajisen,Makan dan minum
19,ajisen ramen rest,Makan dan minum
19,american grill,Makan dan minum
19,angke,Makan dan minum
19,apollo kitchen,Makan dan minum
19,aroma pondok sunda,Makan dan minum
19,ayam goreng ny. suharti,Makan dan minum
19,ayam goreng seleraku,Makan dan minum
19,ayam tulang lunak hayam wuruk,Makan dan minum
19,b fashion,Makan dan minum
19,bakerzin,Makan dan minum
19,bakmi ayam alok,Makan dan minum
19,bakmi gang kelinci,Makan dan minum
19,bakmi gm,Makan dan minum
19,bakmi mangga besar viii,Makan dan minum
19,bakso malang,Makan dan minum
19,bakso malang karapitan,Makan dan minum
19,bar b.q plaza,Makan dan minum
19,baso malang karapitan,Makan dan minum
19,beanstro,Makan dan minum
19,bearly,Makan dan minum
19,bengkong laut,Makan dan minum
19,biero,Makan dan minum
19,bima,Makan dan minum
19,black ball,Makan dan minum
19,bliss garden,Makan dan minum
19,blitzmegaplex,Makan dan minum
19,bon chon chicken,Makan dan minum
19,bonchon chicken,Makan dan minum
19,breakfast lunch dinner,Makan dan minum
19,brooaster chicken,Makan dan minum
19,brussels spring,Makan dan minum
19,bullfrog,Makan dan minum
19,bumbu desa,Makan dan minum
19,burger king,Makan dan minum
19,cafã© & resto pisa puri,Makan dan minum
19,cafã© de waraku,Makan dan minum
19,cahaya baru,Makan dan minum
19,california pizza kitchen,Makan dan minum
19,canton bay,Makan dan minum
19,carl's jr,Makan dan minum
19,carming,Makan dan minum
19,causeway bay hk resto,Makan dan minum
19,celio cafe,Makan dan minum
19,cempaka,Makan dan minum
19,cendana,Makan dan minum
19,central,Makan dan minum
19,cfc,Makan dan minum
19,chatterbox cafe,Makan dan minum
19,chatterbox cafã©,Makan dan minum
19,cheese cake factory,Makan dan minum
19,chef yang,Makan dan minum
19,chefs table,Makan dan minum
19,chicken story,Makan dan minum
19,chinese food,Makan dan minum
19,city extra,Makan dan minum
19,city hall kedai kopi,Makan dan minum
19,clover palace,Makan dan minum
19,club 36,Makan dan minum
19,club nebula,Makan dan minum
19,coca suki,Makan dan minum
19,coral bistro,Makan dan minum
19,crystal jade la mian,Makan dan minum
19,culina,Makan dan minum
19,cut & grill,Makan dan minum
19,d' asti wines and spirits lounge,Makan dan minum
19,d' core,Makan dan minum
19,d' cost,Makan dan minum
19,d' omelette,Makan dan minum
19,da fu hao,Makan dan minum
19,dabes burger,Makan dan minum
19,daniang dumpling,Makan dan minum
19,dante coffee,Makan dan minum
19,dapur betawi mpok juju,Makan dan minum
