transaction_id,ent
150388,['sekolah']
177438,['tokopedia']
177442,['tokopedia']
290642,['kredit']
177675,['agung']
290799,['bunga']
180266,['union']
180275,['kado']
180278,['laura']
180300,['kado']
180303,['kado']
180304,['kado']
180477,['plaza']
180484,['tokopedia']
181505,[]
181530,['bunga']
181424,['tokopedia']
181539,['tokopedia']
181455,['tokopedia']
181573,['tokopedia']
181612,['gaji']
181585,['tokopedia']
181477,['tokopedia']
181445,['batavia']
181531,['kopi']
181610,['tokopedia']
181480,['tokopedia']
181570,['tokopedia']
181474,['tokopedia']
181527,"['kopi', 'lulu']"
181475,['tokopedia']
181471,['tokopedia']
181422,['tokopedia']
181599,['tokopedia']
181549,['tokopedia']
181469,['tokopedia']
181541,['tokopedia']
181503,['tokopedia']
181601,[]
181463,['tokopedia']
181574,['tokopedia']
181428,['tokopedia']
181516,['gaji']
181622,['tokopedia']
181578,['tokopedia']
181510,['tokopedia']
181434,['batavia']
181561,['tokopedia']
181430,['tokopedia']
181506,['tokopedia']
181542,['tokopedia']
181615,['tokopedia']
181537,['tokopedia']
181478,['tokopedia']
181486,['tokopedia']
181628,['tokopedia']
181602,['tokopedia']
181545,['tokopedia']
181513,['tokopedia']
181420,['tokopedia']
181614,['tokopedia']
181607,['tokopedia']
181412,['grab']
181425,['bunga']
181562,['tokopedia']
181559,['tokopedia']
188023,['plaza']
191921,['plaza']
191922,['plaza']
191923,['plaza']
291077,['lunch']
195154,['tokopedia']
203259,['tokopedia']
203277,['fashion']
203282,"['sushi', 'sushi tei']"
203261,['fashion']
203303,['fashion']
206182,['plaza']
206183,['plaza']
206184,['plaza']
206191,['plaza']
206198,['tokopedia']
214074,['bar']
214107,['sms']
214145,['bar']
214153,['bar']
214302,['plaza']
214303,['plaza']
214304,['plaza']
214311,['plaza']
214318,['tokopedia']
214373,['plaza']
214374,['plaza']
221370,['plaza']
225007,['bar']
226853,['sms']
227416,['sms']
227623,"['spotify', 'spotify']"
227628,['spotify']
227687,"['cicilan', 'cicilan']"
227760,"['agung', 'nike']"
230307,['tokopedia']
230308,"['spotify', 'spotify']"
230327,['tokopedia']
230332,['tokopedia']
3474956,['alexis']
4035699,['jajan']
233088,['indomaret']
234249,['pulsa']
234984,['shopee']
236130,['pulsa']
236412,['tokopedia']
236646,"['sushi', 'sushi masa']"
236650,['dinner']
237539,['shopee']
237552,['indomaret']
237928,['le seminyak']
237934,['mcd']
237939,['club']
238022,['bonus']
238125,['venue']
239614,['plaza']
242284,['plaza']
242644,['shopee']
242659,['tokopedia']
243617,"['kredit', 'pendapatan']"
244686,"['kredit', 'pendapatan']"
245129,['plaza']
245481,['bonus']
245537,['bonus']
245572,['bonus']
246325,['bar']
249371,['noodle']
249428,['shopee']
252390,['gaji']
291485,['bintaro']
291490,['shopee']
291492,"['coffee', 'coffee']"
261720,['mitra']
261733,"['snack', 'food', 'snack']"
262067,['tokopedia']
262070,['tokopedia']
262085,['bibit']
262088,['tokopedia']
262412,['tokopedia']
262449,['agung']
1728683,['lunch']
264221,['andhika']
265173,['mcd']
265258,['fajar']
265271,['fajar']
266365,['dinner']
268977,['shopee']
269006,['shopee']
269036,['shopee']
269045,['shopee']
269047,['shopee']
269058,['hema']
269068,"['kado', 'hema']"
