Name,Rating,NumberOfUser,Address,lat,lon
Wisangkopi,4.7,412,"Jl. Abdul Majid Raya No.67, RT.4/RW.11, Cipete Utara, Kota Jakarta Selatan",-6.265883,106.808089
Janji Manis,3.3,4,"Jl. Pangeran Antasari No.9B, RT.13/RW.2, Cipete Sel., Kota Jakarta Selatan",-6.271062,106.8084049
Honey Beans Coffee & Roastery,4.7,53,"Jl. Sultan Iskandar Muda No.17 A, RT.12/RW.9, Kby. Lama Sel., Kota Jakarta Selatan",-6.258959,106.782023
Anomali Coffee Pondok Indah,4.5,534,"Jalan Margaguna Raya No 21, Pondok Pinang, Kebayoran Lama, RT.1/RW.16, Pd. Pinang, Jakarta",-6.2626227,106.7842941
PT Quintino's Djava,4.4,26,"Jalan Bri Radio Dalam No.99 1 15, RT.1/RW.15, Gandaria Utara, Kota Jakarta Selatan",-6.2588353,106.7891247
Smoking Barrels Craft Coffee,4.8,75,"Ruko Plaza Marga Guna No.3, Jl. Radio Dalam Raya No.RT.3, RT.3/RW.11, Gandaria Utara, Kota Jakarta Selatan",-6.262626,106.788303
Portal Coffee,4.5,140,"Jl. Bri Radio Dalam No.48, RT.3/RW.15, Gandaria Utara, Kota Jakarta Selatan",-6.260053,106.7889752
Common Grounds,4.3,97,"PIM 2, Lantai 3, unit 327, Jl. Metro Pondok Indah No.kav.4, RT.1/RW.16, Pondok Indah, Kota Jakarta Selatan",-6.2656478,106.7827273
Blacklisted Coffee Street Gallery,4.2,75,"Pd. Indah Mall Street Gallery, Jl. Metro Pondok Indah, RT.1/RW.16, Pd. Pinang, Kota Jakarta Selatan",-6.2672255,106.7839921
Upnormal Coffee Roasters RC Veteran,4.3,265,"Jl. RC. Veteran Raya No.2B, RT.1/RW.6, Bintaro, Kota Jakarta Selatan",-6.2704163,106.7649527
TEPI Kopi,4.6,203,"Jl. Ciputat Raya No.9, RT.1/RW.1, Pd. Pinang, Kota Jakarta Selatan",-6.2681967,106.7748347
TABBOT KOFFIE SHOP,4.7,165,"Jalan Taman Bintaro Barat, Blok B3 / 1 NO. 8, RT.8/RW.008, Bintaro, Pesanggrahan, RT.8/RW.8, Bintaro, Kota Jakarta Selatan",-6.268814,106.7538175
Toko Kopi TUKU - Bintaro,4.7,1249,"Jl. Taman Bintaro Barat No.8, RW.8, Bintaro, Kota Jakarta Selatan",-6.2697514,106.7545219
Senjawa Koffie,4.7,57,"Jl. Pd. Betung Raya No.6, Pd. Karya, Kota Tangerang Selatan",-6.260785,106.747226
Pigeonhole Coffee,4.4,854,"Jalan Bintaro Utara Raya Blok P2 No.1 6, RT.6/RW.8, Bintaro, Kota Jakarta Selatan",-6.271019,106.751787
Bakoel Koffie Head Office,4.3,10,"Jl. Bintaro Utama 3 Blok AP No.57, Pd. Betung, Kota Tangerang Selatan",-6.273182,106.746181
Kunanti Kopi,4.5,96,"Jl. Bintaro Taman Barat sektor 1 J1 no. 4, RT.14/RW.8, Bintaro, Kota Jakarta Selatan",-6.2700255,106.7548013
Koffie Bakoel Bintaro,4.4,644,"Jl. Wahid Hasyim, Pd. Jaya, Kota Tangerang Selatan",-6.2727465,106.7241162
KOCIL Specialty Coffee Sunday Market,4.4,107,"Jl. Salihara No.16, RT.11/RW.1, Jati Padang, Jakarta",-6.2839113,106.8380741
Warung Angguai Kopi,4.6,89,"WARUNG ANGGUAI KOPI, Jl. Raya Jatipadang No.1, RT.7/RW.9, Jati Padang, Kota Jakarta Selatan",-6.2877864,106.8293336
PT. JPW Indonesia,4.4,106,"Kavling Polri Ampera, Jl. B1 No.24, RT.2/RW.3, Ragunan, Kota Jakarta Selatan",-6.2831539,106.822917
Hastha Coffee,4.7,12,"jalan warung jati barat no. 12 commercial area lantai 1 unit C, Gardenia Boulevard, RT.2/RW.5, Jati Padang, Pasar Minggu, RT.2/RW.5, Jati Padang, Kota Jakarta Selatan",-6.2839293,106.827041
KOPI KREN #kren001,4.9,77,"Jl. Pejaten Barat III, RT.6/RW.8, Pejaten Bar., Kota Jakarta Selatan",-6.2770232,106.8268744
GOAT COFFEE,4.8,21,"Jl. Benda No.10, RT.11/RW.4, Cilandak Tim., Kota Jakarta Selatan",-6.2748905,106.8159713
Gerilya Coffee and Roastery,4.5,421,"Jalan Banjarsari I No.8A, RT.1/RW.8, Cilandak Barat, Cilandak, RT.1/RW.8, Cilandak Barat, Kota Jakarta Selatan",-6.291926,106.794429
Toko Kopi TUKU - Cipete,4.6,2731,"Jl. Cipete Raya B No.7, Cipete Sel., Kota Jakarta Selatan",-6.2775998,106.8014679
SRSLY COFFEE,4.4,864,"7, Jl. Cipete Raya No.7 C, RW.3, Cipete Sel., Kota Jakarta Selatan",-6.2778692,106.8056904
Kedai Kopi Guyon,4.7,357,"Jl. RS. Fatmawati Raya No.22A, Cipete Sel., Kota Jakarta Selatan",-6.274879,106.7978614
Kopi Bukanagara,4,5,"Jl. RS. Fatmawati Raya No.20C, RT.5/RW.3, Cilandak Bar., Kota Jakarta Selatan",-6.2813141,106.7964317
Pikul Coffee & Roastery,4.4,346,"Ruko Plaza 5 Bl. B, Jl. Cipete Raya No.7A, RW.4, Cipete Sel., Kota Jakarta Selatan",-6.2775161,106.799858
Dua Coffee Shop @cipete,4.5,1684,"Jl. Cipete Raya No.66, RW.4, Cipete Sel., Kota Jakarta Selatan",-6.2778039,106.8005218
commonroom coffee,4.5,153,"Jl. Cilandak Tengah Raya No.1, RT.2/RW.1, Cilandak Bar., Kota Jakarta Selatan",-6.290338,106.801532
Kreasi Kopi (KOPI KIND),5,3,"Jl. M.P.R Raya No.18, RT.3/RW.11, Cilandak Bar., Kota Jakarta Selatan",-6.2805193,106.8042101
Jakarta Coffee House (JCH),4.5,693,"Jl. Cipete Raya No.2, RT.8/RW.4, Cipete Sel., Kota Jakarta Selatan",-6.2781196,106.804458
Kopi Kitchen,3.9,43,"Jl. Pangeran Antasari NO.36Lt.UG Unit OD 07 Lippo Mall, RT.10/RW.1, Bangka, Kota Jakarta Selatan",-6.2879136,106.8080935
Kens Coffee & Roastery,4.6,25,"Jl. Lb. Bulus Raya 1 No.10, RT.: 6/RW.: 1, Lb. Bulus, Jakarta",-6.2936813,106.7823648
Red Spatula Jakarta,4.9,29,"Jl. H. Batong Raya No.56, RW.6, Cilandak Bar., Kota Jakarta Selatan",-6.2857418,106.7901483
Kopi Janji Jiwa Poins Square,4.2,6,"Di depan Restoran A&W, Jl. R.A. Kartini No. 1 Poins Square Shopping Mall Ground Floor CT/ No. 53 & 55, RT.9/RW.7, Lb. Bulus, Kota Jakarta Selatan",-6.2899462,106.7781514
Kopi FISI Cafe,4.6,82,"Jl. H. Batong Raya No.7b, RT.3/RW.6, Cilandak Bar., Kota Jakarta Selatan",-6.2848123,106.7901533
kopi,4.6,7,"Jl. Rempoa Raya No. 20 C Ruko Dekha Tour, Rempoa, Kota Tangerang Selatan",-6.278184,106.762135
KAKAK ADIK KOPI,4.2,21,"Jl. Pahlawan No.17, RW.7, Rempoa, Kota Tangerang Selatan",-6.2788807,106.7618934
Louie Coffee,4.5,335,"Jl. Ciputat Raya No.5, RT.4/RW.7, Pd. Pinang, Kota Jakarta Selatan",-6.2773886,106.7729336
Pinus Coffee,4.6,21,"Jalan Jalak II Blok AII No.13, Rengas, Ciputat Timur, Rengas, Kota Tangerang Selatan",-6.279106,106.745229
Moore's Coffee & Roastery,0,0,"Jl. H. Khacit No.100, RT.2/RW.9, Rengas, Kota Tangerang Selatan",-6.2802445,106.7537276
Upnormal Coffee Roasters Bintaro Sektor 7,4.1,1063,"Jl. Jend. Sudirman, Pd. Jaya, Kota Tangerang Selatan",-6.2783003,106.7210396
Upnormal Coffee Roasters Mall Cijantung,4.4,59,"Jl. Pendidikan No.1, RT.1/RW.4, Cijantung, Kota Jakarta Timur",-6.3127198,106.8618402
Sipirock Coffee,4.2,380,"Ruko Galeri Niaga Kav. KM8-1, Jl. T. B. Simatupang No. 81, Tanjung Barat, RT.3/RW.2, Tanjung Barat, RT.3/RW.2, Tj. Bar., Kota Jakarta Selatan",-6.3044196,106.8461604
Kopi Untuk Pelaminan,4.5,2,"Apartemen Kebagusan City, Tower C KC36, Jl. Baung, RT.2/RW.3, Kebagusan, Kota Jakarta Selatan",-6.3077155,106.8354147
PYRO Coffee House & Roastery,4.5,66,"Jl. RS. Fatmawati Raya No.96, RW.4, Cilandak Bar., Kota Jakarta Selatan",-6.3019562,106.7949166
PHILOCOFFEE,4.6,175,"Jl. Pd. Labu I No.10, RT.2/RW.7, Pd. Labu, Kota Jakarta Selatan",-6.3052623,106.7931772
Toko Kopi TUKU - Karang Tengah,4.7,204,"Jl. Karang Tengah Raya No.16, RT.2/RW.3, Lb. Bulus, Kota Jakarta Selatan",-6.3109176,106.7813027
Kedai Kopi Kulo Fatmawati,4.6,33,"Jl. RS. Fatmawati Raya No.11, RT.8/RW.7, Pd. Labu, Kota Jakarta Selatan",-6.3018261,106.7947104
Toko Kopi Merpati (Munyang Datu Coffee Roastery),5,2,"Jl. Merpati Raya, Sawah Baru, Kota Tangerang Selatan",-6.2978288,106.7337034
EMOTIKOPI,5,26,"Jl. H. Hasan No.33A, RT.2/RW.2, Baru, Kota Jakarta Timur",-6.3273375,106.8501632
Kopi Sondang,4.7,79,"Jl. Agung Raya I No.39D, RT.9/RW.2, Lenteng Agung, Kota Jakarta Selatan",-6.3238425,106.8377277
Toko Kopi Seduh - Jagakarsa (Forest View),4.5,253,"Jl. Durian No.15, Jagakarsa, Kota Jakarta Selatan",-6.321848,106.8140823
Two d Coffee Roastery,4.6,397,"Jl. Mochammad Kahfi 1 Jl. Kp. Kandang No.26B, RT.10/RW.6, Jagakarsa, Kota Jakarta Selatan",-6.3183896,106.8112703
Ladang Coffee,4.4,656,"Jl. Paso No.168, RW.4, Jagakarsa, Kota Jakarta Selatan",-6.3161954,106.8142987
Teritori Kopi,4.5,71,"Jl. Sagu No.81, RT.11/RW.7, Jagakarsa, Kota Jakarta Selatan",-6.3169465,106.8180596
Epikurian Unbreakable Coffee & Roastery,4.5,52,"Jl. H. Abdul Karim No.24, RT.3/RW.3, Jagakarsa, Kota Jakarta Selatan",-6.3226584,106.8260257
KULTUR JARINGAN KOPI,4.5,426,"Jl. Kalisari No.4, RW.1, Kalisari, Kota Jakarta Timur",-6.336482,106.8549042
"Kedai Kopi Kulo, Cijantung",4.3,87,"Jl. Kalisari II No.40, RW.2, Kalisari, Kota Jakarta Timur",-6.3387918,106.8547652
Milenial Coffee & Roastery,4.6,16,"Jl. Raya Lenteng Agung (jalur lambat arah Depok) No: 24, RT.5/RW.8, Lenteng Agung, Kota Jakarta Selatan",-6.3391499,106.8357593
"de Ngokow Coffee Box & Roastery Kahfi 2, Jagakarsa",4.5,62,"Jl. Moch. Kahfi II No.54B, RT.7/RW.8, Srengseng Sawah, Kota Jakarta Selatan",-6.3435675,106.8171515
Pokta Kopi,4.7,86,"Jl. Wr. Sila No.111, Cipedak, Kota Jakarta Selatan",-6.3460955,106.8113542
Riel Kopi & Roastery,3.8,6,"Jl. H. Mendik, Gandul, Kota Depok",-6.3448406,106.7938524
Kohwa Coffeehouse,4.7,45,"Jl. Pajajaran Raya No.105, Pamulang Bar., Kota Tangerang Selatan",-6.3379935,106.7397342
Kopi Bolank (Pasar Kita Pamulang),4.8,20,"Pamulang Barat, Pamulang Barat, Tangerang Selatan",-6.3411198,106.737751
Isengopi,4.9,73,"Jl. K.H.M. Usman No.47, Kukusan, Kota Depok",-6.361203,106.816613
210 Roastery,4.8,67,"Jl. Moh. Kahfi 1 No.8, Cipedak, Kota Depok",-6.3636663,106.8038866
Tagetto Coffee Roastery,4.7,111,"Jalan Lingga Blok G no 245 PERUMAHAN MEGAPOLITAN CINERE ESTATE, Cinere, Kota Depok",-6.3492159,106.7807573
