H_rcv,Q_in,T_in_design,T_out_design,T_amb,mdot,eta_rcv
23.188485,627672447.300000,817.389415,1248.736527,277.334824,1056.462031,0.919145
26.533443,118509198.500000,862.940950,1040.923836,274.160222,321.637121,0.597019
36.560045,949236768.400000,817.728411,1043.818642,308.241974,3147.333130,0.919883
41.545244,367158565.200000,863.887347,1041.623016,296.982676,1205.527122,0.721457
14.523654,992195255.800000,863.419001,1053.990972,295.105690,4155.645015,0.988622
41.903178,59992560.380000,845.373903,1226.692603,290.258423,-1.000000,-1.000000
37.276158,442541987.900000,807.163513,1267.218373,297.893779,506.786669,0.667673
9.672623,819350279.700000,852.362393,1142.922600,277.409564,2233.210111,0.992653
40.955799,208467059.700000,815.565056,1172.822059,281.112962,194.729500,0.409288
29.392467,509795458.800000,850.940580,1088.006945,287.195825,1536.598003,0.887945
39.594378,43896587.490000,863.719445,1241.341825,312.185438,-1.000000,-1.000000
39.639732,217621079.400000,814.254752,1030.474715,316.067333,431.091906,0.524136
30.030595,678868269.800000,814.715047,1077.066406,263.277617,1917.927429,0.913917
48.135757,532344815.400000,806.689857,1146.719821,283.202565,821.263455,0.653005
22.797705,971325745.400000,812.898137,1232.013825,316.066065,1750.513096,0.953255
5.337101,624386108.100000,830.224878,1134.866381,281.585334,1638.518540,0.997232
22.560659,422332728.300000,855.562682,1091.336534,289.716198,1321.579461,0.917994
42.211888,786606565.800000,838.423852,1150.533967,281.063050,1681.660323,0.835430
47.890311,975046299.100000,829.358523,1254.365082,311.855907,1428.956554,0.790672
41.407652,973709025.200000,859.176648,1075.474675,288.771034,3227.167734,0.890301
20.914508,660767823.800000,830.438178,1187.349390,316.734220,1392.463636,0.945682
11.867869,203960527.100000,809.167025,1049.564839,265.495982,660.156613,0.954289
23.712420,156990077.500000,848.308777,1183.983498,302.757830,245.760302,0.662267
6.858747,718796315.400000,824.487024,1211.566295,309.469663,1466.210287,0.995347
16.580846,680478049.000000,813.567901,1217.266443,263.233519,1290.870209,0.964521
21.802278,311838567.200000,823.590093,1141.480650,306.707163,696.926883,0.886154
30.392971,16337979.200000,818.372000,1243.505567,317.897049,-1.000000,-1.000000
33.856710,934357290.400000,823.523594,1148.250972,263.889802,2093.942120,0.908630
43.923596,169816468.700000,843.269787,1087.900624,302.946319,194.729500,0.409288
34.536404,82851044.860000,846.306321,1166.249961,293.061649,194.729500,0.409288
12.830449,296081603.600000,851.756727,1030.639248,267.568851,1301.269208,0.968259
25.701120,272569113.700000,850.143185,1217.550286,308.368996,457.324212,0.780949
15.082965,100165114.300000,804.770017,1125.166890,295.053391,207.479179,0.823143
16.223800,614963201.600000,823.460867,1043.051841,311.878992,2227.451109,0.976851
8.056813,107719335.200000,843.316284,1131.500332,287.945576,283.623084,0.948053
9.389145,763877209.900000,857.850873,1196.586460,264.547863,1768.237963,0.991540
45.679316,555700557.600000,865.278201,1058.897790,279.867954,1786.582629,0.771847
5.720469,102414542.300000,831.388407,1194.338225,271.317071,216.737921,0.966907
34.175404,38531218.660000,856.181744,1234.802301,269.331249,-1.000000,-1.000000
34.989945,914362706.600000,863.322309,1255.099115,269.709264,1603.936678,0.877100
37.172561,353497774.900000,849.184538,1089.409479,309.226358,877.155491,0.740677
34.499262,267557657.500000,804.620085,1071.475201,284.480118,571.225646,0.700662
24.065757,596314686.300000,829.777585,1130.894043,280.978346,1474.809224,0.928343
31.174877,237125237.600000,851.665711,1164.204425,285.046297,384.319378,0.636875
10.980951,100835079.100000,841.823121,1115.472899,304.127432,268.367047,0.907523
21.726258,496738589.600000,801.689715,1240.814689,288.279846,817.900356,0.912033
6.708000,873980696.800000,860.981768,1179.566514,305.927211,2166.342094,0.996587
46.332899,72383766.490000,827.416271,1235.687917,309.707831,-1.000000,-1.000000
13.951052,352233579.700000,824.215622,1051.459602,316.297123,1218.941724,0.967262
19.228702,14763571.350000,837.716095,1086.896548,300.460353,-1.000000,-1.000000
48.173559,68703434.260000,819.997880,1160.642680,301.323454,-1.000000,-1.000000
26.098218,743796809.600000,818.422322,1090.630120,310.220326,2079.047935,0.940787
29.826676,992383652.200000,816.463399,1241.171454,273.107315,1698.446541,0.919097
13.463201,762082834.600000,820.799798,1043.378269,268.869799,2753.781212,0.987394
12.892025,408542396.400000,826.009238,1230.286238,264.274132,768.021772,0.960924
8.150803,537326464.800000,834.466208,1084.010196,316.031098,1726.543826,0.993074
15.488877,431297488.200000,802.762179,1097.935303,290.392816,1138.247808,0.961765
49.997009,859755878.000000,865.677321,1112.739038,290.988854,2241.160067,0.805289
28.447853,834725499.800000,818.815275,1177.023013,283.920523,1716.112219,0.922791
47.382309,347591238.800000,830.221167,1123.887848,304.192444,415.944021,0.437622
17.385661,189890641.100000,842.319495,1042.729603,267.501857,691.333722,0.898929
34.058316,358728175.100000,806.642850,1051.264114,293.813987,966.100190,0.807849
5.161438,876915815.900000,849.347270,1096.420811,273.197610,2848.308399,0.998299
8.344814,97045625.950000,863.225574,1220.885870,269.928635,197.773939,0.925736
42.848838,855401615.600000,834.810598,1192.555573,288.814316,1578.366429,0.831189
47.444173,160042176.900000,856.054657,1201.948603,304.552777,194.729500,0.409288
39.235476,402779132.900000,808.948687,1038.109988,280.323735,1117.451096,0.778262
49.656072,634571098.700000,834.325199,1060.861291,294.838897,1742.581916,0.767619
5.978212,434623623.900000,871.084078,1108.117074,301.176501,1458.926623,0.995062
41.501219,984962542.900000,851.693077,1107.540627,316.232753,2732.841771,0.884898
26.815127,894753149.900000,801.236088,1259.140897,316.920480,1429.756127,0.925346
42.294730,798369277.500000,863.388485,1236.639717,282.784277,1349.446031,0.803090
42.546841,699922597.000000,831.725113,1203.895432,273.494794,1171.893591,0.785558
9.558180,90249551.180000,812.037561,1157.838472,317.465748,190.964958,0.913196
37.021066,958658304.700000,873.093130,1052.189651,304.846062,3958.326324,0.917138
9.826595,440481874.400000,826.851203,1110.753838,287.651637,1231.538041,0.985930
11.505815,310261390.100000,850.650533,1074.830380,317.925025,1086.603696,0.973593
39.099974,536831918.800000,815.499525,1168.180915,306.927369,950.785180,0.781235
14.936623,777470649.800000,820.299328,1118.583006,273.220754,2059.341724,0.981488
11.706644,199576146.600000,838.833264,1125.107254,299.960334,528.499217,0.945565
9.545116,403630219.000000,798.273430,1260.023576,306.115552,676.247177,0.978022
31.218393,58943959.490000,826.255399,1149.040914,277.404202,-1.000000,-1.000000
28.983783,351661319.300000,832.330370,1091.270015,289.604112,923.373650,0.842726
38.137902,927954367.600000,852.579535,1167.674955,288.381575,2061.468223,0.880674
18.716193,615923132.200000,811.519036,1124.307167,315.091763,1522.806984,0.960129
17.076129,256159794.900000,870.040921,1257.631737,314.746557,459.689538,0.888936
7.680849,938491087.200000,859.117686,1064.517539,309.552060,3673.269269,0.996701
41.082995,880221001.900000,840.088184,1152.889497,312.445937,1935.726517,0.861814
8.204814,23158764.820000,828.688282,1134.576591,275.224480,43.288998,0.713026
47.931617,93761335.070000,835.578244,1203.809520,313.417470,-1.000000,-1.000000
29.020962,279913181.000000,808.780701,1124.131993,314.345157,559.936216,0.782818
41.411227,96066242.970000,806.061469,1158.820997,315.349859,-1.000000,-1.000000
29.788496,231652528.800000,836.710715,1221.714489,274.423821,283.553878,0.596120
32.385501,868733691.300000,855.821600,1241.491868,309.930815,1580.796251,0.892911
20.654124,908552102.500000,807.777467,1252.224129,317.609181,1546.830540,0.956981
38.059350,965491999.900000,827.851584,1161.042622,313.535255,2058.713177,0.889413
14.218256,661083905.400000,806.093468,1126.923201,307.943244,1626.855988,0.979739
35.239278,287569321.600000,805.206302,1028.923800,268.184709,784.807287,0.745775
18.457132,425151103.100000,813.022393,1126.510062,287.595225,1025.909145,0.939732
29.683722,392240305.300000,841.898320,1117.770454,293.757467,962.419930,0.843770
26.470455,384342517.700000,831.793873,1128.896860,288.946252,901.649261,0.868862
29.395710,441698533.500000,836.745391,1202.687004,289.994684,801.077915,0.837201
13.379034,616507020.800000,829.084111,1129.240917,288.984377,1616.201564,0.980528
8.386359,744478394.300000,836.180409,1272.140364,270.248730,1329.672611,0.991983
30.126303,10749076.630000,829.576387,1103.596468,290.427200,-1.000000,-1.000000
7.890221,680882452.600000,846.915452,1153.347016,310.734341,1761.056257,0.994112
6.049869,845813615.700000,868.098456,1181.378850,293.284319,2130.169949,0.997103
44.427598,31137131.060000,844.643354,1125.968514,287.085467,-1.000000,-1.000000
23.933595,951897959.500000,799.101635,1214.950340,301.833616,1728.853134,0.948693
41.530073,607846335.300000,832.401457,1031.894134,272.639714,2080.774629,0.838476
35.144551,196892739.800000,830.769306,1094.030602,278.054983,292.599172,0.484998
17.442417,496628415.600000,805.129704,1038.794796,312.535193,1677.187929,0.965447
8.171715,172862579.600000,836.686641,1064.963405,299.371626,597.810664,0.975159
28.955462,189733535.500000,870.861923,1146.432496,316.847683,341.130651,0.623196
22.974468,889362279.500000,813.322224,1043.180272,289.609284,3053.018696,0.967430
23.112941,23877596.220000,799.718001,1246.355222,291.028237,-1.000000,-1.000000
17.777612,764935099.600000,807.128690,1182.649001,279.717221,1574.160629,0.967302
39.294075,403341426.200000,815.116631,1225.500819,312.372160,482.546370,0.619261
49.482921,417468935.100000,843.467473,1255.295307,265.838919,194.729500,0.409288
42.718234,528272021.000000,815.526517,1036.287574,292.736139,1572.433722,0.805052
46.788504,448784689.500000,835.429225,1047.726183,276.898845,1207.237360,0.703336
6.215415,907157465.900000,841.425338,1084.097725,277.223698,3007.797116,0.997677
41.039669,23090712.630000,798.972016,1066.924350,301.270986,-1.000000,-1.000000
7.336959,602710648.500000,825.176475,1248.844793,290.936893,1114.191747,0.992785
16.072311,999414108.200000,844.254529,1045.408582,304.839711,3975.493937,0.986561
27.308367,167425719.100000,851.497093,1051.194600,308.498468,486.903213,0.717580
38.698222,489447876.000000,846.590665,1035.063927,300.638910,1742.085956,0.826061
43.547204,188352391.100000,871.513581,1249.364761,307.326321,194.729500,0.409288
12.011742,61679844.410000,845.705149,1228.875429,281.737964,94.172792,0.741836
33.926112,316643181.600000,807.836321,1211.220122,273.736857,402.247869,0.644230
29.282773,521560765.600000,813.714513,1149.298560,311.790140,1096.513208,0.879621
36.883471,737973029.800000,863.340636,1106.979038,312.197028,2126.792768,0.876865
43.727049,521644361.400000,854.827571,1121.581656,297.865793,1159.671103,0.741213
5.621788,570386204.600000,841.836462,1188.962144,299.769836,1299.212595,0.996194
28.414265,874440758.700000,868.616684,1023.840164,267.589423,4338.405428,0.950116
14.186470,80983081.520000,852.275695,1073.567431,300.259525,245.245858,0.831076
23.575516,143893871.700000,836.375661,1034.072769,294.974713,453.957601,0.766571
10.098125,572765323.500000,801.185017,1231.306286,306.477835,1041.549147,0.985160
18.909771,463138636.100000,864.558326,1074.382996,277.419907,1688.688283,0.950816
43.492576,637737110.400000,864.621301,1195.025435,309.549268,1154.523878,0.757010
38.135715,624319796.200000,825.248485,1054.720004,315.287492,1908.660198,0.863482
32.715722,454469871.200000,817.913816,1172.482714,292.160769,836.209588,0.816804
35.560003,962782352.700000,856.322282,1171.252914,285.283990,2180.298471,0.898287
37.923646,44909361.220000,836.364288,1272.707117,311.822440,-1.000000,-1.000000
20.302369,29056414.620000,822.585352,1035.930498,311.193407,194.729500,0.409288
17.161590,303834431.700000,847.116823,1152.191644,290.403287,732.020123,0.921790
49.696881,289102411.400000,866.462479,1194.950542,287.228770,194.729500,0.409288
40.281685,216266609.900000,800.097721,1202.726247,282.403462,194.729500,0.409288
20.707841,43248871.220000,843.069978,1114.229641,272.050530,194.729500,0.409288
19.022865,708871561.200000,801.302335,1023.217014,269.904473,2548.554239,0.972961
27.836807,108088511.800000,858.966983,1073.847322,296.799974,166.039865,0.409823
7.279682,145527172.500000,829.862270,1173.225140,299.097363,326.426793,0.966257
35.469256,328237027.300000,836.248442,1125.663158,267.660922,644.981298,0.709099
18.180502,532682863.500000,798.749914,1156.242414,275.959229,1137.632993,0.950539
22.817156,221586983.900000,799.185842,1264.867461,265.487574,281.506862,0.748548
6.210007,255609198.200000,849.493612,1271.317545,295.847892,467.631853,0.985071
45.680680,189341244.800000,851.424587,1263.970804,294.194424,194.729500,0.409288
6.334049,270797739.000000,864.439943,1040.518949,295.537760,1234.241351,0.992061
27.132320,688007681.500000,859.635597,1198.508388,287.618016,1460.195816,0.909976
41.239612,812021758.500000,821.453481,1125.230892,312.860554,1845.077071,0.858504
41.556117,377383606.300000,814.941453,1138.723595,285.033411,587.988653,0.628074
15.896183,947735745.700000,800.324570,1148.298473,310.991949,2150.746875,0.982209
35.476313,806802388.800000,806.944379,1174.638554,294.280947,1546.530440,0.881143
48.479110,845504392.800000,845.968876,1030.760839,288.055405,3140.559158,0.844553
9.357277,352296036.900000,811.473444,1115.309087,301.626968,919.626640,0.983318
26.842727,410176478.800000,803.534237,1265.989253,301.507530,583.435251,0.833006
49.065938,387703074.500000,847.081500,1167.557279,315.524275,366.988738,0.381314
34.201634,904112495.500000,866.433223,1204.004870,313.446697,1888.199557,0.893666
6.200221,825595450.200000,803.585205,1118.788743,272.458755,2108.623984,0.997321
18.493773,93914413.160000,825.954362,1073.105408,279.069793,227.763573,0.740019
5.199142,158742119.700000,842.735510,1172.324071,271.869500,377.756233,0.985896
46.672461,939275993.100000,865.274807,1113.861131,315.603347,2556.180526,0.846000
18.057068,258829511.400000,847.849679,1024.075516,312.476294,1107.340626,0.926954
43.848362,861890523.100000,833.567492,1209.334976,297.802572,1488.260327,0.818875
29.287338,8903580.298000,823.985072,1132.572008,296.622530,-1.000000,-1.000000
26.952922,730319597.200000,861.898041,1271.229386,311.116670,1261.790056,0.904438
49.917860,871746294.900000,868.670348,1061.780781,299.570406,3015.063727,0.828993
33.633845,513564742.000000,804.339705,1199.663774,285.076979,848.596655,0.819348
26.897073,18194949.500000,810.469496,1037.809752,277.933407,-1.000000,-1.000000
21.294575,256680004.200000,833.796863,1219.577471,274.049671,442.814921,0.841213
15.314597,507046962.400000,835.225300,1110.163972,264.710160,1435.855877,0.968317
45.755546,148251202.900000,823.699965,1271.813171,304.501263,194.729500,0.409288
47.599811,598729019.000000,840.493804,1271.008444,272.979901,631.663854,0.578935
21.904172,554062824.100000,802.719622,1049.225665,265.634434,1738.017235,0.947250
32.370153,342437506.700000,836.860027,1239.865144,265.221756,463.706460,0.692133
30.984032,840621769.400000,843.035943,1096.672357,311.188216,2468.516490,0.925589
10.570104,235193260.400000,858.654422,1076.241855,287.362847,843.378051,0.969031
29.180398,218578423.900000,834.619288,1241.277094,282.129065,237.192150,0.559596
39.727550,699346806.700000,798.517594,1180.570595,282.041380,1210.250696,0.826154
17.060077,45910681.230000,839.060330,1205.663753,306.737956,194.729500,0.409288
29.092667,143138362.100000,837.527819,1193.437826,300.131517,96.719193,0.302991
16.563015,918031281.100000,801.992134,1100.790029,304.560251,2443.147458,0.982066
47.402400,115225856.100000,837.700601,1203.400299,289.987669,-1.000000,-1.000000
37.285246,386957035.200000,855.244038,1221.326775,316.120597,546.247951,0.655567
21.411623,196359865.700000,847.454821,1251.800998,293.268704,290.361765,0.760879
11.536351,983871857.300000,801.586383,1221.018326,299.011965,1846.147935,0.989863
22.952828,120371418.100000,820.242477,1061.491080,268.589072,280.950763,0.693229
9.953716,173647379.600000,870.625608,1219.727758,287.089042,368.788211,0.942563
12.267730,514322760.300000,819.879038,1119.736612,317.487954,1354.041197,0.980775
45.221141,105192075.800000,820.944838,1072.632990,265.405191,-1.000000,-1.000000
36.073982,222288192.800000,868.410667,1098.163884,275.930003,416.209608,0.536945
19.542726,88595089.530000,859.216456,1074.960033,317.498584,228.686701,0.691559
29.204606,921895053.500000,809.223524,1162.230374,291.649966,1944.221321,0.929319
19.818014,183096801.200000,844.050104,1207.088910,283.470581,321.465547,0.805486
15.715927,391245108.600000,836.760128,1108.269304,315.701521,1107.525946,0.955853
46.096903,595435312.400000,824.767767,1152.917669,291.087927,1056.660816,0.727756
34.577692,461767375.900000,802.197900,1071.235232,285.234378,1173.027626,0.840124
15.342607,492145986.000000,846.175643,1069.913777,306.957652,1725.781714,0.971429
45.471785,589096555.000000,848.395847,1245.217494,315.957246,764.407819,0.654736
14.416287,40144988.710000,851.899561,1107.431802,285.297940,65.456717,0.519389
32.911292,936322655.500000,843.915042,1244.350660,309.761737,1651.362488,0.897274
26.968224,701116325.000000,830.063736,1082.827830,302.372580,2092.863298,0.933601
46.989670,589778988.600000,851.474357,1044.731446,281.304636,1932.289297,0.781532
34.211775,807354325.300000,798.926018,1080.616869,272.621913,2113.026102,0.907127
29.900735,554436476.500000,859.370763,1212.567324,315.049949,1070.634987,0.864666
17.663386,346948817.700000,828.464596,1207.886098,296.805728,666.803612,0.919350
37.355424,540530250.700000,821.169843,1241.546247,264.937388,771.380532,0.759161
46.902532,256012473.300000,814.954883,1063.070960,315.536348,254.720199,0.303726
30.833506,940721955.800000,868.179181,1199.042336,311.769362,2057.936401,0.917084
46.357552,837382687.200000,819.198742,1107.125903,296.017306,1954.370185,0.833153
38.530242,230024027.700000,850.683964,1218.967081,282.230742,194.729500,0.409288
34.321473,302749844.500000,839.819452,1230.220727,289.886671,361.693412,0.590996
8.454425,401891044.300000,808.523746,1197.261562,291.131378,812.218823,0.985760
18.081031,617746249.400000,816.742130,1057.401168,268.033860,2022.439728,0.968789
21.565586,970612008.200000,842.893880,1232.705386,284.979606,1881.116748,0.958091
16.770806,404749094.300000,818.634138,1199.237091,287.126252,793.361256,0.937876
17.913165,188901762.200000,860.957636,1123.846769,297.077200,501.862883,0.874124
5.786722,21479869.800000,844.755755,1074.356351,279.968080,66.568596,0.881437
38.616411,449141825.600000,855.511921,1226.299492,308.410141,655.813440,0.687323
11.157257,644018873.400000,802.380021,1054.955751,269.511696,2057.850974,0.989526
38.708273,541431158.600000,863.981235,1110.470700,264.020027,1423.170234,0.809639
36.703703,69912294.230000,866.716644,1245.687143,301.860630,-1.000000,-1.000000
20.936920,831276690.000000,825.912712,1201.390981,275.120468,1680.900279,0.955907
45.174995,363708572.000000,811.464018,1048.290685,304.868713,809.826433,0.646844
31.603034,465753878.700000,842.258435,1259.307284,267.739314,696.776551,0.794166
23.827961,752829494.200000,851.895345,1198.006101,298.373654,1612.620356,0.936840
39.915356,268479384.200000,850.436416,1212.530401,286.705396,152.106260,0.259710
20.141190,497301538.000000,815.353965,1249.291952,280.953330,834.436142,0.921577
34.068463,83763744.940000,823.222853,1072.371335,308.212079,194.729500,0.409288
32.205856,276512221.300000,829.322412,1150.798707,280.281166,475.106660,0.690592
39.375689,851047450.600000,806.677114,1115.966669,292.122762,1949.322706,0.877692
42.479911,566349888.000000,855.814467,1145.835378,277.867461,1187.241757,0.762810
41.884909,459429432.200000,830.603425,1042.291714,272.137546,1369.658178,0.775925
17.684027,422740578.500000,866.368745,1138.775869,305.732680,1167.024833,0.944129
38.098858,181663480.600000,837.905786,1112.233719,293.474507,80.536929,0.151372
14.917445,488046923.600000,852.057576,1132.904955,316.892111,1343.761048,0.967730
20.665329,516158355.700000,868.483322,1062.478318,271.740489,2034.512855,0.949163
46.576855,344106731.600000,835.423613,1266.378671,267.278668,194.729500,0.409288
23.779477,392936996.200000,845.434126,1043.502264,265.818665,1467.046045,0.911672
36.685172,839312172.500000,804.070044,1224.543301,287.248514,1372.819511,0.865791
20.104901,710018644.800000,843.581184,1227.991653,272.029104,1382.059223,0.948389
43.867796,825429016.100000,861.635453,1062.649117,289.448200,2843.677912,0.858660
6.928340,198667026.500000,812.283609,1130.026156,279.295424,493.879692,0.981682
14.816247,126309310.400000,815.119001,1124.711334,266.434843,284.789103,0.867215
31.958152,796645608.800000,826.550906,1203.312513,276.713061,1500.325185,0.893694
28.965872,640999353.800000,845.690807,1110.058464,265.911726,1767.727344,0.908291
40.472700,628295403.000000,849.089368,1241.032839,307.729697,963.409426,0.763819
23.888967,419840886.500000,862.268941,1137.800632,304.056614,1091.371728,0.898499
10.706823,293162065.700000,810.224738,1048.372854,293.975253,980.537986,0.976894
40.557860,314341587.300000,859.998292,1236.944503,286.168907,234.446898,0.357705
21.683449,412586050.500000,845.181947,1101.411768,315.758771,1192.436009,0.921284
16.545593,38709256.930000,849.865357,1266.292791,284.373447,194.729500,0.409288
45.078183,374854163.200000,866.282189,1201.885715,316.088036,377.444407,0.428211
23.617361,907789983.500000,807.573367,1030.122083,317.506511,3230.673240,0.968020
20.509318,642689299.300000,848.344105,1076.968253,310.091018,2176.487986,0.960051
11.939624,960986732.100000,868.828372,1239.145692,289.378163,2012.010363,0.988137
47.239424,787688608.100000,805.706155,1151.274124,290.451899,1455.996140,0.795574
11.947858,770295164.100000,798.404637,1093.164984,278.701877,2096.926441,0.989186
30.724296,871814541.700000,831.505484,1170.013801,301.849600,1881.270394,0.916223
47.024354,144780402.700000,829.805758,1084.904856,270.090321,194.729500,0.409288
45.933214,131415384.100000,827.551447,1194.682927,298.628792,-1.000000,-1.000000
6.467780,494726363.400000,824.729372,1214.023908,295.803684,1001.279058,0.993632
49.078279,450449598.700000,818.441583,1205.029013,295.745530,400.956143,0.432956
19.482242,571341979.500000,801.503342,1185.143187,300.397256,1124.106043,0.944281
25.091268,7866892.216000,872.299429,1201.546850,317.047468,-1.000000,-1.000000
48.319842,963748215.800000,843.825247,1247.803729,268.195224,1468.332966,0.782353
14.014218,543573779.200000,853.680171,1118.390062,302.158673,1604.623682,0.976032
36.549330,452126008.100000,822.044564,1220.428211,291.252152,657.583135,0.731088
