H_drop_design,T_out_design,T_amb_design,T_in_design,Q_in,eta_rcv,Unnamed: 6
22.7283533114,1162.1272675955001,293.6502384299,874.8346039766002,654094887.6420469,0.9382885735,92156120.85542692
8.7095963704,1144.3668327683001,278.1585507583,1040.1095271672,180933660.474094,0.9679915677,20188439.7470244
7.7557481093,1135.4351293808,281.6672387358,841.4294138137,615214854.585968,0.9937743353,41914360.672462106
11.7664563833,1416.8507847116,306.59232276330005,1155.2133064802001,530849859.270909,0.9650884373,59370059.27548979
6.706147538500002,1242.8565569318,266.14693609650004,1100.1713359945,173495214.560296,0.9750398824,23728076.959127106
22.0387670836,1379.1914452195,265.154696025,1201.2166765907,542724427.6267098,0.8808892408,118515237.428261
46.6239391612,1169.6900708560001,296.6217131508,879.9170581610001,627305432.383206,0.7257595134999999,318567349.333133
8.4202154543,1114.2005159103999,312.5266222899,839.4693001160001,184331698.376076,0.9713113117,40020179.6205988
41.8522585825,1440.6140933681,313.2554999629,1308.5141300179,877509674.27963,0.6898805568999999,496330224.1229701
49.856052706499995,1233.2852738516,301.4299141144,1081.1625524142,974910177.7690632,0.7607481295999999,428442413.31554
33.5026983298,1134.0027678777,302.1820803912,1002.6776892089,168942374.312953,0.4098843748,146442860.405744
41.698149508200004,1320.0489980235,289.7457551643,1154.800609593,802324839.439996,0.7545335013,367619063.487826
30.625541533000003,1219.3248424506,294.9059792984,1115.8040370043,771150162.2651732,0.8930458523999999,149432780.572097
43.5523121073,1141.2935823639,260.6615826153,934.6544634201,656879120.574561,0.7828123576,256080333.886494
5.289849842,1367.389647199,281.33800348650004,1207.1859087542,669425174.835896,0.9948591481,25810664.8385129
24.5294275127,1359.4738485257,287.7522767871,1122.4366266286,303670606.163775,0.7462183947,143370112.896821
27.790157844699998,1202.7214609313,304.0413617254,981.3910513731,945311887.8350288,0.9334706315,127637328.977912
24.156376182,1084.7644292636999,301.3457693425,970.5321621486,158085578.917047,0.7480977248999999,69663990.83317421
38.9826639886,1195.8995947353,287.99431880099996,952.6876924719,783710834.268746,0.8416283114,237211612.600364
36.2674933522,1397.0464157223998,282.7341117987,1134.6451414378998,982865617.1653199,0.8273343842,333424824.881123
16.3548260452,1152.4571744885,253.52534320439997,953.4540573659,725944442.737862,0.972981492,52565350.4586408
41.698149508200004,1320.0489980235,289.7457551643,1154.800609593,723718219.451488,0.719710944,367619063.487826
5.289849842,1367.389647199,281.33800348650004,1207.1859087542,482573565.59779817,0.9928356213,25810664.8385129
11.2721203225,1067.0337164633,258.6205819575,793.4210046333003,583840085.779251,0.9875080948,43288579.5076517
32.8117750263,1353.7492478981,279.62709988669997,1111.1913215779,677119782.396838,0.8095646473,245684157.704612
47.5794256075,1134.3795191732002,290.7266489652,855.8538849928999,973279901.591525,0.8375964032,302556002.981704
21.5782028368,1430.2141488874,270.5327183348,1239.5537906627,179791587.130493,0.5744913889,127507601.562347
18.6938540072,1061.9644547429,298.944059928,816.5856472327,930685430.776942,0.9791246468,58988497.1292761
9.377205228400001,1468.6630519576001,287.5646145243,1209.5167772665,139350637.711646,0.8941431717,51679351.2934001
37.0939923831,1089.4620912789999,292.1113485984,839.1717339032001,631307296.0367348,0.8626550796,167136243.187262
38.9826639886,1195.8995947353,287.99431880099996,952.6876924719,637932663.631054,0.8016475553,237211612.600364
39.6144591427,1340.1754151578,309.08090857310003,1172.5144998528,853460567.783829,0.7782642958,347046071.36771
32.188805985500004,1177.4394897003,289.9779096139,944.7725137534,466428786.441355,0.8214981415000001,157586447.610991
35.1701727747,1416.9526565148,280.9230295363,1241.3011883467,422049978.506754,0.5452756206,325469270.13716096
46.959700269799995,1106.4745303969,271.7773097274,910.6251254526,477124706.34377307,0.6728396011,271694332.21558
26.210127924899997,1387.1317547891001,292.7936970241,1097.790664119,533618554.101051,0.8319659596,174915274.607341
41.5770190458,1321.4237723504,301.7048488816,1069.8494850396,987322581.566595,0.8061869026999999,368301423.635448
42.4705270722,1126.4519587477,285.1809316762,893.562692514,309541881.972908,0.5086111689,235405152.908179
39.4914927216,1240.9310874128,305.1637711364,1015.7264866825,789034498.4811621,0.815733928,271303578.457163
41.698149508200004,1320.0489980235,289.7457551643,1154.800609593,571977554.536572,0.6381040685,367619063.487826
42.4705270722,1126.4519587477,285.1809316762,893.562692514,346875941.990959,0.5832473604,235405152.908179
22.7283533114,1162.1272675955001,293.6502384299,874.8346039766002,728349703.840979,0.9453519889,92156120.85542692
14.485291545299999,1043.441830702,259.5216888641,812.3447809756,768123269.226943,0.9852786926,44213288.1008782
11.7664563833,1416.8507847116,306.59232276330005,1155.2133064802001,755245007.268685,0.9760840918,59370059.27548979
13.025763102400001,1312.0276039138,270.53125181580003,1072.6617683784,515183813.09784,0.9645144231,55513363.5014353
17.9898398116,1434.2952408013,273.3303160105,1253.2367542824,495280085.4482809,0.9022163838,92708086.5719836
36.611704725100005,1102.2717930359,265.7192689057,901.4388815689,850525375.012271,0.8925580633,165190681.56325
6.8016811495,1283.0643583250999,299.4617078014,1068.4044773238,723089095.909275,0.9939287882,33822052.4076394
21.2894216893,1272.9880453561,268.8246990754,1125.3655848068,160629229.4986,0.6877125470000001,87272837.0878581
41.1344185233,1135.3501905132,277.9861588054,925.9460915212,994000192.313203,0.8794648933,225185690.58341
21.5782028368,1430.2141488874,270.5327183348,1239.5537906627,426912217.039253,0.8357587433,127507601.562347
37.8927305693,1237.0625439309,288.6367040428,1044.8511762149,534452876.118906,0.7470991325,246064728.1579629
30.8770569133,1376.8616204020002,253.1992087853,1095.8202908628,433447421.43525696,0.707319771,231548985.384275
12.7206038802,1402.252031844,285.68758942889997,1249.5206751450999,801077023.9005951,0.9725150524,49779390.9501794
14.8785466891,1244.7450215842998,267.3007041051,1117.4468546897,483788054.955513,0.9558953069,45181227.05821271
15.8649057541,1174.1669829449002,277.54283540349996,929.2324230094999,823393298.8124441,0.9771784069,57773975.3602349
31.727775726999997,1360.7661655862,294.2768314628,1076.0464961384,718995393.27039,0.8320118262999999,235653562.90648
37.9502676551,1124.6568481456,257.1850052383,899.4979093065,661239033.291981,0.8451584945,188264106.906886
47.5794256075,1134.3795191732002,290.7266489652,855.8538849928999,414665446.415376,0.5443366817999999,302556002.981704
32.188805985500004,1177.4394897003,289.9779096139,944.7725137534,790138934.430183,0.9003492540000001,157586447.610991
17.8349708557,1031.4804122923,313.8570683131,767.5369968291002,812198233.2829031,0.9797812333,56175860.5287232
22.7283533114,1162.1272675955001,293.6502384299,874.8346039766002,967315134.257259,0.9605966709,92156120.85542692
32.490025583699996,1293.0671729699,310.5581536711,1148.7445037175999,548589326.059585,0.7904785262999999,204525555.715086
28.6890684187,1368.3208003311,290.9687086297,1118.3877741746,544240667.982558,0.8082909639,195826970.54283705
10.5366041791,1405.2129572856,255.3398368118,1114.4751550559,793137945.827245,0.9824295093,57117557.2691054
30.625541533000003,1219.3248424506,294.9059792984,1115.8040370043,398782998.065134,0.7917067347,149432780.572097
15.8649057541,1174.1669829449002,277.54283540349996,929.2324230094999,915929652.9092301,0.9796966768,57773975.3602349
19.672720965699998,1098.2308924919,254.85743571470002,967.8659807272,671483573.7840638,0.9617835042,52706020.4099571
45.6506380461,1353.8673781829,305.4074605045,1196.4674521411,575365833.6954348,0.5150032124,483418439.056908
26.210127924899997,1387.1317547891001,292.7936970241,1097.790664119,404106534.352799,0.7754018903000001,174915274.607341
50.0508814346,1194.6035417506,314.8406913434,1055.8136881387,487189386.41167307,0.5292360592,390187744.233908
40.061600366,1473.5362144115,255.2173690023,1254.6845797922,552441406.781047,0.4696893074,489867418.575865
