P_net,T_in_ref_blk,p_high,PR,Pinch_PHX,dTemp_HTF_PHX,load,T_HTF_in,T_amb_input,eta_Q,UA_HTR,UA_LTR,UA_PHX,UA_cooler,W_turb_des,W_comp_des,W_recomp_des,Q_HX_des,C_PB,eta_cycle_des,T_HTF_in
20000000,1275.13,23263271.13,3.37,18.73,206.38,0.65,0.9990981312,273.04,0.9365157738,3309144.91785203,841278.405773081,1782402.27099969,15531.5297095269,37320142.8723319,7095551.72680489,6703411.79359425,44520218.477273,17408593.5479726,0.5283257845,1273.98
20000000,1275.13,23263271.13,3.37,18.73,206.38,0.85,0.9873110977,292.01,0.9665810037,3309144.91785203,841278.405773081,1782402.27099969,15531.5297095269,37320142.8723319,7095551.72680489,6703411.79359425,44520218.477273,17408593.5479726,0.5283257845,1258.95
20000000,1275.13,23263271.13,3.37,18.73,206.38,0.77,0.9882208089,294.89,0.9538819404,3309144.91785203,841278.405773081,1782402.27099969,15531.5297095269,37320142.8723319,7095551.72680489,6703411.79359425,44520218.477273,17408593.5479726,0.5283257845,1260.11
20000000,1275.13,23263271.13,3.37,18.73,206.38,0.63,0.985436779,307.27,0.9210451391,3309144.91785203,841278.405773081,1782402.27099969,15531.5297095269,37320142.8723319,7095551.72680489,6703411.79359425,44520218.477273,17408593.5479726,0.5283257845,1256.56
20000000,1275.13,23263271.13,3.37,18.73,206.38,0.52,0.9976002447,296.68,0.9083886709,3309144.91785203,841278.405773081,1782402.27099969,15531.5297095269,37320142.8723319,7095551.72680489,6703411.79359425,44520218.477273,17408593.5479726,0.5283257845,1272.07
20000000,1275.13,23263271.13,3.37,18.73,206.38,0.96,0.9925105675,286.61,0.988140086,3309144.91785203,841278.405773081,1782402.27099969,15531.5297095269,37320142.8723319,7095551.72680489,6703411.79359425,44520218.477273,17408593.5479726,0.5283257845,1265.58
20000000,1275.13,23263271.13,3.37,18.73,206.38,0.73,0.9966905335,263.5,0.9533636945,3309144.91785203,841278.405773081,1782402.27099969,15531.5297095269,37320142.8723319,7095551.72680489,6703411.79359425,44520218.477273,17408593.5479726,0.5283257845,1270.91
20000000,1275.13,23263271.13,3.37,18.73,206.38,0.59,0.9893187361,314.58,0.9166871069,3309144.91785203,841278.405773081,1782402.27099969,15531.5297095269,37320142.8723319,7095551.72680489,6703411.79359425,44520218.477273,17408593.5479726,0.5283257845,1261.51
20000000,1275.13,23263271.13,3.37,18.73,206.38,0.58,0.9995843561,279.79,0.9191112839,3309144.91785203,841278.405773081,1782402.27099969,15531.5297095269,37320142.8723319,7095551.72680489,6703411.79359425,44520218.477273,17408593.5479726,0.5283257845,1274.6
20000000,1275.13,23263271.13,3.37,18.73,206.38,0.67,0.9901813933,288.73,0.9343421682,3309144.91785203,841278.405773081,1782402.27099969,15531.5297095269,37320142.8723319,7095551.72680489,6703411.79359425,44520218.477273,17408593.5479726,0.5283257845,1262.61
20000000,1275.13,23263271.13,3.37,18.73,206.38,1,0.9954122325,276.31,0.99495222,3309144.91785203,841278.405773081,1782402.27099969,15531.5297095269,37320142.8723319,7095551.72680489,6703411.79359425,44520218.477273,17408593.5479726,0.5283257845,1269.28
20000000,1275.13,23263271.13,3.37,18.73,206.38,0.94,0.9929967925,310.03,0.9865327125,3309144.91785203,841278.405773081,1782402.27099969,15531.5297095269,37320142.8723319,7095551.72680489,6703411.79359425,44520218.477273,17408593.5479726,0.5283257845,1266.2
20000000,1275.13,23263271.13,3.37,18.73,206.38,0.54,0.998117839,305.73,0.9114586203,3309144.91785203,841278.405773081,1782402.27099969,15531.5297095269,37320142.8723319,7095551.72680489,6703411.79359425,44520218.477273,17408593.5479726,0.5283257845,1272.73
20000000,1275.13,23263271.13,3.37,18.73,206.38,0.71,0.9864092289,277.64,0.9409556589,3309144.91785203,841278.405773081,1782402.27099969,15531.5297095269,37320142.8723319,7095551.72680489,6703411.79359425,44520218.477273,17408593.5479726,0.5283257845,1257.8
20000000,1275.13,23263271.13,3.37,18.73,206.38,0.9,0.9882600205,271.26,0.9758569717,3309144.91785203,841278.405773081,1782402.27099969,15531.5297095269,37320142.8723319,7095551.72680489,6703411.79359425,44520218.477273,17408593.5479726,0.5283257845,1260.16
20000000,1275.13,23263271.13,3.37,18.73,206.38,0.81,0.9945966294,317.44,0.9674255562,3309144.91785203,841278.405773081,1782402.27099969,15531.5297095269,37320142.8723319,7095551.72680489,6703411.79359425,44520218.477273,17408593.5479726,0.5283257845,1268.24
20000000,1259.88,24531639.98,2.99,27.07,247.23,0.79,0.9924754739,268.49,0.9772750435,3355345.06435854,1052067.83704926,915802.872567304,24082.5728417129,35229769.7348766,5878263.22830054,5830327.15464334,44950710.0615625,17678230.4404665,0.5232660245,1250.4
20000000,1259.88,24531639.98,2.99,27.07,247.23,0.75,0.9858796076,307.18,0.9739558307,3355345.06435854,1052067.83704926,915802.872567304,24082.5728417129,35229769.7348766,5878263.22830054,5830327.15464334,44950710.0615625,17678230.4404665,0.5232660245,1242.09
20000000,1259.88,24531639.98,2.99,27.07,247.23,0.61,0.9894672508,301.19,0.9687160322,3355345.06435854,1052067.83704926,915802.872567304,24082.5728417129,35229769.7348766,5878263.22830054,5830327.15464334,44950710.0615625,17678230.4404665,0.5232660245,1246.61
20000000,1259.88,24531639.98,2.99,27.07,247.23,0.88,0.9999365019,302.53,0.9861778211,3355345.06435854,1052067.83704926,915802.872567304,24082.5728417129,35229769.7348766,5878263.22830054,5830327.15464334,44950710.0615625,17678230.4404665,0.5232660245,1259.8
20000000,1259.88,24531639.98,2.99,27.07,247.23,1,0.9943089818,273.08,0.9962908105,3355345.06435854,1052067.83704926,915802.872567304,24082.5728417129,35229769.7348766,5878263.22830054,5830327.15464334,44950710.0615625,17678230.4404665,0.5232660245,1252.71
20000000,1259.88,24531639.98,2.99,27.07,247.23,0.96,0.9982458647,311.43,0.9949388053,3355345.06435854,1052067.83704926,915802.872567304,24082.5728417129,35229769.7348766,5878263.22830054,5830327.15464334,44950710.0615625,17678230.4404665,0.5232660245,1257.67
20000000,1259.88,24531639.98,2.99,27.07,247.23,0.56,0.99915865,265.53,0.9518742275,3355345.06435854,1052067.83704926,915802.872567304,24082.5728417129,35229769.7348766,5878263.22830054,5830327.15464334,44950710.0615625,17678230.4404665,0.5232660245,1258.82
20000000,1259.88,24531639.98,2.99,27.07,247.23,0.66,0.9956186303,277.53,0.9833754289,3355345.06435854,1052067.83704926,915802.872567304,24082.5728417129,35229769.7348766,5878263.22830054,5830327.15464334,44950710.0615625,17678230.4404665,0.5232660245,1254.36
20000000,1259.88,24531639.98,2.99,27.07,247.23,0.89,0.9865701495,317.31,0.9808767661,3355345.06435854,1052067.83704926,915802.872567304,24082.5728417129,35229769.7348766,5878263.22830054,5830327.15464334,44950710.0615625,17678230.4404665,0.5232660245,1242.96
20000000,1259.88,24531639.98,2.99,27.07,247.23,0.72,0.9883639712,269.36,0.9768737948,3355345.06435854,1052067.83704926,915802.872567304,24082.5728417129,35229769.7348766,5878263.22830054,5830327.15464334,44950710.0615625,17678230.4404665,0.5232660245,1245.22
20000000,1259.88,24531639.98,2.99,27.07,247.23,0.84,0.9844747119,290.21,0.9782928359,3355345.06435854,1052067.83704926,915802.872567304,24082.5728417129,35229769.7348766,5878263.22830054,5830327.15464334,44950710.0615625,17678230.4404665,0.5232660245,1240.32
20000000,1259.88,24531639.98,2.99,27.07,247.23,0.75,0.9913007588,305.45,0.9741749574,3355345.06435854,1052067.83704926,915802.872567304,24082.5728417129,35229769.7348766,5878263.22830054,5830327.15464334,44950710.0615625,17678230.4404665,0.5232660245,1248.92
20000000,1259.88,24531639.98,2.99,27.07,247.23,0.6,0.994856653,292.99,0.9692262137,3355345.06435854,1052067.83704926,915802.872567304,24082.5728417129,35229769.7348766,5878263.22830054,5830327.15464334,44950710.0615625,17678230.4404665,0.5232660245,1253.4
20000000,1259.88,24531639.98,2.99,27.07,247.23,0.81,0.992959647,285.8,0.9786184879,3355345.06435854,1052067.83704926,915802.872567304,24082.5728417129,35229769.7348766,5878263.22830054,5830327.15464334,44950710.0615625,17678230.4404665,0.5232660245,1251.01
20000000,1259.88,24531639.98,2.99,27.07,247.23,1.02,0.997595009,294.04,1.0001331982,3355345.06435854,1052067.83704926,915802.872567304,24082.5728417129,35229769.7348766,5878263.22830054,5830327.15464334,44950710.0615625,17678230.4404665,0.5232660245,1256.85
20000000,1259.88,24531639.98,2.99,27.07,247.23,0.97,0.9911340763,313.77,0.9911828991,3355345.06435854,1052067.83704926,915802.872567304,24082.5728417129,35229769.7348766,5878263.22830054,5830327.15464334,44950710.0615625,17678230.4404665,0.5232660245,1248.71
20000000,1259.88,24531639.98,2.99,27.07,247.23,0.92,0.9856891132,274.79,0.9816536739,3355345.06435854,1052067.83704926,915802.872567304,24082.5728417129,35229769.7348766,5878263.22830054,5830327.15464334,44950710.0615625,17678230.4404665,0.5232660245,1241.85
20000000,1259.88,24531639.98,2.99,27.07,247.23,0.53,0.9963488586,284.02,0.9359560758,3355345.06435854,1052067.83704926,915802.872567304,24082.5728417129,35229769.7348766,5878263.22830054,5830327.15464334,44950710.0615625,17678230.4404665,0.5232660245,1255.28
20000000,1259.88,24531639.98,2.99,27.07,247.23,0.68,0.9880941042,281.95,0.983167745,3355345.06435854,1052067.83704926,915802.872567304,24082.5728417129,35229769.7348766,5878263.22830054,5830327.15464334,44950710.0615625,17678230.4404665,0.5232660245,1244.88
20000000,1259.88,24531639.98,2.99,27.07,247.23,0.5,0.989983173,296.61,0.9222729209,3355345.06435854,1052067.83704926,915802.872567304,24082.5728417129,35229769.7348766,5878263.22830054,5830327.15464334,44950710.0615625,17678230.4404665,0.5232660245,1247.26
20000000,1181.68,24561198.68,3.84,17.16,153.28,1.03,0.9960395369,292.6,0.9983757782,2953079.20437341,996856.725495383,1232639.75238488,16413.0019502122,42780785.0592447,9823221.84878719,9436383.85852478,50675035.5585073,18361920.1067904,0.4641571356,1177
20000000,1181.68,24561198.68,3.84,17.16,153.28,0.61,0.9976812673,279.76,0.9887701026,2953079.20437341,996856.725495383,1232639.75238488,16413.0019502122,42780785.0592447,9823221.84878719,9436383.85852478,50675035.5585073,18361920.1067904,0.4641571356,1178.94
20000000,1181.68,24561198.68,3.84,17.16,153.28,0.75,0.9886178999,301.75,0.9903223133,2953079.20437341,996856.725495383,1232639.75238488,16413.0019502122,42780785.0592447,9823221.84878719,9436383.85852478,50675035.5585073,18361920.1067904,0.4641571356,1168.23
20000000,1181.68,24561198.68,3.84,17.16,153.28,0.97,0.984242773,289.04,0.9915789068,2953079.20437341,996856.725495383,1232639.75238488,16413.0019502122,42780785.0592447,9823221.84878719,9436383.85852478,50675035.5585073,18361920.1067904,0.4641571356,1163.06
20000000,1181.68,24561198.68,3.84,17.16,153.28,0.66,0.9928068513,275.45,0.9894755067,2953079.20437341,996856.725495383,1232639.75238488,16413.0019502122,42780785.0592447,9823221.84878719,9436383.85852478,50675035.5585073,18361920.1067904,0.4641571356,1173.18
20000000,1181.68,24561198.68,3.84,17.16,153.28,0.84,0.9873315957,313.33,0.9907301153,2953079.20437341,996856.725495383,1232639.75238488,16413.0019502122,42780785.0592447,9823221.84878719,9436383.85852478,50675035.5585073,18361920.1067904,0.4641571356,1166.71
20000000,1181.68,24561198.68,3.84,17.16,153.28,0.74,0.9859437411,309.23,0.9900300879,2953079.20437341,996856.725495383,1232639.75238488,16413.0019502122,42780785.0592447,9823221.84878719,9436383.85852478,50675035.5585073,18361920.1067904,0.4641571356,1165.07
20000000,1181.68,24561198.68,3.84,17.16,153.28,1,0.9905473563,300.14,0.9946151524,2953079.20437341,996856.725495383,1232639.75238488,16413.0019502122,42780785.0592447,9823221.84878719,9436383.85852478,50675035.5585073,18361920.1067904,0.4641571356,1170.51
20000000,1181.68,24561198.68,3.84,17.16,153.28,0.58,0.9832611198,263.9,0.9943525003,2953079.20437341,996856.725495383,1232639.75238488,16413.0019502122,42780785.0592447,9823221.84878719,9436383.85852478,50675035.5585073,18361920.1067904,0.4641571356,1161.9
20000000,1181.68,24561198.68,3.84,17.16,153.28,0.88,0.9953456096,270.2,0.993408273,2953079.20437341,996856.725495383,1232639.75238488,16413.0019502122,42780785.0592447,9823221.84878719,9436383.85852478,50675035.5585073,18361920.1067904,0.4641571356,1176.18
20000000,1181.68,24561198.68,3.84,17.16,153.28,0.71,0.9937546544,283.12,0.990299475,2953079.20437341,996856.725495383,1232639.75238488,16413.0019502122,42780785.0592447,9823221.84878719,9436383.85852478,50675035.5585073,18361920.1067904,0.4641571356,1174.3
20000000,1181.68,24561198.68,3.84,17.16,153.28,0.69,0.9918675107,305.37,0.9899060091,2953079.20437341,996856.725495383,1232639.75238488,16413.0019502122,42780785.0592447,9823221.84878719,9436383.85852478,50675035.5585073,18361920.1067904,0.4641571356,1172.07
20000000,1181.68,24561198.68,3.84,17.16,153.28,0.9,0.9999492248,310.87,0.9968175285,2953079.20437341,996856.725495383,1232639.75238488,16413.0019502122,42780785.0592447,9823221.84878719,9436383.85852478,50675035.5585073,18361920.1067904,0.4641571356,1181.62
20000000,1181.68,24561198.68,3.84,17.16,153.28,0.78,0.9893118272,266.45,0.9905822285,2953079.20437341,996856.725495383,1232639.75238488,16413.0019502122,42780785.0592447,9823221.84878719,9436383.85852478,50675035.5585073,18361920.1067904,0.4641571356,1169.05
20000000,1181.68,24561198.68,3.84,17.16,153.28,0.53,0.9985190576,274.02,0.9949927666,2953079.20437341,996856.725495383,1232639.75238488,16413.0019502122,42780785.0592447,9823221.84878719,9436383.85852478,50675035.5585073,18361920.1067904,0.4641571356,1179.93
20000000,1181.68,24561198.68,3.84,17.16,153.28,0.51,0.9971650531,317.33,1.0003507563,2953079.20437341,996856.725495383,1232639.75238488,16413.0019502122,42780785.0592447,9823221.84878719,9436383.85852478,50675035.5585073,18361920.1067904,0.4641571356,1178.33
20000000,1181.68,24561198.68,3.84,17.16,153.28,0.83,0.9855713899,296.91,0.9906397799,2953079.20437341,996856.725495383,1232639.75238488,16413.0019502122,42780785.0592447,9823221.84878719,9436383.85852478,50675035.5585073,18361920.1067904,0.4641571356,1164.63
20000000,1181.68,24561198.68,3.84,17.16,153.28,0.93,0.986806919,294.72,0.9916382098,2953079.20437341,996856.725495383,1232639.75238488,16413.0019502122,42780785.0592447,9823221.84878719,9436383.85852478,50675035.5585073,18361920.1067904,0.4641571356,1166.09
20000000,1181.68,24561198.68,3.84,17.16,153.28,0.98,0.9913936091,278.68,0.9945591057,2953079.20437341,996856.725495383,1232639.75238488,16413.0019502122,42780785.0592447,9823221.84878719,9436383.85852478,50675035.5585073,18361920.1067904,0.4641571356,1171.51
20000000,1181.68,24561198.68,3.84,17.16,153.28,0.59,0.9948801706,287.57,0.9875467023,2953079.20437341,996856.725495383,1232639.75238488,16413.0019502122,42780785.0592447,9823221.84878719,9436383.85852478,50675035.5585073,18361920.1067904,0.4641571356,1175.63
20000000,1170.72,22584049.4,3.2,24.41,124.61,0.6,0.9922867979,313.37,0.9900152569,3558294.35490613,1045764.88059043,946035.842713525,20221.5325791944,39596470.3556278,8284407.93527594,7790883.06841917,48754014.6376269,17581453.7749472,0.4824460001,1161.69
20000000,1170.72,22584049.4,3.2,24.41,124.61,0.62,0.9860171518,298.02,0.990783146,3558294.35490613,1045764.88059043,946035.842713525,20221.5325791944,39596470.3556278,8284407.93527594,7790883.06841917,48754014.6376269,17581453.7749472,0.4824460001,1154.35
20000000,1170.72,22584049.4,3.2,24.41,124.61,0.95,0.9966003827,270.48,0.9986043432,3558294.35490613,1045764.88059043,946035.842713525,20221.5325791944,39596470.3556278,8284407.93527594,7790883.06841917,48754014.6376269,17581453.7749472,0.4824460001,1166.74
20000000,1170.72,22584049.4,3.2,24.41,124.61,0.77,0.9830019134,290.85,0.9919150294,3558294.35490613,1045764.88059043,946035.842713525,20221.5325791944,39596470.3556278,8284407.93527594,7790883.06841917,48754014.6376269,17581453.7749472,0.4824460001,1150.82
20000000,1170.72,22584049.4,3.2,24.41,124.61,0.94,0.9911592866,275.33,0.997212839,3558294.35490613,1045764.88059043,946035.842713525,20221.5325791944,39596470.3556278,8284407.93527594,7790883.06841917,48754014.6376269,17581453.7749472,0.4824460001,1160.37
20000000,1170.72,22584049.4,3.2,24.41,124.61,0.81,0.9960451688,295.66,0.9962407783,3558294.35490613,1045764.88059043,946035.842713525,20221.5325791944,39596470.3556278,8284407.93527594,7790883.06841917,48754014.6376269,17581453.7749472,0.4824460001,1166.09
20000000,1170.72,22584049.4,3.2,24.41,124.61,0.66,0.9872300806,282.39,0.9901016409,3558294.35490613,1045764.88059043,946035.842713525,20221.5325791944,39596470.3556278,8284407.93527594,7790883.06841917,48754014.6376269,17581453.7749472,0.4824460001,1155.77
20000000,1170.72,22584049.4,3.2,24.41,124.61,0.87,0.9840269236,317.45,0.9941848366,3558294.35490613,1045764.88059043,946035.842713525,20221.5325791944,39596470.3556278,8284407.93527594,7790883.06841917,48754014.6376269,17581453.7749472,0.4824460001,1152.02
20000000,1170.72,22584049.4,3.2,24.41,124.61,0.58,0.9982489408,286.08,0.9894831932,3558294.35490613,1045764.88059043,946035.842713525,20221.5325791944,39596470.3556278,8284407.93527594,7790883.06841917,48754014.6376269,17581453.7749472,0.4824460001,1168.67
20000000,1170.72,22584049.4,3.2,24.41,124.61,1.04,0.9885711357,311.91,0.9977313773,3558294.35490613,1045764.88059043,946035.842713525,20221.5325791944,39596470.3556278,8284407.93527594,7790883.06841917,48754014.6376269,17581453.7749472,0.4824460001,1157.34
20000000,1170.72,22584049.4,3.2,24.41,124.61,0.99,0.9925003417,263.92,0.9981295673,3558294.35490613,1045764.88059043,946035.842713525,20221.5325791944,39596470.3556278,8284407.93527594,7790883.06841917,48754014.6376269,17581453.7749472,0.4824460001,1161.94
20000000,1170.72,22584049.4,3.2,24.41,124.61,0.84,0.9852569359,277.93,0.9939201276,3558294.35490613,1045764.88059043,946035.842713525,20221.5325791944,39596470.3556278,8284407.93527594,7790883.06841917,48754014.6376269,17581453.7749472,0.4824460001,1153.46
20000000,1170.72,22584049.4,3.2,24.41,124.61,0.91,0.9935082684,289.4,0.9973660758,3558294.35490613,1045764.88059043,946035.842713525,20221.5325791944,39596470.3556278,8284407.93527594,7790883.06841917,48754014.6376269,17581453.7749472,0.4824460001,1163.12
20000000,1170.72,22584049.4,3.2,24.41,124.61,0.68,0.9946186962,283.7,0.9921846465,3558294.35490613,1045764.88059043,946035.842713525,20221.5325791944,39596470.3556278,8284407.93527594,7790883.06841917,48754014.6376269,17581453.7749472,0.4824460001,1164.42
20000000,1170.72,22584049.4,3.2,24.41,124.61,0.7,0.9900146918,266.11,0.9918021483,3558294.35490613,1045764.88059043,946035.842713525,20221.5325791944,39596470.3556278,8284407.93527594,7790883.06841917,48754014.6376269,17581453.7749472,0.4824460001,1159.03
20000000,1170.72,22584049.4,3.2,24.41,124.61,0.78,0.9951995353,306.98,0.9953210663,3558294.35490613,1045764.88059043,946035.842713525,20221.5325791944,39596470.3556278,8284407.93527594,7790883.06841917,48754014.6376269,17581453.7749472,0.4824460001,1165.1
20000000,1170.72,22584049.4,3.2,24.41,124.61,0.5,0.9868542435,307.95,0.9996352044,3558294.35490613,1045764.88059043,946035.842713525,20221.5325791944,39596470.3556278,8284407.93527594,7790883.06841917,48754014.6376269,17581453.7749472,0.4824460001,1155.33
20000000,1170.72,22584049.4,3.2,24.41,124.61,0.54,0.9893057264,299.82,0.9943305455,3558294.35490613,1045764.88059043,946035.842713525,20221.5325791944,39596470.3556278,8284407.93527594,7790883.06841917,48754014.6376269,17581453.7749472,0.4824460001,1158.2
20000000,1170.72,22584049.4,3.2,24.41,124.61,0.73,0.9986504032,272.04,0.9948920874,3558294.35490613,1045764.88059043,946035.842713525,20221.5325791944,39596470.3556278,8284407.93527594,7790883.06841917,48754014.6376269,17581453.7749472,0.4824460001,1169.14
20000000,1170.72,22584049.4,3.2,24.41,124.61,1.01,0.9997010387,303.73,0.9998730236,3558294.35490613,1045764.88059043,946035.842713525,20221.5325791944,39596470.3556278,8284407.93527594,7790883.06841917,48754014.6376269,17581453.7749472,0.4824460001,1170.37
20000000,1193.38,21445511.82,3.65,15.48,254.82,1,0.9920729357,304.55,0.9985185634,3232687.45965813,1068132.10132998,1453822.93327767,17853.7886216646,44589921.3408121,10950280.9146983,10118461.0741812,52961727.2981124,20715601.5119627,0.4441165451,1183.92
20000000,1193.38,21445511.82,3.65,15.48,254.82,0.81,0.9862072433,308.48,1.006683399,3232687.45965813,1068132.10132998,1453822.93327767,17853.7886216646,44589921.3408121,10950280.9146983,10118461.0741812,52961727.2981124,20715601.5119627,0.4441165451,1176.92
20000000,1193.38,21445511.82,3.65,15.48,254.82,0.53,0.9888887027,281.54,0.9447509761,3232687.45965813,1068132.10132998,1453822.93327767,17853.7886216646,44589921.3408121,10950280.9146983,10118461.0741812,52961727.2981124,20715601.5119627,0.4441165451,1180.12
20000000,1193.38,21445511.82,3.65,15.48,254.82,0.85,0.9916204394,295.83,0.9994742041,3232687.45965813,1068132.10132998,1453822.93327767,17853.7886216646,44589921.3408121,10950280.9146983,10118461.0741812,52961727.2981124,20715601.5119627,0.4441165451,1183.38
