P_net,T_in_ref_blk,p_high,PR,Pinch_PHX,dTemp_HTF_PHX,load,T_HTF_in,T_amb_input,eta_gross,eta_Q,UA_HTR,UA_LTR,UA_PHX,UA_cooler,W_turb_des,W_comp_des,W_recomp_des,Q_HX_des,C_PB,eta_cycle_des,
20000000.0,1107.93,23883124.96,3.37,21.26,179.44,0.65,1101.29,288.64,0.4267548366931355,0.9913759607153093,3174329.6068901503,1137831.8126813543,1834470.6553471647,21231.19949227067,41691924.19180254,9294577.170505479,8876167.669364354,51514703.14204469,18761461.650592066,0.4565915732267018,
20000000.0,1107.93,23883124.96,3.37,21.26,179.44,1.06,1106.84,306.55,0.44963076793247836,0.998955161396497,3174329.6068901503,1137831.8126813543,1834470.6553471647,21231.19949227067,41691924.19180254,9294577.170505479,8876167.669364354,51514703.14204469,18761461.650592066,0.4565915732267018,
20000000.0,1107.93,23883124.96,3.37,21.26,179.44,0.76,1096.03,266.93,0.4450683869064882,1.0162380936332227,3174329.6068901503,1137831.8126813543,1834470.6553471647,21231.19949227067,41691924.19180254,9294577.170505479,8876167.669364354,51514703.14204469,18761461.650592066,0.4565915732267018,
20000000.0,1107.93,23883124.96,3.37,21.26,179.44,0.73,1091.71,317.46,0.43021007540714434,1.005951012232691,3174329.6068901503,1137831.8126813543,1834470.6553471647,21231.19949227067,41691924.19180254,9294577.170505479,8876167.669364354,51514703.14204469,18761461.650592066,0.4565915732267018,
20000000.0,1107.93,23883124.96,3.37,21.26,179.44,0.7,1104.38,275.2,0.4400921991252865,1.0091100073156094,3174329.6068901503,1137831.8126813543,1834470.6553471647,21231.19949227067,41691924.19180254,9294577.170505479,8876167.669364354,51514703.14204469,18761461.650592066,0.4565915732267018,
20000000.0,1107.93,23883124.96,3.37,21.26,179.44,0.62,1092.24,320.24,0.40745833380784874,0.9797025769482546,3174329.6068901503,1137831.8126813543,1834470.6553471647,21231.19949227067,41691924.19180254,9294577.170505479,8876167.669364354,51514703.14204469,18761461.650592066,0.4565915732267018,
20000000.0,1107.93,23883124.96,3.37,21.26,179.44,1.0,1096.47,311.85,0.4466742825039391,1.0033564832470692,3174329.6068901503,1137831.8126813543,1834470.6553471647,21231.19949227067,41691924.19180254,9294577.170505479,8876167.669364354,51514703.14204469,18761461.650592066,0.4565915732267018,
20000000.0,1107.93,23883124.96,3.37,21.26,179.44,0.81,1108.39,290.4,0.449691852134685,1.0086807953249552,3174329.6068901503,1137831.8126813543,1834470.6553471647,21231.19949227067,41691924.19180254,9294577.170505479,8876167.669364354,51514703.14204469,18761461.650592066,0.4565915732267018,
20000000.0,1107.93,23883124.96,3.37,21.26,179.44,0.93,1098.49,303.72,0.4456130274128144,1.0053395166258599,3174329.6068901503,1137831.8126813543,1834470.6553471647,21231.19949227067,41691924.19180254,9294577.170505479,8876167.669364354,51514703.14204469,18761461.650592066,0.4565915732267018,
20000000.0,1107.93,23883124.96,3.37,21.26,179.44,0.83,1089.76,262.5,0.44829647270345185,1.0156154387615446,3174329.6068901503,1137831.8126813543,1834470.6553471647,21231.19949227067,41691924.19180254,9294577.170505479,8876167.669364354,51514703.14204469,18761461.650592066,0.4565915732267018,
20000000.0,1107.93,23883124.96,3.37,21.26,179.44,0.57,1102.94,265.8,0.40749745647368524,0.9725483467617155,3174329.6068901503,1137831.8126813543,1834470.6553471647,21231.19949227067,41691924.19180254,9294577.170505479,8876167.669364354,51514703.14204469,18761461.650592066,0.4565915732267018,
20000000.0,1107.93,23883124.96,3.37,21.26,179.44,0.86,1105.1,284.68,0.45244658743489946,1.0065159279501168,3174329.6068901503,1137831.8126813543,1834470.6553471647,21231.19949227067,41691924.19180254,9294577.170505479,8876167.669364354,51514703.14204469,18761461.650592066,0.4565915732267018,
20000000.0,1107.93,23883124.96,3.37,21.26,179.44,0.52,1097.62,297.59,0.3791849368247137,0.9663785529231551,3174329.6068901503,1137831.8126813543,1834470.6553471647,21231.19949227067,41691924.19180254,9294577.170505479,8876167.669364354,51514703.14204469,18761461.650592066,0.4565915732267018,
20000000.0,1107.93,23883124.96,3.37,21.26,179.44,0.49,1090.05,299.23,0.3598583870635158,0.9605218102374231,3174329.6068901503,1137831.8126813543,1834470.6553471647,21231.19949227067,41691924.19180254,9294577.170505479,8876167.669364354,51514703.14204469,18761461.650592066,0.4565915732267018,
20000000.0,1107.93,23883124.96,3.37,21.26,179.44,1.0,1088.7,273.0,0.45279389722697394,1.0062992208092212,3174329.6068901503,1137831.8126813543,1834470.6553471647,21231.19949227067,41691924.19180254,9294577.170505479,8876167.669364354,51514703.14204469,18761461.650592066,0.4565915732267018,
20000000.0,1107.93,23883124.96,3.37,21.26,179.44,0.59,1094.48,294.25,0.4014308074225622,0.9733049210243587,3174329.6068901503,1137831.8126813543,1834470.6553471647,21231.19949227067,41691924.19180254,9294577.170505479,8876167.669364354,51514703.14204469,18761461.650592066,0.4565915732267018,
20000000.0,1107.93,23883124.96,3.37,21.26,179.44,0.68,1100.21,277.67,0.4337027954134415,0.9997729830998947,3174329.6068901503,1137831.8126813543,1834470.6553471647,21231.19949227067,41691924.19180254,9294577.170505479,8876167.669364354,51514703.14204469,18761461.650592066,0.4565915732267018,
