P_net_W,T_in_ref_blk_K,p_high_Pa,PR,T_cold_set_K,T_high,load,T_HTF_in_K,T_amb_input_K,eta_gross,eta_Q
84688278.82,1262.89,24886626.85,2.96,845.3,1225.1112343991094,0.89,1251.23,291.54,0.6175075696316654,1.1152270435478258
84688278.82,1262.89,24886626.85,2.96,845.3,1225.1112343991094,0.52,1249.16,308.83,0.5962285137387635,1.0812370222569385
84688278.82,1262.89,24886626.85,2.96,845.3,1225.1112343991094,0.76,1254.28,302.28,0.6078500199482878,1.1095716114672944
84688278.82,1262.89,24886626.85,2.96,845.3,1225.1112343991094,1.03,1257.7,273.54,0.6231678346828124,1.1256991174507165
84688278.82,1262.89,24886626.85,2.96,845.3,1225.1112343991094,0.65,1259.86,265.15,0.6145347915500177,1.1046170962873725
84688278.82,1262.89,24886626.85,2.96,845.3,1225.1112343991094,0.92,1256.74,316.62,0.6124215718988284,1.1204144778091294
84688278.82,1262.89,24886626.85,2.96,845.3,1234.0001232879983,0.99,1253.57,274.17,0.6246485374072632,1.1209567299878622
84688278.82,1262.89,24886626.85,2.96,845.3,1234.0001232879983,0.65,1260.78,269.55,0.6182471248557558,1.1052230106671674
84688278.82,1262.89,24886626.85,2.96,845.3,1234.0001232879983,0.71,1251.48,281.3,0.6175944741418186,1.103727725021511
84688278.82,1262.89,24886626.85,2.96,845.3,1234.0001232879983,0.62,1257.95,284.15,0.6161147553738603,1.1002756249640284
84688278.82,1262.89,24886626.85,2.96,845.3,1234.0001232879983,0.85,1248.02,309.0,0.6116937837802622,1.1105245432568362
84688278.82,1262.89,24886626.85,2.96,845.3,1234.0001232879983,0.97,1256.34,296.92,0.6164271931136667,1.1221853666417354
84688278.82,1262.89,24886626.85,2.96,845.3,1234.0001232879983,0.82,1262.34,316.06,0.6151068672153935,1.1185678453428716
84688278.82,1262.89,24886626.85,2.96,845.3,1234.0001232879983,0.53,1252.24,299.69,0.6011610704111379,1.0852279742901705
84688278.82,1262.89,24886626.85,2.96,845.3,1242.8890121768873,0.7,1252.92,292.3,0.619292757823488,1.1039637124992816
84688278.82,1262.89,24886626.85,2.96,845.3,1242.8890121768873,1.03,1256.22,268.08,0.6291147182398839,1.1247263454856524
84688278.82,1262.89,24886626.85,2.96,845.3,1242.8890121768873,0.53,1259.56,316.36,0.6068185574657217,1.0910230138028354
84688278.82,1262.89,24886626.85,2.96,845.3,1242.8890121768873,0.81,1258.49,290.25,0.6249222790844843,1.115550617859741
84688278.82,1262.89,24886626.85,2.96,845.3,1242.8890121768873,0.75,1249.95,270.18,0.6218137407533038,1.1055842529387185
84688278.82,1262.89,24886626.85,2.96,845.3,1242.8890121768873,0.57,1262.56,278.79,0.618740504430332,1.0982415286819758
84688278.82,1262.89,24886626.85,2.96,845.3,1242.8890121768873,0.97,1248.89,304.65,0.6174848757485796,1.1167807755879875
84688278.82,1262.89,24886626.85,2.96,845.3,1242.8890121768873,0.87,1254.14,301.75,0.6171413605481293,1.1158446683339738
