P_net,T_in_ref_blk,p_high,PR,delta,dTemp_particle_PHX,load,T_HTF_in,T_amb_input,pinch_PHX,eta_gross,eta_cycle,UA_HTR,UA_LTR,UA_HX,W_turb_des,W_comp_des,W_recomp_des,UA_cooler,Q_HX_des,delta_temp_particle_HX,C_PB,
50000000.0,1349.05,24495420.88,3.03,97.22,274.8397628171,0.97,1302.52,286.09,27.870000000136997,0.5506274400228208,0.9592374350252142,0.5508246986094321,85059198.76334985,13510555.732081886,12745694.651436197,12544918.732584357,3983291.9570943536,1780987.6222324623,53988.05707821391,102749760.74343953,37005488.507785305,
50000000.0,1349.05,24495420.88,3.03,97.22,274.8397628171,0.85,1317.15,264.14,27.870000000136997,0.5442161293923702,0.9502927489180267,0.5442162139915275,85059198.76334985,13510555.732081886,12745694.651436197,12544918.732584357,3983291.9570943536,1780987.6222324623,53988.05707821391,102749760.74343953,37005488.507785305,
50000000.0,1349.05,24495420.88,3.03,97.22,274.8397628171,0.56,1308.38,312.55,27.870000000136997,0.46685681804793155,0.9045648239731994,0.47761600578279195,85059198.76334985,13510555.732081886,12745694.651436197,12544918.732584357,3983291.9570943536,1780987.6222324623,53988.05707821391,102749760.74343953,37005488.507785305,
50000000.0,1158.82,24379151.02,3.51,106.06,282.955669719,0.56,1130.74,264.04,10.339999999987754,0.43965777178469484,0.12331651202790857,0.43965828263402545,106898108.4217084,25007102.0071521,23088058.034724552,13466666.439297779,4662564.049024978,2957100.2127181594,54169.608608173454,126569543.86590339,44946191.791055076,
50000000.0,1158.82,24379151.02,3.51,106.06,282.955669719,0.99,1147.61,293.13,10.339999999987754,0.45868673116260744,1.0080751268895738,0.4605246860496847,106898108.4217084,25007102.0071521,23088058.034724552,13466666.439297779,4662564.049024978,2957100.2127181594,54169.608608173454,126569543.86590339,44946191.791055076,
50000000.0,1158.82,24379151.02,3.51,106.06,282.955669719,0.74,1139.57,316.22,10.339999999987754,0.3931831550520738,0.9617335419557351,0.4013983149717608,106898108.4217084,25007102.0071521,23088058.034724552,13466666.439297779,4662564.049024978,2957100.2127181594,54169.608608173454,126569543.86590339,44946191.791055076,
100000000.0,1456.9,24083786.79,3.26,73.16,297.5650331185,0.51,1434.01,316.32,14.92999999946619,0.47804893551814237,0.8057568763267396,0.4908902938153198,168084810.76905504,26283591.931594323,24195322.077797193,24365159.442759156,5761113.759715292,4677394.321224096,71220.5284610016,193292503.6871387,59062639.42381271,
100000000.0,1456.9,24083786.79,3.26,73.16,297.5650331185,0.9,1422.36,275.76,14.92999999946619,0.5861812849160645,0.9532759622238849,0.586184017152844,168084810.76905504,26283591.931594323,24195322.077797193,24365159.442759156,5761113.759715292,4677394.321224096,71220.5284610016,193292503.6871387,59062639.42381271,
100000000.0,1456.9,24083786.79,3.26,73.16,297.5650331185,0.71,1438.41,289.61,14.92999999946619,0.5606751739268954,0.9046340244331872,0.561061329208209,168084810.76905504,26283591.931594323,24195322.077797193,24365159.442759156,5761113.759715292,4677394.321224096,71220.5284610016,193292503.6871387,59062639.42381271,
100000000.0,1276.53,24698055.23,3.93,54.34,255.4128460907,0.51,1250.95,314.43,23.269999999661195,0.35636029958637944,0.90826545615671,0.36588491648673155,204356534.2254234,44971787.39046202,41778850.075297855,26845656.49446723,6889806.513551183,6040240.791459786,73647.20004017564,231190339.1601523,71357036.60252629,
100000000.0,1276.53,24698055.23,3.93,54.34,255.4128460907,0.76,1238.4,267.77,23.269999999661195,0.4603311449785872,0.9610411927275212,0.4603312792231594,204356534.2254234,44971787.39046202,41778850.075297855,26845656.49446723,6889806.513551183,6040240.791459786,73647.20004017564,231190339.1601523,71357036.60252629,
100000000.0,1276.53,24698055.23,3.93,54.34,255.4128460907,0.96,1246.03,285.16,23.269999999661195,0.4913313134187687,0.979031935305747,0.49139313200287266,204356534.2254234,44971787.39046202,41778850.075297855,26845656.49446723,6889806.513551183,6040240.791459786,73647.20004017564,231190339.1601523,71357036.60252629,
100000000.0,1070.74,24848502.32,2.83,32.71,186.5195768369,1.05,1035.15,297.3,20.969999999876904,0.4999135083288656,0.9777046214920738,0.5045474945862962,171593765.74395192,27185970.412708875,26801898.571579527,22876413.504976653,13489611.370810464,8453422.702560076,206620.43472361786,226228896.87186745,66134434.11732023,
100000000.0,1070.74,24848502.32,2.83,32.71,186.5195768369,0.69,1048.34,271.31,20.969999999876904,0.4754771967536729,0.9534290266027671,0.475477680425983,171593765.74395192,27185970.412708875,26801898.571579527,22876413.504976653,13489611.370810464,8453422.702560076,206620.43472361786,226228896.87186745,66134434.11732023,
100000000.0,1070.74,24848502.32,2.83,32.71,186.5195768369,0.63,1041.43,308.64,20.969999999876904,0.4517488275746119,0.9569502488255981,0.4609871381454755,171593765.74395192,27185970.412708875,26801898.571579527,22876413.504976653,13489611.370810464,8453422.702560076,206620.43472361786,226228896.87186745,66134434.11732023,
100000000.0,1349.05,24495420.88,3.03,97.22,274.8397628171,0.97,1302.52,286.09,27.870000000136997,0.5507260693161241,0.9592374350252165,0.5508246986094296,170118397.5266997,27021111.46416378,25491389.302872397,25089837.465168726,7966583.914188707,3561975.2444649246,107976.11415642785,205499521.48687905,62408953.151226565,
100000000.0,1349.05,24495420.88,3.03,97.22,274.8397628171,0.85,1317.15,264.14,27.870000000136997,0.5442161716919499,0.9502927489180285,0.5442162139915285,170118397.5266997,27021111.46416378,25491389.302872397,25089837.465168726,7966583.914188707,3561975.2444649246,107976.11415642785,205499521.48687905,62408953.151226565,
100000000.0,1349.05,24495420.88,3.03,97.22,274.8397628171,0.56,1308.38,312.55,27.870000000136997,0.46685681804792944,0.9045648239732008,0.4776160057827898,170118397.5266997,27021111.46416378,25491389.302872397,25089837.465168726,7966583.914188707,3561975.2444649246,107976.11415642785,205499521.48687905,62408953.151226565,
100000000.0,1158.82,24379151.02,3.51,106.06,282.955669719,0.56,1130.74,264.04,10.339999999987754,0.2914769602886334,0.901892168214326,0.2914769952130733,213796216.8434168,50014204.01430419,46176116.06944909,26933332.878595553,9325128.098049954,5914200.425436319,108339.2172163469,253139087.73180678,76988845.50527234,
100000000.0,1158.82,24379151.02,3.51,106.06,282.955669719,0.99,1147.61,293.13,10.339999999987754,0.4596057086061431,1.0080751268895782,0.4605246860496817,213796216.8434168,50014204.01430419,46176116.06944909,26933332.878595553,9325128.098049954,5914200.425436319,108339.2172163469,253139087.73180678,76988845.50527234,
100000000.0,1158.82,24379151.02,3.51,106.06,282.955669719,0.74,1139.57,316.22,10.339999999987754,0.3931831550520737,0.9617335419557385,0.4013983149717606,213796216.8434168,50014204.01430419,46176116.06944909,26933332.878595553,9325128.098049954,5914200.425436319,108339.2172163469,253139087.73180678,76988845.50527234,
