Name,Rating,NumberOfUser,Address,lat,lon
"Nasi Goreng ""Gila"" Pak De Yono",5.0,7,"Jalan Tengah Pondok Kuliner Waduk Setiabudi # Setiabudi, Jl. Setia Budi Barat No.13, RT.2/RW.3, Kuningan, Setia Budi, Kota Jakarta Selatan",-6.2051116,106.8270451
Nasi Goreng Pak Dhe,0.0,0,"Kampung Makan, Jalan Kendal #22, Depan Stasiun Sudirman, Jakarta Pusat, RT.10/RW.6, Dukuh Atas, Menteng, Kota Jakarta Pusat",-6.2023838,106.8245947
nasigoreng bang topan,5.0,3,"Jl. Karet Karya II No.24, RT.8, RT.8/RW.7, Kuningan, Karet Kuningan, Kota Jakarta Selatan",-6.2122164,106.8270716
Nasi Goreng Mas man,0.0,0,"Jl. Kh. Mansyur No.6, RT.6/RW.11, Karet Tengsin, Kota Jakarta Pusat",-6.2063815,106.8198405
Nasi Goreng Ala-Ala,0.0,0,"Jl. Taman Sunda Kelapa, RT.6/RW.4, Menteng, Kota Jakarta Pusat",-6.2011202,106.8317727
Nasi Goreng Pohon Jambu,4.6,9,"Jl. Perintis Blok Kamboja No, RT.9/RW.2, Kuningan, Karet Kuningan, Kota Jakarta Selatan",-6.2138243,106.8237225
Nasi Goreng Teladan,5.0,2,"RT.15/RW.2, RT.15/RW.2, Kuningan, Karet, Kota Jakarta Selatan",-6.2132286,106.8249962
Nasi goreng Ma'ati,0.0,0,"Jl. Karet Pasar Baru Barat II No.31, RT.8/RW.7, Karet Tengsin, Kota Jakarta Pusat",-6.2060339,106.8126311
Nasi Goreng Sedap Malam,4.7,3,"Jl. Bendungan Hilir No.84-80, RT.5/RW.3, Bend. Hilir, Kota Jakarta Pusat",-6.2119481,106.8122802
Nasi Goreng Dan Chinese Food Wonogiri 99,5.0,1,"Taman Singkarak, Jl. Bendungan Hilir No.11, RT.5/RW.3, Bend. Hilir, Kota Jakarta Pusat",-6.2110447,106.8123571
Nasi Goreng Mertakanda Kebumen Bang Udin,4.5,2,"Gg. Tauladan, Jl. Bendungan Hilir No.11, RT.11/RW.5, Karet Tengsin, Kota Jakarta Pusat",-6.2075057,106.8124177
nasi goreng wonogiri 99 mas bowo,4.0,2,"Jl. Bendungan Hilir No.130-126 11 3, RT.13/RW.6, Bend. Hilir, Kota Jakarta Pusat",-6.207770099999999,106.8110645
Waroeng Kita Citywalk,4.4,13,"Citylofts Sudirman, Jl. K.H. Mas Mansyur No.121, RT.10/RW.11, Karet Tengsin, Kota Jakarta Pusat",-6.2088278,106.8182389
Nasi goreng Tek Tek,0.0,0,"Jl. Karet Pasar Baru Timur III No.10, RT.10/RW.11, Karet Tengsin, Kota Jakarta Pusat",-6.2040852,106.820804
Nasi Goreng Bumen Jaya,4.3,7,"Jl. D. Tondano No.14, RT.21/RW.4, Bend. Hilir, Kota Jakarta Pusat",-6.2078782,106.806141
Nasi Goreng Gila Kare Brebes,0.0,0,"Jl. D. Tondano No.4, RT.20/RW.4, Bend. Hilir, Kota Jakarta Pusat",-6.2071301,106.8083302
Nasi goreng seafood bang kur,5.0,8,"Jl. Pejompongan Raya No.13, RT.1/RW.6, Bend. Hilir, Kota Jakarta Pusat",-6.203299100000001,106.804446
Nasi goreng idolaku,5.0,1,"Jl. Karet Ps. Baru Barat VII No.27, RT.5/RW.7, Karet Tengsin, Kota Jakarta Pusat",-6.2048489,106.8104188
Nasi goreng usus Dalbo,0.0,0,"Jl. D. Tondano T8 PAV, RT.13/RW.5, Bend. Hilir, Kota Jakarta Pusat",-6.2075944,106.8063573
