T_in_ref_blk_K,p_high_Pa,PR,T_cold_set_K,delta,load,T_HTF_in_K,T_amb_input_K,P_net,eta_gross,eta_Q
1236.04,24119388.49,2.82,843.12,83.77,0.62,1150.76,272.16,100000000,0.202072146,0.7394661362
1236.04,24119388.49,2.82,843.12,83.77,0.81,1144.32,280.6,100000000,-1000,-1000
1236.04,24119388.49,2.82,843.12,83.77,0.57,1141.21,293.23,100000000,0.2961716094,0.8133408992
1236.04,24119388.49,2.82,843.12,83.77,0.68,1133.48,289.08,100000000,0,0.5599372183
1236.04,24119388.49,2.82,843.12,83.77,0.92,1138.06,316.44,100000000,0.5299720022,0.996045065
1246.42,24791897.69,2.77,805.03,35.94,0.89,1197.37,273.23,100000000,0.5517750261,0.9704705069
1246.42,24791897.69,2.77,805.03,35.94,0.54,1194.94,314.58,100000000,-1000,-1000
1246.42,24791897.69,2.77,805.03,35.94,1.05,1206.49,265.3,100000000,0.1848154939,0.6859181479
1246.42,24791897.69,2.77,805.03,35.94,0.73,1190.75,304.26,100000000,-1000,-1000
1246.42,24791897.69,2.77,805.03,35.94,0.94,1208,286.99,100000000,0.3447453885,0.8200183846
1246.42,24791897.69,2.77,805.03,35.94,0.62,1204.39,308.71,100000000,-1000,-1000
1246.42,24791897.69,2.77,805.03,35.94,0.67,1200.55,281.36,100000000,-1000,-1000
1246.42,24791897.69,2.77,805.03,35.94,0.81,1199.59,297.23,100000000,-1000,-1000
1147.55,24955390.69,2.91,844.79,63.94,0.94,1070.41,290.04,100000000,0.4917692823,0.9830695065
1147.55,24955390.69,2.91,844.79,63.94,0.88,1064.21,314.17,100000000,0.4767978908,0.9770518807
1147.55,24955390.69,2.91,844.79,63.94,0.76,1066.95,272.6,100000000,0.4909611054,0.981896131
1147.55,24955390.69,2.91,844.79,63.94,0.54,1074.04,298.83,100000000,0.3865271682,0.9112322841
1147.55,24955390.69,2.91,844.79,63.94,0.79,1072.45,279.46,100000000,0.4890559911,0.9799520392
1147.55,24955390.69,2.91,844.79,63.94,0.68,1078.7,310.07,100000000,0.5102730158,1.0086957449
1147.55,24955390.69,2.91,844.79,63.94,0.57,1077.09,264.46,100000000,0,0.606534584
1147.55,24955390.69,2.91,844.79,63.94,1.05,1082.23,294.59,100000000,0.5037931786,1.0010002262
1257.26,24801690.72,2.8,802.88,48.39,0.95,1197.62,269.93,100000000,0.5630266614,0.9883109837
1257.26,24801690.72,2.8,802.88,48.39,0.59,1205.64,289.98,100000000,0.5884855046,1.037104716
1257.26,24801690.72,2.8,802.88,48.39,0.74,1200.92,292.03,100000000,0.6985610187,1.0663668326
1257.26,24801690.72,2.8,802.88,48.39,1.01,1189.94,298.42,100000000,0.5448449267,0.9738068342
1257.26,24801690.72,2.8,802.88,48.39,0.86,1193.75,317.96,100000000,0.687646318,1.1439078351
1257.26,24801690.72,2.8,802.88,48.39,0.56,1201.59,307.88,100000000,0.6743055893,0.8971355539
1257.26,24801690.72,2.8,802.88,48.39,0.78,1208.8,276.91,100000000,0.6985840023,1.0935449549
1257.26,24801690.72,2.8,802.88,48.39,0.65,1194.24,275.3,100000000,-1000,-1000
1138.71,24732004.49,2.92,824.95,60.17,0.83,1060.33,303.33,100000000,0.366512668,0.9011535368
1138.71,24732004.49,2.92,824.95,60.17,0.63,1068.16,310.53,100000000,0.4409931215,0.9635112517
1138.71,24732004.49,2.92,824.95,60.17,0.96,1071.96,292.13,100000000,0.4931874097,0.9880915878
1138.71,24732004.49,2.92,824.95,60.17,0.88,1073.62,314.28,100000000,0.4808310904,0.9829624064
1138.71,24732004.49,2.92,824.95,60.17,0.99,1064.35,272.48,100000000,0.4915824248,0.9847484597
1138.71,24732004.49,2.92,824.95,60.17,0.75,1076.16,285.96,100000000,0.4872011209,0.9803288113
1138.71,24732004.49,2.92,824.95,60.17,0.52,1061.32,269.65,100000000,0.5868498525,1.0965958073
1138.71,24732004.49,2.92,824.95,60.17,0.7,1068.99,283.07,100000000,0.4918272769,0.9850877313
1202.74,24543975.92,2.77,817.77,46.45,0.68,1144.96,275.82,100000000,-1000,-1000
1202.74,24543975.92,2.77,817.77,46.45,1.02,1148.45,295.02,100000000,0.5349391641,0.991610626
1202.74,24543975.92,2.77,817.77,46.45,0.51,1152.25,307.63,100000000,-1000,-1000
1202.74,24543975.92,2.77,817.77,46.45,0.59,1138.55,280.51,100000000,-1000,-1000
1202.74,24543975.92,2.77,817.77,46.45,0.83,1141.28,267.88,100000000,0.3005784118,0.8115369318
1202.74,24543975.92,2.77,817.77,46.45,0.75,1143.74,304.03,100000000,-1000,-1000
1202.74,24543975.92,2.77,817.77,46.45,0.86,1149.76,284.36,100000000,0.538031145,0.992024342
1202.74,24543975.92,2.77,817.77,46.45,0.94,1155.58,312.11,100000000,0.5297732704,0.9924890325
1149.51,24571971.81,2.84,799.99,32.4,0.77,1102.89,317.67,100000000,0.5292395656,1.0007673858
1149.51,24571971.81,2.84,799.99,32.4,0.84,1114.35,264.29,100000000,0.538940299,1.0009235394
1149.51,24571971.81,2.84,799.99,32.4,0.59,1098.67,289.05,100000000,0.3636387481,0.8888535378
1149.51,24571971.81,2.84,799.99,32.4,0.92,1109.77,278.03,100000000,0.5338063482,0.9992498775
1149.51,24571971.81,2.84,799.99,32.4,0.51,1114.65,295.1,100000000,-1000,-1000
1149.51,24571971.81,2.84,799.99,32.4,0.86,1101.05,272.62,100000000,0.5348504813,0.9996488472
1149.51,24571971.81,2.84,799.99,32.4,1.02,1109.41,310.15,100000000,0.5179443685,1.0012690879
1149.51,24571971.81,2.84,799.99,32.4,0.67,1106.63,298.08,100000000,0.5348065667,1.001373431
1217.46,24372025.59,2.88,847.27,26.26,0.74,1180.77,271.53,100000000,-1000,-1000
1217.46,24372025.59,2.88,847.27,26.26,0.93,1186.17,277,100000000,0.5437851262,0.9811169544
1217.46,24372025.59,2.88,847.27,26.26,0.66,1189.15,297.66,100000000,-1000,-1000
1217.46,24372025.59,2.88,847.27,26.26,0.52,1171.26,265.74,100000000,-1000,-1000
1217.46,24372025.59,2.88,847.27,26.26,0.8,1177.8,316.11,100000000,0.5007804859,0.9844773356
1217.46,24372025.59,2.88,847.27,26.26,0.85,1187.62,294.8,100000000,0.5392302878,0.9777262482
1217.46,24372025.59,2.88,847.27,26.26,1.04,1181.83,289.65,100000000,0.5444567258,0.9825967247
1217.46,24372025.59,2.88,847.27,26.26,0.58,1174.1,308.74,100000000,-1000,-1000
1223.65,24198057.38,2.87,839.06,39.84,0.94,1173.79,279.87,100000000,-1000,-1000
1223.65,24198057.38,2.87,839.06,39.84,0.87,1183.29,298.12,100000000,-1000,-1000
1223.65,24198057.38,2.87,839.06,39.84,0.83,1176.32,318.14,100000000,-1000,-1000
1223.65,24198057.38,2.87,839.06,39.84,0.77,1176.27,271.17,100000000,-1000,-1000
1223.65,24198057.38,2.87,839.06,39.84,0.52,1166.49,285.61,100000000,0,-1.3635727288
1223.65,24198057.38,2.87,839.06,39.84,0.6,1179.65,305.87,100000000,-1000,-1000
1223.65,24198057.38,2.87,839.06,39.84,0.64,1170.28,264.37,100000000,-1000,-1000
1223.65,24198057.38,2.87,839.06,39.84,1.04,1165.26,293.12,100000000,0.5334899251,0.9780703731
1043.38,24214167.37,2.88,853.11,98.27,0.67,943.47,296.17,100000000,0.3543445981,0.9445500038
1043.38,24214167.37,2.88,853.11,98.27,0.59,938.98,273.73,100000000,0.321054163,0.9193359624
1043.38,24214167.37,2.88,853.11,98.27,1.03,933.1,306.03,100000000,0.3998719991,0.9724542816
1043.38,24214167.37,2.88,853.11,98.27,0.73,942.6,278.65,100000000,0.3742074258,0.9610530646
1043.38,24214167.37,2.88,853.11,98.27,0.92,935.67,284.55,100000000,0.3990400662,0.9689331083
1043.38,24214167.37,2.88,853.11,98.27,0.81,928.14,300.43,100000000,0.3716452316,0.9677424064
1043.38,24214167.37,2.88,853.11,98.27,0.52,927.54,267.13,100000000,0.2626250056,0.87487512
1043.38,24214167.37,2.88,853.11,98.27,0.91,930.49,313.72,100000000,0.3864442508,0.9682136121
1067.11,24674796.21,2.74,838.01,50.3,0.86,1012.24,317.58,100000000,0.4573385282,0.9812989603
1067.11,24674796.21,2.74,838.01,50.3,0.71,1006.94,272.03,100000000,0.4251266921,0.9413378735
1067.11,24674796.21,2.74,838.01,50.3,0.94,1000.85,269.9,100000000,0.4712059777,0.9747739556
1067.11,24674796.21,2.74,838.01,50.3,0.61,1003.95,301.57,100000000,0.3710915675,0.9188684242
1067.11,24674796.21,2.74,838.01,50.3,0.53,1010.27,307.65,100000000,0.3235027916,0.8791810634
1067.11,24674796.21,2.74,838.01,50.3,0.65,999.3,277.02,100000000,0.39684639,0.9357210821
1067.11,24674796.21,2.74,838.01,50.3,0.8,1014.81,289.45,100000000,0.4541531406,0.9687734778
1067.11,24674796.21,2.74,838.01,50.3,0.99,1005.05,294.73,100000000,0.4777864159,0.9720544978
1114.03,24633552.26,2.97,851.3,76.88,0.5,1035.78,284.97,100000000,0.6313847896,1.2172612523
1114.03,24633552.26,2.97,851.3,76.88,0.89,1017.97,274.05,100000000,0.4291959797,0.9432878131
1114.03,24633552.26,2.97,851.3,76.88,0.7,1033.31,293.38,100000000,0.3795242922,0.9000049426
1114.03,24633552.26,2.97,851.3,76.88,0.59,1019.95,310.23,100000000,0.2908957985,0.8373757312
1114.03,24633552.26,2.97,851.3,76.88,0.94,1024.25,264.38,100000000,0.4447874189,0.9533120916
1114.03,24633552.26,2.97,851.3,76.88,0.76,1030.23,316.24,100000000,-1000,-1000
1114.03,24633552.26,2.97,851.3,76.88,1.01,1027.3,298.29,100000000,0.4508494752,0.9515304064
1114.03,24633552.26,2.97,851.3,76.88,0.79,1025.64,281.82,100000000,-1000,-1000
