P_net,T_in_ref_blk,p_high,PR,delta,Pinch_PHX,load,T_HTF_in,T_amb_input,eta_gross,eta_Q,UA_HTR,UA_LTR,UA_PHX,UA_cooler,W_turb_des,W_comp_des,W_recomp_des,Q_HX_des,C_PB,dTemp_particle_PHX,eta_cycle_des,
10000000.0,1269.62,23312099.48,3.59,86.1,27.92,0.54,1256.39,283.57,0.38864082805621536,0.9347014368771615,2889535.6464590337,752489.6904325556,439030.17340478895,8479.418929935235,20247499.959603325,4442364.73683453,4044545.546802443,23297102.05801271,14390211.556786273,264.7269971903893,0.5048091237562942,
10000000.0,1269.62,23312099.48,3.59,86.1,27.92,0.97,1259.87,316.72,0.4892827096148527,0.9917894799301818,2889535.6464590337,752489.6904325556,439030.17340478895,8479.418929935235,20247499.959603325,4442364.73683453,4044545.546802443,23297102.05801271,14390211.556786273,264.7269971903893,0.5048091237562942,
10000000.0,1269.62,23312099.48,3.59,86.1,27.92,0.72,1249.75,280.53,0.45947431179785275,0.9865536061453997,2889535.6464590337,752489.6904325556,439030.17340478895,8479.418929935235,20247499.959603325,4442364.73683453,4044545.546802443,23297102.05801271,14390211.556786273,264.7269971903893,0.5048091237562942,
10000000.0,1269.62,23312099.48,3.59,86.1,27.92,0.84,1268.63,301.23,0.4782993831355009,0.9816917527932485,2889535.6464590337,752489.6904325556,439030.17340478895,8479.418929935235,20247499.959603325,4442364.73683453,4044545.546802443,23297102.05801271,14390211.556786273,264.7269971903893,0.5048091237562942,
10000000.0,1269.62,23312099.48,3.59,86.1,27.92,0.62,1263.36,265.95,0.43639545528487383,0.9774253896692913,2889535.6464590337,752489.6904325556,439030.17340478895,8479.418929935235,20247499.959603325,4442364.73683453,4044545.546802443,23297102.05801271,14390211.556786273,264.7269971903893,0.5048091237562942,
10000000.0,1269.62,23312099.48,3.59,86.1,27.92,0.9,1253.34,297.47,0.47893113746497673,0.9819809485087362,2889535.6464590337,752489.6904325556,439030.17340478895,8479.418929935235,20247499.959603325,4442364.73683453,4044545.546802443,23297102.05801271,14390211.556786273,264.7269971903893,0.5048091237562942,
10000000.0,1152.55,23471516.04,3.67,63.62,27.28,0.94,1150.93,269.52,0.45674933639924886,1.005927972138132,2861784.624985862,880324.8913177085,582362.3795444823,9766.648987290775,22031230.43343857,5366401.742847021,4904239.014625199,25546806.25168441,14635003.98156801,229.55328642917016,0.4603545961910962,
10000000.0,1152.55,23471516.04,3.67,63.62,27.28,0.71,1134.72,293.59,0.40504602380555227,0.9907452097324787,2861784.624985862,880324.8913177085,582362.3795444823,9766.648987290775,22031230.43343857,5366401.742847021,4904239.014625199,25546806.25168441,14635003.98156801,229.55328642917016,0.4603545961910962,
10000000.0,1152.55,23471516.04,3.67,63.62,27.28,0.67,1146.96,305.35,0.4013340958518152,0.9882749133643666,2861784.624985862,880324.8913177085,582362.3795444823,9766.648987290775,22031230.43343857,5366401.742847021,4904239.014625199,25546806.25168441,14635003.98156801,229.55328642917016,0.4603545961910962,
10000000.0,1152.55,23471516.04,3.67,63.62,27.28,0.86,1143.71,275.39,0.4485390956422962,1.0185353733947524,2861784.624985862,880324.8913177085,582362.3795444823,9766.648987290775,22031230.43343857,5366401.742847021,4904239.014625199,25546806.25168441,14635003.98156801,229.55328642917016,0.4603545961910962,
10000000.0,1152.55,23471516.04,3.67,63.62,27.28,0.53,1137.02,317.25,0.3240892529492349,0.9513188342840152,2861784.624985862,880324.8913177085,582362.3795444823,9766.648987290775,22031230.43343857,5366401.742847021,4904239.014625199,25546806.25168441,14635003.98156801,229.55328642917016,0.4603545961910962,
10000000.0,1152.55,23471516.04,3.67,63.62,27.28,1.02,1139.67,288.83,0.4555320536523411,1.0047085640193856,2861784.624985862,880324.8913177085,582362.3795444823,9766.648987290775,22031230.43343857,5366401.742847021,4904239.014625199,25546806.25168441,14635003.98156801,229.55328642917016,0.4603545961910962,
10000000.0,1256.72,22649602.39,3.08,58.34,22.56,0.95,1241.17,292.7,0.5182720253794348,0.9853087473188853,2919292.8122213623,798232.7221630228,562469.481252651,10176.11619397962,18378427.19107815,3475102.666558456,3142734.8485533423,21876476.073702794,13290556.509011425,229.35130034065628,0.5375906812570916,
10000000.0,1256.72,22649602.39,3.08,58.34,22.56,0.63,1252.31,310.49,0.479836660099341,0.9613591832921966,2919292.8122213623,798232.7221630228,562469.481252651,10176.11619397962,18378427.19107815,3475102.666558456,3142734.8485533423,21876476.073702794,13290556.509011425,229.35130034065628,0.5375906812570916,
10000000.0,1256.72,22649602.39,3.08,58.34,22.56,0.72,1247.04,278.97,0.5033570780396673,0.9612376587063169,2919292.8122213623,798232.7221630228,562469.481252651,10176.11619397962,18378427.19107815,3475102.666558456,3142734.8485533423,21876476.073702794,13290556.509011425,229.35130034065628,0.5375906812570916,
10000000.0,1256.72,22649602.39,3.08,58.34,22.56,0.96,1254.09,290.28,0.5298827416798143,0.9944160437809558,2919292.8122213623,798232.7221630228,562469.481252651,10176.11619397962,18378427.19107815,3475102.666558456,3142734.8485533423,21876476.073702794,13290556.509011425,229.35130034065628,0.5375906812570916,
10000000.0,1256.72,22649602.39,3.08,58.34,22.56,0.78,1237.63,305.75,0.49881842341315485,0.9647732057841354,2919292.8122213623,798232.7221630228,562469.481252651,10176.11619397962,18378427.19107815,3475102.666558456,3142734.8485533423,21876476.073702794,13290556.509011425,229.35130034065628,0.5375906812570916,
10000000.0,1256.72,22649602.39,3.08,58.34,22.56,0.55,1246.11,265.56,0.4611056043436168,0.9494043132745822,2919292.8122213623,798232.7221630228,562469.481252651,10176.11619397962,18378427.19107815,3475102.666558456,3142734.8485533423,21876476.073702794,13290556.509011425,229.35130034065628,0.5375906812570916,
10000000.0,1351.13,22437414.61,3.64,116.82,26.25,0.56,1332.32,289.9,0.3954613979392345,0.9087013218037759,2891711.3443600866,674469.5323024784,357460.9595321285,7476.051427633884,19824858.70514564,4236917.374880918,3827351.6542983674,22476610.589746024,14796218.224059286,308.4129779239672,0.5232367944894507,
10000000.0,1351.13,22437414.61,3.64,116.82,26.25,0.98,1346.36,291.69,0.5124277919086073,0.9921073667147869,2891711.3443600866,674469.5323024784,357460.9595321285,7476.051427633884,19824858.70514564,4236917.374880918,3827351.6542983674,22476610.589746024,14796218.224059286,308.4129779239672,0.5232367944894507,
10000000.0,1351.13,22437414.61,3.64,116.82,26.25,0.83,1335.18,316.55,0.48224209993867173,0.9561338653218753,2891711.3443600866,674469.5323024784,357460.9595321285,7476.051427633884,19824858.70514564,4236917.374880918,3827351.6542983674,22476610.589746024,14796218.224059286,308.4129779239672,0.5232367944894507,
10000000.0,1351.13,22437414.61,3.64,116.82,26.25,0.73,1343.69,308.88,0.465162531023343,0.941714592113769,2891711.3443600866,674469.5323024784,357460.9595321285,7476.051427633884,19824858.70514564,4236917.374880918,3827351.6542983674,22476610.589746024,14796218.224059286,308.4129779239672,0.5232367944894507,
10000000.0,1351.13,22437414.61,3.64,116.82,26.25,0.67,1349.88,277.48,0.4608442670827519,0.9350564116721418,2891711.3443600866,674469.5323024784,357460.9595321285,7476.051427633884,19824858.70514564,4236917.374880918,3827351.6542983674,22476610.589746024,14796218.224059286,308.4129779239672,0.5232367944894507,
10000000.0,1351.13,22437414.61,3.64,116.82,26.25,0.88,1340.3,269.67,0.5025157396818176,0.9691110279112445,2891711.3443600866,674469.5323024784,357460.9595321285,7476.051427633884,19824858.70514564,4236917.374880918,3827351.6542983674,22476610.589746024,14796218.224059286,308.4129779239672,0.5232367944894507,
10000000.0,1355.26,23079770.11,3.46,77.62,21.7,0.66,1354.66,314.24,0.4881287132317977,0.9109619868481734,2741826.497543741,638237.5248831859,457303.0688790219,7401.4889899653535,18548067.035164848,3562155.9550840994,3225321.4041143963,21201237.935472753,13705409.859402636,278.4417412729026,0.5547124046133729,
10000000.0,1355.26,23079770.11,3.46,77.62,21.7,0.81,1346.72,273.61,0.5268629701046982,0.9481257249142203,2741826.497543741,638237.5248831859,457303.0688790219,7401.4889899653535,18548067.035164848,3562155.9550840994,3225321.4041143963,21201237.935472753,13705409.859402636,278.4417412729026,0.5547124046133729,
10000000.0,1355.26,23079770.11,3.46,77.62,21.7,0.55,1339.99,295.65,0.4431572271836565,0.8949799734506128,2741826.497543741,638237.5248831859,457303.0688790219,7401.4889899653535,18548067.035164848,3562155.9550840994,3225321.4041143963,21201237.935472753,13705409.859402636,278.4417412729026,0.5547124046133729,
10000000.0,1355.26,23079770.11,3.46,77.62,21.7,0.94,1344.21,305.47,0.5343529625799248,0.9795464591316486,2741826.497543741,638237.5248831859,457303.0688790219,7401.4889899653535,18548067.035164848,3562155.9550840994,3225321.4041143963,21201237.935472753,13705409.859402636,278.4417412729026,0.5547124046133729,
10000000.0,1355.26,23079770.11,3.46,77.62,21.7,0.76,1335.43,270.98,0.5125194416295931,0.9286543119226577,2741826.497543741,638237.5248831859,457303.0688790219,7401.4889899653535,18548067.035164848,3562155.9550840994,3225321.4041143963,21201237.935472753,13705409.859402636,278.4417412729026,0.5547124046133729,
10000000.0,1355.26,23079770.11,3.46,77.62,21.7,1.03,1350.39,282.06,0.5551315634263292,1.0007408359638281,2741826.497543741,638237.5248831859,457303.0688790219,7401.4889899653535,18548067.035164848,3562155.9550840994,3225321.4041143963,21201237.935472753,13705409.859402636,278.4417412729026,0.5547124046133729,
10000000.0,1365.61,22375847.07,2.88,78.26,19.69,0.85,1351.77,316.37,0.5559837408135417,0.9534112147449326,2689524.053932387,731642.5333543302,443566.78296211176,9954.29980501033,16770951.776301853,2627826.013346844,2382536.0869886554,20015625.48839214,12913220.189430088,263.34180207343684,0.5875704300516009,
10000000.0,1365.61,22375847.07,2.88,78.26,19.69,0.95,1360.55,270.97,0.5813958648939413,0.9855665764392558,2689524.053932387,731642.5333543302,443566.78296211176,9954.29980501033,16770951.776301853,2627826.013346844,2382536.0869886554,20015625.48839214,12913220.189430088,263.34180207343684,0.5875704300516009,
10000000.0,1365.61,22375847.07,2.88,78.26,19.69,0.63,1365.4,289.25,0.5282896916831517,0.8935266367425326,2689524.053932387,731642.5333543302,443566.78296211176,9954.29980501033,16770951.776301853,2627826.013346844,2382536.0869886554,20015625.48839214,12913220.189430088,263.34180207343684,0.5875704300516009,
10000000.0,1365.61,22375847.07,2.88,78.26,19.69,0.56,1353.82,278.9,0.5057299713555369,0.8668378084316717,2689524.053932387,731642.5333543302,443566.78296211176,9954.29980501033,16770951.776301853,2627826.013346844,2382536.0869886554,20015625.48839214,12913220.189430088,263.34180207343684,0.5875704300516009,
10000000.0,1365.61,22375847.07,2.88,78.26,19.69,0.77,1348.24,297.05,0.5418822431380856,0.9257135456699163,2689524.053932387,731642.5333543302,443566.78296211176,9954.29980501033,16770951.776301853,2627826.013346844,2382536.0869886554,20015625.48839214,12913220.189430088,263.34180207343684,0.5875704300516009,
10000000.0,1365.61,22375847.07,2.88,78.26,19.69,1.04,1358.76,299.95,0.5779553562202653,1.0006062785895422,2689524.053932387,731642.5333543302,443566.78296211176,9954.29980501033,16770951.776301853,2627826.013346844,2382536.0869886554,20015625.48839214,12913220.189430088,263.34180207343684,0.5875704300516009,
10000000.0,1349.42,21384568.83,3.64,69.08,22.69,0.82,1331.06,290.15,0.5069038292744381,0.9411376524219742,2882806.9824979627,607419.4072789286,489709.21612667176,6701.4491354696775,19308436.74884312,3990117.955661548,3557729.117215216,21646082.1006274,14026258.351382377,274.55325746190533,0.5433126244876194,
10000000.0,1349.42,21384568.83,3.64,69.08,22.69,0.66,1341.18,264.05,0.4800341616949257,0.9013472371415726,2882806.9824979627,607419.4072789286,489709.21612667176,6701.4491354696775,19308436.74884312,3990117.955661548,3557729.117215216,21646082.1006274,14026258.351382377,274.55325746190533,0.5433126244876194,
10000000.0,1349.42,21384568.83,3.64,69.08,22.69,1.01,1335.46,274.21,0.5379014604512548,0.9895952190297709,2882806.9824979627,607419.4072789286,489709.21612667176,6701.4491354696775,19308436.74884312,3990117.955661548,3557729.117215216,21646082.1006274,14026258.351382377,274.55325746190533,0.5433126244876194,
10000000.0,1349.42,21384568.83,3.64,69.08,22.69,0.71,1339.12,302.36,0.48276451950845173,0.9166828090308458,2882806.9824979627,607419.4072789286,489709.21612667176,6701.4491354696775,19308436.74884312,3990117.955661548,3557729.117215216,21646082.1006274,14026258.351382377,274.55325746190533,0.5433126244876194,
10000000.0,1349.42,21384568.83,3.64,69.08,22.69,0.56,1347.67,298.03,0.4372376181187804,0.8770513541676781,2882806.9824979627,607419.4072789286,489709.21612667176,6701.4491354696775,19308436.74884312,3990117.955661548,3557729.117215216,21646082.1006274,14026258.351382377,274.55325746190533,0.5433126244876194,
10000000.0,1349.42,21384568.83,3.64,69.08,22.69,0.94,1344.19,313.32,0.5255622828015555,0.9840886493865968,2882806.9824979627,607419.4072789286,489709.21612667176,6701.4491354696775,19308436.74884312,3990117.955661548,3557729.117215216,21646082.1006274,14026258.351382377,274.55325746190533,0.5433126244876194,
10000000.0,1249.29,23430219.4,3.0,65.06,24.47,1.03,1238.57,291.63,0.5319173230835657,0.9966202510721702,2790658.448381529,866406.3013806643,510346.122104084,11514.811556762525,17922630.983806785,3205870.574019509,2956170.733820925,21758349.417941194,13104503.586848062,230.57969979184236,0.5405092753161217,
10000000.0,1249.29,23430219.4,3.0,65.06,24.47,0.86,1245.82,300.77,0.5182739255627581,0.9809632928663942,2790658.448381529,866406.3013806643,510346.122104084,11514.811556762525,17922630.983806785,3205870.574019509,2956170.733820925,21758349.417941194,13104503.586848062,230.57969979184236,0.5405092753161217,
10000000.0,1249.29,23430219.4,3.0,65.06,24.47,0.59,1229.31,310.26,0.46675654818642875,0.9627035824683932,2790658.448381529,866406.3013806643,510346.122104084,11514.811556762525,17922630.983806785,3205870.574019509,2956170.733820925,21758349.417941194,13104503.586848062,230.57969979184236,0.5405092753161217,
10000000.0,1249.29,23430219.4,3.0,65.06,24.47,0.58,1246.06,266.33,0.4828887841671687,0.9723752448390318,2790658.448381529,866406.3013806643,510346.122104084,11514.811556762525,17922630.983806785,3205870.574019509,2956170.733820925,21758349.417941194,13104503.586848062,230.57969979184236,0.5405092753161217,
10000000.0,1249.29,23430219.4,3.0,65.06,24.47,0.92,1241.94,273.22,0.5317149656404833,0.9870767200612993,2790658.448381529,866406.3013806643,510346.122104084,11514.811556762525,17922630.983806785,3205870.574019509,2956170.733820925,21758349.417941194,13104503.586848062,230.57969979184236,0.5405092753161217,
10000000.0,1249.29,23430219.4,3.0,65.06,24.47,0.75,1235.24,284.11,0.5110580493304391,0.9713737390073169,2790658.448381529,866406.3013806643,510346.122104084,11514.811556762525,17922630.983806785,3205870.574019509,2956170.733820925,21758349.417941194,13104503.586848062,230.57969979184236,0.5405092753161217,
10000000.0,1298.46,20443835.13,3.39,102.12,17.46,0.65,1294.25,296.11,0.43539021652771936,0.9660875225133242,3204699.670232813,725849.0753464369,463953.08635564125,8374.348425476035,20084769.295168016,4433701.770750827,3890477.848450835,22970695.215909325,14905316.695444535,285.6629854822978,0.5119823133529307,
10000000.0,1298.46,20443835.13,3.39,102.12,17.46,0.84,1285.74,308.46,0.4751862276381883,0.9642511588464927,3204699.670232813,725849.0753464369,463953.08635564125,8374.348425476035,20084769.295168016,4433701.770750827,3890477.848450835,22970695.215909325,14905316.695444535,285.6629854822978,0.5119823133529307,
10000000.0,1298.46,20443835.13,3.39,102.12,17.46,0.71,1279.52,269.74,0.4539329900517283,0.9561376988942709,3204699.670232813,725849.0753464369,463953.08635564125,8374.348425476035,20084769.295168016,4433701.770750827,3890477.848450835,22970695.215909325,14905316.695444535,285.6629854822978,0.5119823133529307,
10000000.0,1298.46,20443835.13,3.39,102.12,17.46,0.53,1290.0,273.27,0.3751341642181309,0.911524828681791,3204699.670232813,725849.0753464369,463953.08635564125,8374.348425476035,20084769.295168016,4433701.770750827,3890477.848450835,22970695.215909325,14905316.695444535,285.6629854822978,0.5119823133529307,
10000000.0,1298.46,20443835.13,3.39,102.12,17.46,0.89,1295.38,309.96,0.4879818709144787,0.9777399825768966,3204699.670232813,725849.0753464369,463953.08635564125,8374.348425476035,20084769.295168016,4433701.770750827,3890477.848450835,22970695.215909325,14905316.695444535,285.6629854822978,0.5119823133529307,
10000000.0,1298.46,20443835.13,3.39,102.12,17.46,1.01,1284.29,287.77,0.5050935285441365,0.9917917971796341,3204699.670232813,725849.0753464369,463953.08635564125,8374.348425476035,20084769.295168016,4433701.770750827,3890477.848450835,22970695.215909325,14905316.695444535,285.6629854822978,0.5119823133529307,
10000000.0,1151.46,20915727.13,2.85,74.99,24.91,0.94,1146.64,278.38,0.48956058323971324,1.0026612338066005,3275137.853576195,1004155.8625125564,515793.72621018905,13405.510279328751,19398514.694408726,4057714.1629791274,3580210.855463247,23806791.552027095,14054969.90768481,215.7815330142946,0.49400145543614693,
10000000.0,1151.46,20915727.13,2.85,74.99,24.91,0.82,1132.98,292.34,0.47055701274233763,1.0222068637337014,3275137.853576195,1004155.8625125564,515793.72621018905,13405.510279328751,19398514.694408726,4057714.1629791274,3580210.855463247,23806791.552027095,14054969.90768481,215.7815330142946,0.49400145543614693,
10000000.0,1151.46,20915727.13,2.85,74.99,24.91,0.52,1150.12,270.59,0.40241161590048125,0.9750321911536348,3275137.853576195,1004155.8625125564,515793.72621018905,13405.510279328751,19398514.694408726,4057714.1629791274,3580210.855463247,23806791.552027095,14054969.90768481,215.7815330142946,0.49400145543614693,
10000000.0,1151.46,20915727.13,2.85,74.99,24.91,0.71,1140.87,284.69,0.460465483641997,0.9987324417890401,3275137.853576195,1004155.8625125564,515793.72621018905,13405.510279328751,19398514.694408726,4057714.1629791274,3580210.855463247,23806791.552027095,14054969.90768481,215.7815330142946,0.49400145543614693,
10000000.0,1151.46,20915727.13,2.85,74.99,24.91,0.59,1142.82,306.92,0.4184966755554212,0.9698722507689048,3275137.853576195,1004155.8625125564,515793.72621018905,13405.510279328751,19398514.694408726,4057714.1629791274,3580210.855463247,23806791.552027095,14054969.90768481,215.7815330142946,0.49400145543614693,
10000000.0,1151.46,20915727.13,2.85,74.99,24.91,1.0,1135.61,315.35,0.48107295719157034,1.0027477272870686,3275137.853576195,1004155.8625125564,515793.72621018905,13405.510279328751,19398514.694408726,4057714.1629791274,3580210.855463247,23806791.552027095,14054969.90768481,215.7815330142946,0.49400145543614693,
10000000.0,1196.71,24307892.5,3.69,60.84,28.54,0.82,1180.54,272.2,0.4617684600111734,1.008286353780838,2806814.07648927,817502.1493256409,558651.7769287038,9092.181052877992,21078441.056544818,4846882.448600976,4470968.931977492,24387496.975788224,14235229.380714618,233.98483978522336,0.4822384883386024,
10000000.0,1196.71,24307892.5,3.69,60.84,28.54,1.0,1189.57,277.07,0.4797248850134794,0.9997621803105744,2806814.07648927,817502.1493256409,558651.7769287038,9092.181052877992,21078441.056544818,4846882.448600976,4470968.931977492,24387496.975788224,14235229.380714618,233.98483978522336,0.4822384883386024,
10000000.0,1196.71,24307892.5,3.69,60.84,28.54,0.69,1186.28,306.83,0.43265881429656455,1.0058702003978612,2806814.07648927,817502.1493256409,558651.7769287038,9092.181052877992,21078441.056544818,4846882.448600976,4470968.931977492,24387496.975788224,14235229.380714618,233.98483978522336,0.4822384883386024,
10000000.0,1196.71,24307892.5,3.69,60.84,28.54,0.57,1176.73,311.54,0.37839962917697373,0.9653594305485895,2806814.07648927,817502.1493256409,558651.7769287038,9092.181052877992,21078441.056544818,4846882.448600976,4470968.931977492,24387496.975788224,14235229.380714618,233.98483978522336,0.4822384883386024,
10000000.0,1196.71,24307892.5,3.69,60.84,28.54,0.63,1192.01,287.75,0.4227865851598138,0.987659937118061,2806814.07648927,817502.1493256409,558651.7769287038,9092.181052877992,21078441.056544818,4846882.448600976,4470968.931977492,24387496.975788224,14235229.380714618,233.98483978522336,0.4822384883386024,
10000000.0,1196.71,24307892.5,3.69,60.84,28.54,0.93,1193.84,299.53,0.46837402240720105,0.9997732876924647,2806814.07648927,817502.1493256409,558651.7769287038,9092.181052877992,21078441.056544818,4846882.448600976,4470968.931977492,24387496.975788224,14235229.380714618,233.98483978522336,0.4822384883386024,
10000000.0,1208.1,22315673.94,3.16,73.88,18.47,0.92,1206.59,280.31,0.49707979076225706,0.9957621171981296,3061970.162773605,865307.9301295044,571006.1742410877,10720.000292727482,19609185.87080295,4135431.68038352,3713164.51445308,23342395.13636501,14095931.031159151,240.1408500259913,0.5038296030575107,
10000000.0,1208.1,22315673.94,3.16,73.88,18.47,0.58,1198.66,308.7,0.41325656828953666,0.9609301110895481,3061970.162773605,865307.9301295044,571006.1742410877,10720.000292727482,19609185.87080295,4135431.68038352,3713164.51445308,23342395.13636501,14095931.031159151,240.1408500259913,0.5038296030575107,
10000000.0,1208.1,22315673.94,3.16,73.88,18.47,0.85,1197.77,283.76,0.486646549120609,0.9944493691401793,3061970.162773605,865307.9301295044,571006.1742410877,10720.000292727482,19609185.87080295,4135431.68038352,3713164.51445308,23342395.13636501,14095931.031159151,240.1408500259913,0.5038296030575107,
10000000.0,1208.1,22315673.94,3.16,73.88,18.47,0.74,1188.38,316.83,0.462062111598642,1.014475104510323,3061970.162773605,865307.9301295044,571006.1742410877,10720.000292727482,19609185.87080295,4135431.68038352,3713164.51445308,23342395.13636501,14095931.031159151,240.1408500259913,0.5038296030575107,
10000000.0,1208.1,22315673.94,3.16,73.88,18.47,0.63,1202.36,270.89,0.4452645732372143,0.9816448679873264,3061970.162773605,865307.9301295044,571006.1742410877,10720.000292727482,19609185.87080295,4135431.68038352,3713164.51445308,23342395.13636501,14095931.031159151,240.1408500259913,0.5038296030575107,
10000000.0,1208.1,22315673.94,3.16,73.88,18.47,0.96,1191.82,297.21,0.48616946706055675,0.9944406469206584,3061970.162773605,865307.9301295044,571006.1742410877,10720.000292727482,19609185.87080295,4135431.68038352,3713164.51445308,23342395.13636501,14095931.031159151,240.1408500259913,0.5038296030575107,
10000000.0,1291.02,22803578.84,2.86,110.07,25.92,0.58,1288.76,315.04,0.46464454519909837,0.9530918044241307,2831517.4068322247,914780.5732733582,362290.7562123638,12664.148926148753,17557194.920190547,3019063.683549502,2777541.560674694,21593529.964745596,13629828.89087998,268.4636349895736,0.5446348834658867,
10000000.0,1291.02,22803578.84,2.86,110.07,25.92,0.61,1277.7,274.93,0.4798931518787993,0.9599960804498842,2831517.4068322247,914780.5732733582,362290.7562123638,12664.148926148753,17557194.920190547,3019063.683549502,2777541.560674694,21593529.964745596,13629828.89087998,268.4636349895736,0.5446348834658867,
10000000.0,1291.02,22803578.84,2.86,110.07,25.92,0.97,1276.67,289.37,0.5335409608127123,0.9872388470957375,2831517.4068322247,914780.5732733582,362290.7562123638,12664.148926148753,17557194.920190547,3019063.683549502,2777541.560674694,21593529.964745596,13629828.89087998,268.4636349895736,0.5446348834658867,
10000000.0,1291.02,22803578.84,2.86,110.07,25.92,0.89,1286.22,263.67,0.5321826913383166,0.9805071531590546,2831517.4068322247,914780.5732733582,362290.7562123638,12664.148926148753,17557194.920190547,3019063.683549502,2777541.560674694,21593529.964745596,13629828.89087998,268.4636349895736,0.5446348834658867,
10000000.0,1291.02,22803578.84,2.86,110.07,25.92,0.8,1273.97,299.08,0.5078624941087012,0.9700857282919628,2831517.4068322247,914780.5732733582,362290.7562123638,12664.148926148753,17557194.920190547,3019063.683549502,2777541.560674694,21593529.964745596,13629828.89087998,268.4636349895736,0.5446348834658867,
10000000.0,1291.02,22803578.84,2.86,110.07,25.92,0.73,1281.69,304.35,0.500718757915931,0.9698239607880111,2831517.4068322247,914780.5732733582,362290.7562123638,12664.148926148753,17557194.920190547,3019063.683549502,2777541.560674694,21593529.964745596,13629828.89087998,268.4636349895736,0.5446348834658867,
10000000.0,1080.37,20162042.16,3.99,148.71,15.68,1.03,1079.24,295.42,0.3379794258876497,0.9994490826203595,2319188.2520188475,1272669.5425873054,563098.720937194,13131.174874655202,30255955.038666338,9802296.101227328,8693069.261472657,34670163.100325115,18506975.588222355,306.6162961433273,0.33921356648755047,
10000000.0,1080.37,20162042.16,3.99,148.71,15.68,0.76,1069.73,270.83,0.34544225712408044,0.47346937441251785,2319188.2520188475,1272669.5425873054,563098.720937194,13131.174874655202,30255955.038666338,9802296.101227328,8693069.261472657,34670163.100325115,18506975.588222355,306.6162961433273,0.33921356648755047,
10000000.0,1080.37,20162042.16,3.99,148.71,15.68,0.55,1060.49,279.48,0.3163599490796438,0.4229512913822468,2319188.2520188475,1272669.5425873054,563098.720937194,13131.174874655202,30255955.038666338,9802296.101227328,8693069.261472657,34670163.100325115,18506975.588222355,306.6162961433273,0.33921356648755047,
10000000.0,1080.37,20162042.16,3.99,148.71,15.68,0.85,1076.43,289.96,0.35052793984021674,0.49179974563678686,2319188.2520188475,1272669.5425873054,563098.720937194,13131.174874655202,30255955.038666338,9802296.101227328,8693069.261472657,34670163.100325115,18506975.588222355,306.6162961433273,0.33921356648755047,
10000000.0,1080.37,20162042.16,3.99,148.71,15.68,0.67,1072.35,302.47,0.1711597566227471,0.9834968929508405,2319188.2520188475,1272669.5425873054,563098.720937194,13131.174874655202,30255955.038666338,9802296.101227328,8693069.261472657,34670163.100325115,18506975.588222355,306.6162961433273,0.33921356648755047,
10000000.0,1080.37,20162042.16,3.99,148.71,15.68,0.94,1065.45,311.05,0.3427014977615755,0.4906548371501656,2319188.2520188475,1272669.5425873054,563098.720937194,13131.174874655202,30255955.038666338,9802296.101227328,8693069.261472657,34670163.100325115,18506975.588222355,306.6162961433273,0.33921356648755047,
10000000.0,1320.51,20024827.04,3.1,101.82,20.26,0.91,1303.24,287.68,0.5173307358914054,0.9697504100763068,3244816.1547860047,720221.2693791513,419000.86029372644,8854.467958871608,18897128.20949895,3821722.964251316,3314815.569281281,21906469.228105254,14393940.18339658,277.16276187136054,0.5368546411339494,
10000000.0,1320.51,20024827.04,3.1,101.82,20.26,0.66,1309.66,267.9,0.47437517357541703,0.924651570818371,3244816.1547860047,720221.2693791513,419000.86029372644,8854.467958871608,18897128.20949895,3821722.964251316,3314815.569281281,21906469.228105254,14393940.18339658,277.16276187136054,0.5368546411339494,
10000000.0,1320.51,20024827.04,3.1,101.82,20.26,0.99,1310.88,308.85,0.5223188004481308,0.9892028545355086,3244816.1547860047,720221.2693791513,419000.86029372644,8854.467958871608,18897128.20949895,3821722.964251316,3314815.569281281,21906469.228105254,14393940.18339658,277.16276187136054,0.5368546411339494,
10000000.0,1320.51,20024827.04,3.1,101.82,20.26,0.82,1320.01,276.09,0.5136672504448524,0.9614368973509723,3244816.1547860047,720221.2693791513,419000.86029372644,8854.467958871608,18897128.20949895,3821722.964251316,3314815.569281281,21906469.228105254,14393940.18339658,277.16276187136054,0.5368546411339494,
10000000.0,1320.51,20024827.04,3.1,101.82,20.26,0.55,1314.7,297.79,0.4262542638788633,0.9236660005765546,3244816.1547860047,720221.2693791513,419000.86029372644,8854.467958871608,18897128.20949895,3821722.964251316,3314815.569281281,21906469.228105254,14393940.18339658,277.16276187136054,0.5368546411339494,
10000000.0,1320.51,20024827.04,3.1,101.82,20.26,0.72,1304.21,313.95,0.47692779503734617,0.9307789336337094,3244816.1547860047,720221.2693791513,419000.86029372644,8854.467958871608,18897128.20949895,3821722.964251316,3314815.569281281,21906469.228105254,14393940.18339658,277.16276187136054,0.5368546411339494,
10000000.0,1140.12,22045657.25,3.85,130.43,26.82,0.77,1139.53,285.97,0.36190044379192704,0.9690741377872799,2672861.513508057,993285.0923319246,426106.6041291053,10592.17431439261,24876014.31938117,6907772.292400046,6207652.351014776,28592917.47907006,16429627.373254146,290.3041427103807,0.4113112866000844,
