CH4,N2O,CO2
0.10056877710157383,0.04894207868885211,0.3616758392745267
0.10487129240999432,0.04856467079206503,0.39604049847870426
0.09535031729174527,0.04777128358304468,0.35607453644186415
0.11131039168250106,0.05066550214472723,0.3912643983166297
0.10641980167156126,0.05136313862647445,0.3611878982458234
0.10210713638718948,0.04753280701678549,0.39945405668330203
0.11311989631026323,0.046896957439973366,0.45677430405135167
0.10856016838117952,0.049510884915250956,0.39113532251080446
0.09807768767311208,0.045516944987500196,0.41553758250020323
0.10138130777418955,0.04832919628895856,0.373616533609813
0.10129642949310441,0.04443048816062936,0.4450878702783301
0.09920097990810255,0.04507466643099284,0.4248328588152295
0.11215117916132844,0.04761209293898849,0.44607750949587105
0.0956308785637981,0.04801880992968882,0.36320988687002026
0.09673063189337816,0.0454195967643318,0.40049728633286286
0.10387928547791934,0.0438538557942887,0.4638946141305439
0.09260883631344988,0.04368810600867414,0.41434803081887617
0.10604849152107544,0.04535214724336857,0.4583479110935151
0.09264711583004705,0.04438518948749052,0.39686539120811637
0.09721522775734744,0.04611002210197926,0.3986877291421814
0.10525111173434999,0.051517291792167505,0.3453588007535987
0.10467824507340574,0.0483238403322271,0.39577184513880703
0.10635449755670805,0.0443746661182184,0.4735426528024874
0.11134441547575244,0.05034696286486829,0.39614235326841707
0.10097581459991968,0.04392679562415392,0.4498533199504393
0.09510400273753179,0.04833475468492192,0.3490970066399536
0.10180037923261291,0.04939145575822761,0.3638832312574496
0.09853991962125364,0.04847733066044653,0.35901881222920967
0.10074799628366618,0.04306687473879062,0.4543041925418172
0.10593412095944732,0.044492796189413916,0.4699083989364552
0.1092596208367213,0.048667156817169294,0.4093105714423372
0.09754673809985363,0.04447841179135316,0.41851434914984836
0.10889140531016048,0.04676727716602653,0.43910607956420517
0.10851257128884646,0.05203708311657271,0.35123342951913117
0.10296135564782996,0.048354332022540206,0.38504306882174194
0.09681172661713935,0.04510006498874663,0.41050412647176765
0.10274011259982518,0.04467551432950877,0.45226745450576444
0.11273349198740354,0.04613111258506099,0.46816300102567926
0.11055240182016167,0.050483362548360534,0.39616036418019923
0.09863540913730194,0.04850235311055939,0.3696965460318282
0.11302222735488153,0.05002984825113933,0.4109404750800315
0.10265702068940986,0.0496808740212556,0.3680421099128749
0.09987372915953076,0.043095079828365385,0.4563550410128812
0.10610097460775621,0.04991424853650905,0.38097133704737246
0.1096687826873764,0.051100497620224984,0.37647709710352784
0.09899474261649482,0.0493498502033069,0.35658967171953526
0.10829932391839912,0.050191694699500584,0.38018745790179037
0.10847903401256243,0.04577080900446592,0.45101468421554963
0.10353391091773483,0.04683001806982454,0.41139101252285004
0.10177197652072241,0.047340807488372834,0.40373990690279793
0.10571670022371084,0.051811674660390356,0.3475383175192485
0.10470769154536873,0.05185486553918173,0.33449693806507896
0.09370729523128578,0.045667785325215086,0.3938012321268753
0.098412475446725,0.04280463493946604,0.4545043291189297
0.1038310160318278,0.049904384436324306,0.35939593996969715
0.09885373164803105,0.046968618463488244,0.3855205965066212
0.11264503473988659,0.050488144703060484,0.39152593752760334
0.10639310300756329,0.046094533511212926,0.445401494383315
0.10126816264021758,0.04775274153341426,0.3938639563503361
0.1034190759737479,0.05091237665315828,0.34611315053582475
0.10053971152628881,0.049999291809679935,0.34993181709781873
0.10693546280445705,0.050991979000758594,0.37017167714715205
0.10066470142975394,0.048721470318475665,0.3772201064812244
0.09791661596392748,0.0462264525781775,0.39011742701983676
0.10894322833550805,0.046650839332276844,0.44640649117562864
0.09519347134482999,0.04520822212524192,0.3937100659708601
0.09527059768050454,0.04940120851490762,0.3342257020225571
0.11120996150095981,0.0473610792147479,0.4427073281901278
0.10663870017599827,0.04938159503612114,0.3849850601601323
0.09737767059719032,0.04688866159691525,0.383394566374604
0.09529599543045245,0.048248587523752585,0.3538186117061941
0.0940027031299455,0.044445556094150386,0.4146963790960234
