P_net,T_in_ref_blk,p_high,PR,dTemp_HTF_PHX,delta,load,T_HTF_in,T_amb_input,eta_gross,eta_Q,UA_HTR,UA_LTR,W_turb_des,W_comp_des,W_recomp_des,UA_cooler,Q_HX_des,eta_cycle_des,
10000000.0,1129.56,24465743.27,3.54,257.77,195.32,0.91,1121.28,306.15,0.38050272911598165,1.0098046830164322,2554341.2593594156,1204741.4115382314,24370060.768731043,6555133.007503883,6054338.085260807,13920.391296161964,29436445.311696976,0.399524791510513,
10000000.0,1129.56,24465743.27,3.54,257.77,195.32,0.76,1127.98,296.63,0.3550232444274629,0.9896368682724798,2554341.2593594156,1204741.4115382314,24370060.768731043,6555133.007503883,6054338.085260807,13920.391296161964,29436445.311696976,0.399524791510513,
10000000.0,1129.56,24465743.27,3.54,257.77,195.32,0.62,1116.88,285.6,0.3052840867752631,0.9706872385283392,2554341.2593594156,1204741.4115382314,24370060.768731043,6555133.007503883,6054338.085260807,13920.391296161964,29436445.311696976,0.399524791510513,
10000000.0,1129.56,24465743.27,3.54,257.77,195.32,0.52,1113.13,310.36,0.22713551081717684,0.9229758403472893,2554341.2593594156,1204741.4115382314,24370060.768731043,6555133.007503883,6054338.085260807,13920.391296161964,29436445.311696976,0.399524791510513,
10000000.0,1129.56,24465743.27,3.54,257.77,195.32,1.04,1123.28,271.43,0.4003752712729243,0.9998175506360306,2554341.2593594156,1204741.4115382314,24370060.768731043,6555133.007503883,6054338.085260807,13920.391296161964,29436445.311696976,0.399524791510513,
10000000.0,1129.56,24465743.27,3.54,257.77,195.32,0.83,1111.22,278.56,0.3661103767635524,0.9934348018107154,2554341.2593594156,1204741.4115382314,24370060.768731043,6555133.007503883,6054338.085260807,13920.391296161964,29436445.311696976,0.399524791510513,
10000000.0,1332.75,24450094.03,3.27,285.07,193.63,0.97,1319.44,312.49,0.4952429615006394,0.9970828678117011,2764880.6830582293,867299.6514541545,19237130.377675056,3880772.6320705474,3595768.0696381596,10758.169312008387,23043505.308073547,0.5103646133145332,
10000000.0,1332.75,24450094.03,3.27,285.07,193.63,0.7,1315.23,294.99,0.4597506258690878,0.9936859675264026,2764880.6830582293,867299.6514541545,19237130.377675056,3880772.6320705474,3595768.0696381596,10758.169312008387,23043505.308073547,0.5103646133145332,
10000000.0,1332.75,24450094.03,3.27,285.07,193.63,0.82,1328.76,280.73,0.4930904711257182,0.9982125663312166,2764880.6830582293,867299.6514541545,19237130.377675056,3880772.6320705474,3595768.0696381596,10758.169312008387,23043505.308073547,0.5103646133145332,
10000000.0,1332.75,24450094.03,3.27,285.07,193.63,0.64,1324.28,300.48,0.44760061940671414,0.9782271131036022,2764880.6830582293,867299.6514541545,19237130.377675056,3880772.6320705474,3595768.0696381596,10758.169312008387,23043505.308073547,0.5103646133145332,
10000000.0,1332.75,24450094.03,3.27,285.07,193.63,0.91,1317.3,283.91,0.49757002183170335,0.9955539020484744,2764880.6830582293,867299.6514541545,19237130.377675056,3880772.6320705474,3595768.0696381596,10758.169312008387,23043505.308073547,0.5103646133145332,
10000000.0,1332.75,24450094.03,3.27,285.07,193.63,0.56,1329.82,263.34,0.4301778067676303,0.9564926005829132,2764880.6830582293,867299.6514541545,19237130.377675056,3880772.6320705474,3595768.0696381596,10758.169312008387,23043505.308073547,0.5103646133145332,
10000000.0,1207.33,24628579.85,3.81,254.64,94.66,0.99,1191.85,279.71,0.46048538791792437,0.9989374461060583,2725702.8006935995,839495.5839620142,21824150.607046515,5219920.554986399,4843640.376093764,9175.150519993866,25175163.277235445,0.467150482658471,
10000000.0,1207.33,24628579.85,3.81,254.64,94.66,0.65,1206.65,286.09,0.4101548329851942,0.9855677105371274,2725702.8006935995,839495.5839620142,21824150.607046515,5219920.554986399,4843640.376093764,9175.150519993866,25175163.277235445,0.467150482658471,
10000000.0,1207.33,24628579.85,3.81,254.64,94.66,0.81,1202.8,303.78,0.44186153914021775,1.0177455666932562,2725702.8006935995,839495.5839620142,21824150.607046515,5219920.554986399,4843640.376093764,9175.150519993866,25175163.277235445,0.467150482658471,
10000000.0,1207.33,24628579.85,3.81,254.64,94.66,0.69,1190.19,271.67,0.4132347526186228,0.9871415227071895,2725702.8006935995,839495.5839620142,21824150.607046515,5219920.554986399,4843640.376093764,9175.150519993866,25175163.277235445,0.467150482658471,
10000000.0,1207.33,24628579.85,3.81,254.64,94.66,0.88,1194.17,316.38,0.4457995241895882,1.0103131925402817,2725702.8006935995,839495.5839620142,21824150.607046515,5219920.554986399,4843640.376093764,9175.150519993866,25175163.277235445,0.467150482658471,
10000000.0,1207.33,24628579.85,3.81,254.64,94.66,0.5,1200.49,299.69,0.31013903733075887,0.9324040482616459,2725702.8006935995,839495.5839620142,21824150.607046515,5219920.554986399,4843640.376093764,9175.150519993866,25175163.277235445,0.467150482658471,
10000000.0,1324.73,24526013.24,3.65,321.29,99.89,0.99,1307.73,295.16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
10000000.0,1324.73,24526013.24,3.65,321.29,120.94,0.99,1307.73,295.16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
10000000.0,1324.73,24526013.24,3.65,321.29,125.28,0.99,1307.73,295.16,0.49613083385428514,0.9901366021150798,2749817.197249335,735540.1196655533,19901354.608728252,4234123.488838647,3906641.4439232578,8273.503855569508,22921169.879850917,0.5130885438052886,
10000000.0,1324.73,24526013.24,3.65,321.29,99.89,0.62,1313.72,289.09,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
