country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,cloudopacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Pw Units,Relative humidity Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Indonesia,Solcast https://solcast.com,N/A,7,-6.2088,106.8456,10,deg.C,degree,%,deg.C,W/m2,W/m2,W/m2,W/m2,cm,%,cm,mbar,Degrees,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,cloudopacity,Dew Point,DHI,DNI,EBH,GHI,Pw,Relative humidity,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2008,1,3,3,0,24.8,-133,88.4,23.7,102,0,0,103,54,94.1,0,980.3,290,5.3,27,,
2008,1,3,4,0,24.9,-163,84.4,23.9,150,1,1,150,54.1,94.3,0,979.9,290,5.3,19,,
2008,1,3,5,0,25,157,75.2,24.1,235,3,3,238,54.3,94.6,0,979.4,290,5.3,20,,
2008,1,3,6,0,24.9,131,71.4,24.1,251,4,4,255,54.4,95.1,0,978.9,289,5.3,29,,
2008,1,3,7,0,24.7,119,77.4,24,172,2,2,174,54.5,95.9,0,978.4,286,5.4,41,,
2008,1,3,8,0,24.4,114,81.9,23.9,102,1,1,102,54.5,96.7,0,977.8,284,5.4,54,,
2008,1,3,9,0,24.3,112,75.3,23.8,73,6,1,74,53.9,97.1,0,977.9,277,5.2,68,,
2008,1,3,10,0,24.3,113,35.6,23.9,44,65,11,56,52.9,97.2,0,978.5,267,5,82,,
2008,1,3,11,0,24.3,114,53.3,23.9,10,27,5,15,51.8,97.2,0,979.1,257,4.9,95,,
2008,1,3,12,0,24.1,117,67.2,23.4,0,0,0,0,51.5,96,0,979.8,253,4.7,109,,
2008,1,3,13,0,23.6,122,67,22.6,0,0,0,0,51.8,94,0,980.4,255,4.5,122,,
2008,1,3,14,0,23.2,131,66.8,21.8,0,0,0,0,52.1,91.9,0,981,258,4.3,134,,
2008,1,3,15,0,22.9,146,67.2,21.6,0,0,0,0,52.1,92,0,981.1,262,4.3,144,,
2008,1,3,16,0,22.9,169,76.6,21.8,0,0,0,0,51.8,93.8,0,980.7,266,4.4,149,,
2008,1,3,17,0,22.8,-165,80.8,22.1,0,0,0,0,51.5,95.8,0,980.3,270,4.7,149,,
2008,1,3,18,0,22.8,-144,80.7,22.3,0,0,0,0,51.3,96.8,0,980,274,5,142,,
2008,1,3,19,0,22.8,-130,75.4,22.4,0,0,0,0,51.2,97.1,0,979.7,277,5.4,132,,
2008,1,3,20,0,22.9,-121,74.5,22.4,0,0,0,0,51.1,97.2,0,979.5,281,5.8,120,,
2008,1,3,21,0,23,-117,75.9,22.4,0,0,0,0,50.8,96.6,0,979.6,282,6.1,107,,
2008,1,3,22,0,23.2,-114,79.4,22.4,2,0,0,2,50.2,95.6,0,979.9,282,6.2,93,,
2008,1,3,23,0,23.4,-112,67.2,22.4,39,5,1,40,49.7,94.4,0,980.3,282,6.3,80,,
2008,1,4,0,0,23.6,-113,73.6,22.5,73,3,1,74,49.2,93.8,0,980.7,282,6.3,66,,
2008,1,4,1,0,23.7,-115,71.6,22.6,158,4,3,161,48.9,93.5,0,980.9,283,6.2,52,,
2008,1,4,2,0,23.9,-120,60.4,22.8,289,13,10,299,48.6,93.3,0,981.2,284,6.1,39,,
2008,1,4,3,0,24.1,-133,58.3,22.9,357,14,13,370,48.4,93,0,980.9,285,6,27,,
2008,1,4,4,0,24.3,-163,59,23,382,16,15,397,48.2,92.7,0,980.3,285,6,19,,
2008,1,4,5,0,24.5,157,42.2,23.2,476,89,83,560,48.1,92.5,0,979.7,285,6.1,20,,
2008,1,4,6,0,24.5,131,49,23.2,416,51,47,463,48.2,92.6,0,979.2,284,6,28,,
2008,1,4,7,0,24.3,119,52.3,23.1,341,30,22,363,48.3,93,0,978.7,282,5.8,41,,
2008,1,4,8,0,24.2,114,58.9,23.1,226,19,12,238,48.5,93.5,0,978.4,279,5.6,54,,
2008,1,4,9,0,24.2,112,46.2,23,152,50,16,168,48.8,93.1,0,978.6,276,5.3,68,,
2008,1,4,10,0,24.4,112,13.7,23,61,153,29,90,49.3,92.1,0,979.3,273,4.8,82,,
2008,1,4,11,0,24.5,114,46.8,23,8,57,10,18,49.7,91,0,980.1,268,4.4,95,,
2008,1,4,12,0,24.4,117,61.4,22.8,0,0,0,0,49.9,91.1,0,980.8,266,4.2,109,,
2008,1,4,13,0,24,122,64.1,22.6,0,0,0,0,49.7,92,0,981.4,265,4.3,122,,
2008,1,4,14,0,23.5,131,65.9,22.3,0,0,0,0,49.5,93.1,0,981.9,265,4.3,134,,
2008,1,4,15,0,23.3,146,66.2,22.2,0,0,0,0,49.2,93.6,0,982,264,4.3,144,,
2008,1,4,16,0,23.1,168,66.5,22.1,0,0,0,0,48.8,93.7,0,981.7,264,4.3,149,,
2008,1,4,17,0,23,-165,66.2,21.9,0,0,0,0,48.3,93.8,0,981.4,264,4.2,149,,
2008,1,4,18,0,22.8,-144,66.3,21.8,0,0,0,0,47.9,94,0,981,264,4.2,143,,
2008,1,4,19,0,22.7,-130,66.4,21.7,0,0,0,0,47.5,94.3,0,980.7,264,4.2,132,,
2008,1,4,20,0,22.5,-121,64.1,21.6,0,0,0,0,47.1,94.6,0,980.4,264,4.3,120,,
2008,1,4,21,0,22.7,-116,60.3,21.7,0,0,0,0,46.2,94.5,0,980.4,262,4.2,107,,
2008,1,4,22,0,23,-114,56.3,22.1,3,5,1,4,45,94.2,0,980.6,258,4.2,94,,
2008,1,4,23,0,23.5,-112,19,22.4,73,137,36,109,43.7,93.7,0,980.9,254,4.2,80,,
2008,1,5,0,0,24.1,-112,1.6,22.4,149,390,170,318,43.6,90.3,0,981.2,258,4.4,66,,
