P_net_W,T_in_ref_blk_K,p_high_Pa,PR,T_cold_set_K,load,T_HTF_in_K,T_amb_input_K,eta_gross,eta_Q
34766087.2306,1182.67187304,24528420.0538,2.99328598756,829.63957972,1.0293900207116229,1163.838326290626,283.8133718118509,0.497571025364,1.03029881452
34766087.2306,1182.67187304,24528420.0538,2.99328598756,829.63957972,0.9168262592478174,1080.8740766508497,277.4464493551022,0.448166966454,0.992774998491
34766087.2306,1182.67187304,24528420.0538,2.99328598756,829.63957972,0.7750852765128894,1104.5827705769711,309.9449889889948,0.429539565074,1.0009338626
34766087.2306,1182.67187304,24528420.0538,2.99328598756,829.63957972,0.7346013424908358,1177.6733677135364,316.56404573933247,0.455654451174,0.995842606707
34766087.2306,1182.67187304,24528420.0538,2.99328598756,829.63957972,0.6553233108915828,1151.3878008150532,288.37453221925983,0.429266361894,0.991583409572
34766087.2306,1182.67187304,24528420.0538,2.99328598756,829.63957972,0.5624175579073843,1090.5468752543068,294.21903679662324,0.32376521877,0.91627052592
34766087.2306,1182.67187304,24528420.0538,2.99328598756,829.63957972,0.8600457836138128,1131.188205333689,272.49988452122375,0.463674790479,0.995866821515
34766087.2306,1182.67187304,24528420.0538,2.99328598756,829.63957972,0.9435858527637988,1075.0489345096853,300.0492011359386,0.440790405507,0.992745875338
34766087.2306,1182.67187304,24528420.0538,2.99328598756,829.63957972,0.697863509773032,1144.3385106616495,301.90404571036385,0.432187209103,1.00143072545
34766087.2306,1182.67187304,24528420.0538,2.99328598756,829.63957972,0.5040889220309099,1119.5994548966316,263.3190879781724,0.307008645437,0.901280060199
125836455.304,1023.92414789,24136471.7502,2.77223260768,837.666211962,0.6885556624212372,1004.0267835036758,294.58860562695304,0.348525656746,0.922386737585
125836455.304,1023.92414789,24136471.7502,2.77223260768,837.666211962,0.8105275882723403,945.4988806236178,283.1806394882792,0.34547351507,0.916537767369
125836455.304,1023.92414789,24136471.7502,2.77223260768,837.666211962,0.551633452443136,936.9065524730703,307.06598381062827,0.134752326906,0.76400659019
125836455.304,1023.92414789,24136471.7502,2.77223260768,837.666211962,0.9986038736906993,960.4006068433914,271.4047529233608,0.407451558375,0.959758393048
125836455.304,1023.92414789,24136471.7502,2.77223260768,837.666211962,0.6151293973632548,975.3726145711503,300.023585335486,0.262707059216,0.862215465321
125836455.304,1023.92414789,24136471.7502,2.77223260768,837.666211962,0.5781158991409363,988.4192400843007,275.2172184974798,0.258179573117,0.850252106175
125836455.304,1023.92414789,24136471.7502,2.77223260768,837.666211962,0.9535652454682533,997.0631311555691,316.07429925841797,0.417191332515,0.969492819511
125836455.304,1023.92414789,24136471.7502,2.77223260768,837.666211962,0.761877616402352,1020.0543111016779,307.8490980001551,0.390118956469,0.958401003295
125836455.304,1023.92414789,24136471.7502,2.77223260768,837.666211962,0.862151537010377,968.4244392024219,290.03415931740847,0.385038797307,0.954124286046
125836455.304,1023.92414789,24136471.7502,2.77223260768,837.666211962,0.8933834889569763,926.3176087631607,264.6984580036567,0.353107354138,0.921895517022
44003160.7462,1206.14107058,24434402.0293,2.95904530671,826.508233491,0.6068948520787475,1105.2481109536593,317.36208739625005,0.364307750618,0.957595752693
44003160.7462,1206.14107058,24434402.0293,2.95904530671,826.508233491,0.8052772259530969,1190.343739527633,284.7683941015477,0.48479132607,1.01397528573
44003160.7462,1206.14107058,24434402.0293,2.95904530671,826.508233491,0.9899708829216909,1151.4114642665963,272.7208689530115,0.492370809852,1.02443094409
44003160.7462,1206.14107058,24434402.0293,2.95904530671,826.508233491,0.8316767619106452,1140.356919088221,267.8127994490057,0.465650206274,0.995281640933
44003160.7462,1206.14107058,24434402.0293,2.95904530671,826.508233491,0.5520371504287851,1113.0628679096067,279.62286664637975,0.341792253258,0.925575653263
44003160.7462,1206.14107058,24434402.0293,2.95904530671,826.508233491,0.6582696754394526,1177.1464453905319,301.75959949707374,0.43859538218,0.997359421317
44003160.7462,1206.14107058,24434402.0293,2.95904530671,826.508233491,0.6773559663575685,1201.7430797719367,308.01371034567563,0.455221607186,0.99384114435
44003160.7462,1206.14107058,24434402.0293,2.95904530671,826.508233491,0.7266562896214541,1089.699060366815,285.85382679262125,0.412945852047,0.971708757545
44003160.7462,1206.14107058,24434402.0293,2.95904530671,826.508233491,1.0196515949222438,1124.571926801158,292.99004413472846,0.47982858585,1.01042972438
44003160.7462,1206.14107058,24434402.0293,2.95904530671,826.508233491,0.8876124769264973,1166.2594052315349,297.1570387977023,0.478645884958,1.01625095277
62450501.1274,1165.01891802,24617721.014,2.83211515918,806.603007656,0.8201976304278418,1114.0964524033143,270.5587014503263,0.461637973319,1.00040780765
62450501.1274,1165.01891802,24617721.014,2.83211515918,806.603007656,0.9654994022361079,1096.855018543945,304.41698854441864,0.469387307514,0.99450987932
62450501.1274,1165.01891802,24617721.014,2.83211515918,806.603007656,0.6173705534375704,1157.402645622824,309.47931765791174,0.407887019701,0.963555494293
62450501.1274,1165.01891802,24617721.014,2.83211515918,806.603007656,0.6994681845027796,1071.2769937014573,296.7256601012801,0.381112535168,0.958775800639
62450501.1274,1165.01891802,24617721.014,2.83211515918,806.603007656,0.576188198262361,1137.724278126019,276.8703915956187,0.37532948544,0.942400572548
62450501.1274,1165.01891802,24617721.014,2.83211515918,806.603007656,0.756718693363464,1126.8435263718145,288.9962214837275,0.451648820203,0.997002171399
62450501.1274,1165.01891802,24617721.014,2.83211515918,806.603007656,1.0302464519001453,1055.349104856442,281.15687557948394,0.467166526174,0.994359681867
62450501.1274,1165.01891802,24617721.014,2.83211515918,806.603007656,0.8773323623282612,1084.3378477473875,315.7325018584194,0.450410651739,1.00411703137
62450501.1274,1165.01891802,24617721.014,2.83211515918,806.603007656,0.9333532684363046,1152.3188076837598,293.83129420082713,0.495377125108,1.01302198236
